time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
10.402,,6368000,1251000,1473000,1250000,105000,7627000,261000,0,5000,11000,68000,68000,2413000,4884000,7297000,25000000,123.8,121.1,91.22,116.825,122,119.8616,114.35,123.125,119.75
10.602,,6490000,1073000,1663000,1636000,105000,7627000,236000,0,5000,4000,68000,68000,2419000,5024000,7443000,25000000,123.8,121.1,91.22,116.825,122,119.8616,114.35,123.125,119.75
10.803,,6490000,1028000,1639000,1270000,105000,7627000,236000,0,5000,11000,68000,65000,2369000,4276000,6645000,25000000,123.8,120.65,91.22,116.825,122,119.8616,114.35,123.125,119.75
11.003,,6490000,1162000,2090000,1700000,105000,7687000,236000,0,5000,11000,68000,65000,2400000,4964000,7364000,25000000,123.8,120.65,91.22,116.825,122,119.8616,114.35,123.125,119.75
11.203,,6536000,1154000,1568000,1209000,105000,7687000,245000,0,5000,7000,68000,68000,2507000,6973000,9480000,25000000,123.8,120.65,91.22,116.7116,122,119.75,114.35,123.125,119.75
11.402,,6536000,1118000,2375000,820000,831000,7687000,245000,0,5000,4000,68000,65000,2328000,6067000,8395000,25000000,123.8,120.65,91.22,116.7116,122,119.75,114.35,123.125,119.75
11.603,,6536000,1050000,1401000,1584000,105000,7692000,245000,10000,78000,0,79000,68000,2446000,7837000,10283000,25000000,123.8,120.65,91.22,116.7116,122,119.75,114.35,123.125,119.75
11.803,,6506000,1251000,1520000,863000,105000,7692000,289000,10000,3000,4000,68000,68000,2410000,5548000,7958000,25000000,123.8,120.65,91.22,116.7116,122,119.75,114.35,123.125,119.75
12.003,,6506000,1184000,1805000,1520000,105000,7563000,289000,10000,3000,4000,68000,68000,2603000,6709000,9312000,25000000,123.8,120.65,91.22,116.7116,122,119.75,114.35,123.125,119.75
12.203,,6506000,1073000,1401000,813000,2600000,7563000,289000,50000,653000,0,86000,65000,2389000,4319000,6708000,25000000,123.8,120.65,91.22,116.7116,122,119.75,114.2366,123.0116,119.6366
12.403,,6307000,1073000,1354000,899000,419000,7563000,220000,0,35000,4000,68000,68000,2395000,5039000,7434000,25000000,123.8,120.65,91.22,116.7116,122,119.75,114.2366,123.0116,119.6366
12.603,,6307000,1073000,1483000,751000,825000,7475000,220000,0,32000,4000,68000,68000,2371000,4044000,6415000,25000000,123.8,120.65,91.22,116.7116,122,119.75,114.2366,123.0116,119.6366
12.804,,6307000,1162000,1496000,772000,440000,7475000,220000,0,32000,7000,68000,65000,2385000,4889000,7274000,25000000,123.8,120.65,91.22,116.7116,122,119.75,114.2366,123.0116,119.6366
13.003,,6326000,1050000,2161000,731000,105000,7475000,232000,10000,81000,4000,72000,65000,2511000,4748000,7259000,25000000,123.8,120.65,91.22,116.7116,122,119.75,114.2366,123.0116,119.6366
13.202,,6326000,1162000,1496000,813000,440000,7468000,232000,0,35000,11000,68000,65000,2431000,5656000,8087000,25000000,123.8,120.65,91.22,116.7116,122,119.75,114.35,123.0116,119.75
13.403,,6326000,1140000,1458000,1250000,838000,7468000,232000,0,32000,7000,68000,68000,2399000,4194000,6593000,25000000,123.8,120.65,91.22,116.7116,122,119.75,114.35,123.0116,119.75
13.602,,6362000,1028000,1449000,1777000,838000,7468000,221000,0,32000,4000,68000,65000,2376000,5725000,8101000,25000000,123.8,121.1,91.22,116.7116,122,119.75,114.35,123.0116,119.75
13.802,,6362000,1162000,1362000,853000,825000,7284000,221000,0,5000,7000,68000,68000,2355000,5276000,7631000,25000000,123.8,121.1,91.22,116.7116,122,119.75,114.35,123.0116,119.75
14.003,,6362000,1162000,1971000,731000,105000,7284000,238000,0,5000,4000,68000,68000,2404000,6121000,8525000,25000000,123.8,120.65,91.22,116.7116,122,119.75,114.35,123.0116,119.75
14.203,,6225000,1110000,1473000,1531000,838000,7284000,238000,0,5000,4000,68000,65000,2379000,5744000,8123000,25000000,123.8,121.1,91.22,116.7116,122,119.75,114.2366,123.0116,119.6366
14.403,,6225000,1184000,1401000,731000,858000,7446000,238000,0,5000,7000,68000,68000,2380000,5358000,7738000,25000000,123.8,120.65,91.22,116.7116,122,119.75,114.2366,123.0116,119.6366
14.603,,6253000,1198000,1615000,874000,831000,7446000,215000,0,5000,7000,68000,65000,2384000,5537000,7921000,25000000,123.8,120.65,91.22,116.7116,122,119.75,114.2366,123.0116,119.6366
14.804,,6253000,1309000,1449000,935000,5301000,7446000,215000,0,5000,7000,68000,65000,2382000,5342000,7724000,25000000,123.8,120.65,91.22,116.7116,122,119.75,114.2366,123.0116,119.6366
15.003,,6253000,1073000,1924000,874000,839000,7433000,215000,0,5000,4000,68000,65000,2394000,5728000,8122000,25000000,123.8,120.65,91.22,116.7116,122,119.75,114.2366,123.0116,119.6366
15.202,,6158000,1642000,1378000,1471000,796000,7433000,228000,0,5000,11000,68000,65000,2373000,4196000,6569000,25000000,123.8,120.65,91.22,116.6,122,119.75,114.2366,123.0116,119.6366
15.403,,6158000,1531000,1378000,1242000,754000,7433000,228000,0,5000,7000,68000,65000,2385000,4597000,6982000,25000000,123.8,120.65,91.22,116.6,122,119.75,114.2366,123.0116,119.6366
15.603,,6158000,1265000,1496000,1014000,104000,7295000,228000,0,5000,11000,68000,68000,2403000,5246000,7649000,25000000,123.8,120.65,91.22,116.6,122,119.75,114.2366,123.0116,119.6366
15.803,,6103000,1531000,1378000,1071000,775000,7295000,242000,0,5000,4000,68000,65000,2425000,4806000,7231000,25000000,123.8,120.65,91.22,116.6,122,119.75,114.2366,123.0116,119.6366
16.003,,6103000,1642000,1924000,948000,2220000,7295000,242000,0,5000,4000,68000,65000,2478000,4035000,6513000,25000000,123.8,120.65,91.22,116.6,122,119.75,114.2366,123.0116,119.6366
