time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
9.204,,5887000,1509000,1781000,1391000,105000,6721000,0,5000,4000,269000,68000,68000,2669000,4194000,6863000,25000000,127.4,124.25,92.12,119.4116,125.2616,123.125,116.6,126.05,122.5616
9.403,,5865000,1376000,1948000,1331000,105000,6721000,0,5000,7000,269000,68000,68000,2549000,4944000,7493000,25000000,127.4,124.25,92.12,119.4116,125.2616,123.125,116.6,126.05,122.5616
9.603,,5865000,1296000,1971000,1331000,586000,6707000,0,5000,7000,269000,68000,68000,2542000,4877000,7419000,25000000,127.4,124.25,92.3,119.4116,125.2616,123.125,116.6,125.9366,122.5616
9.804,,5865000,1620000,1698000,1456000,105000,6707000,10000,35000,4000,234000,68000,68000,2552000,4586000,7138000,25000000,127.4,124.25,92.3,119.4116,125.2616,123.125,116.6,125.9366,122.5616
10.004,,5829000,1251000,1758000,2096000,921000,6707000,0,35000,4000,234000,68000,68000,2407000,4065000,6472000,25000000,127.4,124.25,92.3,119.4116,125.2616,123.125,116.6,125.9366,122.5616
10.203,,5829000,1198000,1362000,1814000,5708000,6672000,0,32000,4000,234000,68000,68000,2408000,3882000,6290000,25000000,127.4,123.8,92.3,119.4116,125.2616,123.125,116.6,125.9366,122.5616
10.404,,5829000,1273000,1758000,1814000,858000,6672000,0,35000,4000,242000,68000,70000,2429000,3844000,6273000,25000000,127.4,123.8,92.3,119.4116,125.2616,123.125,116.6,125.9366,122.5616
10.604,,5899000,1296000,1781000,1573000,858000,6800000,0,5000,7000,242000,68000,68000,2440000,3876000,6316000,25000000,127.4,124.25,92.3,119.4116,125.2616,123.125,116.6,126.05,122.5616
10.804,,5899000,1287000,1568000,1632000,858000,6800000,0,5000,4000,242000,68000,68000,2432000,4072000,6504000,25000000,127.4,124.25,92.3,119.4116,125.2616,123.125,116.6,126.05,122.5616
11.003,,5990000,1309000,2043000,1351000,105000,6800000,0,5000,11000,228000,68000,68000,2404000,3567000,5971000,25000000,127.4,124.25,92.3,119.4116,125.2616,123.125,116.6,126.05,122.5616
11.203,,5990000,1265000,1315000,1541000,105000,6838000,0,5000,4000,228000,68000,68000,2434000,5856000,8290000,25000000,127.4,124.25,92.3,119.4116,125.2616,123.125,116.6,126.05,122.5616
11.403,,5990000,1353000,1971000,1935000,105000,6838000,10000,81000,4000,228000,72000,68000,2455000,6145000,8600000,25000000,127.4,124.25,92.3,119.4116,125.2616,123.125,116.6,126.05,122.5616
11.603,,6002000,1296000,1339000,1613000,880000,6838000,0,35000,0,217000,72000,68000,2452000,5269000,7721000,25000000,127.4,123.8,92.3,119.4116,125.2616,123.125,116.7116,126.05,122.5616
11.803,,6002000,1198000,1639000,1834000,105000,6873000,0,35000,0,217000,68000,68000,2464000,4109000,6573000,25000000,127.4,123.8,92.3,119.4116,125.2616,123.125,116.7116,126.05,122.5616
12.003,,6002000,1398000,1971000,1552000,105000,6873000,0,35000,4000,217000,68000,68000,2457000,4884000,7341000,25000000,127.4,123.8,92.3,119.4116,125.2616,123.125,116.7116,126.05,122.5616
12.204,,5780000,1273000,1544000,1331000,105000,6873000,0,35000,4000,227000,68000,70000,2431000,4599000,7030000,25000000,127.4,124.25,92.3,119.4116,125.2616,123.125,116.7116,126.05,122.5616
12.403,,5780000,1243000,1473000,1331000,6358000,6718000,10000,81000,0,227000,72000,68000,2426000,3806000,6232000,25000000,127.4,124.25,92.3,119.4116,125.2616,123.125,116.7116,126.05,122.5616
12.604,,5780000,1309000,1805000,1849000,105000,6718000,0,35000,4000,227000,68000,68000,2586000,4234000,6820000,25000000,127.4,124.25,92.3,119.4116,125.2616,123.125,116.7116,125.9366,122.5616
12.804,,5929000,1140000,1710000,1270000,105000,6718000,0,35000,4000,202000,68000,68000,2508000,4674000,7182000,25000000,127.4,124.25,92.3,119.4116,125.2616,123.125,116.7116,125.9366,122.5616
13.003,,5929000,1251000,1995000,1530000,104000,6762000,0,35000,4000,202000,68000,68000,2401000,4702000,7103000,25000000,127.4,123.8,92.3,119.4116,125.2616,123.125,116.7116,125.9366,122.5616
13.204,,5929000,1162000,1781000,1169000,105000,6762000,0,5000,11000,202000,68000,68000,2380000,4344000,6724000,25000000,127.4,123.8,92.3,119.4116,125.2616,123.125,116.7116,125.9366,122.5616
13.403,,5880000,1398000,1520000,1331000,880000,6762000,0,5000,7000,246000,68000,68000,2473000,4534000,7007000,25000000,127.4,123.8,92.3,119.4116,125.2616,123.125,116.7116,125.9366,122.5616
13.604,,5880000,1118000,1961000,1178000,105000,6690000,0,5000,4000,246000,68000,68000,2392000,8847000,11239000,25000000,127.4,124.25,92.3,119.3,125.2616,123.125,116.7116,125.9366,122.5616
13.804,,5880000,1073000,1520000,1632000,105000,6690000,0,5000,7000,246000,68000,68000,2376000,6593000,8969000,25000000,127.4,123.8,92.3,119.3,125.2616,123.125,116.7116,125.9366,122.5616
14.005,,5874000,1118000,1496000,1899000,105000,6690000,0,5000,4000,215000,68000,70000,2405000,7018000,9423000,25000000,127.4,123.8,92.3,119.3,125.2616,123.125,116.7116,125.9366,122.5616
14.205,,5874000,1050000,1639000,1229000,105000,6669000,0,5000,7000,215000,68000,68000,2418000,7117000,9535000,25000000,127.4,123.8,92.3,119.3,125.2616,123.125,116.7116,125.9366,122.5616
14.404,,5874000,1376000,1315000,1178000,796000,6669000,0,5000,4000,238000,68000,68000,2498000,5244000,7742000,25000000,127.4,123.8,92.3,119.3,125.2616,123.125,116.7116,125.9366,122.5616
14.604,,5749000,1073000,1411000,1673000,839000,6669000,0,5000,4000,238000,68000,68000,2398000,8456000,10854000,25000000,127.4,124.25,92.3,119.4116,125.15,123.0116,116.7116,125.9366,122.45
14.804,,5749000,1162000,1387000,1606000,105000,6497000,0,5000,11000,238000,70000,68000,2465000,6139000,8604000,25000000,127.4,123.8,92.3,119.4116,125.15,123.0116,116.7116,125.9366,122.45
15.004,,5749000,1118000,1971000,1391000,2743000,6497000,0,5000,7000,283000,68000,68000,2435000,4134000,6569000,25000000,127.4,123.8,92.3,119.4116,125.15,123.0116,116.7116,125.9366,122.45
15.204,,5646000,1118000,1330000,987000,2845000,6521000,0,5000,4000,283000,68000,68000,2440000,4604000,7044000,25000000,127.4,123.8,92.3,119.4116,125.15,123.0116,116.7116,125.9366,122.45
15.404,,5646000,1273000,1330000,751000,2471000,6521000,0,5000,7000,283000,68000,68000,2493000,5059000,7552000,25000000,127.4,123.8,92.3,119.4116,125.15,123.0116,116.7116,125.9366,122.45
15.605,,5633000,1118000,1473000,863000,845000,6521000,0,5000,7000,239000,68000,68000,2432000,4825000,7257000,25000000,127.4,123.8,92.3,119.3,125.15,123.125,116.6,125.9366,122.5616
15.804,,5633000,1265000,1853000,1109000,858000,6550000,0,5000,7000,239000,68000,68000,2418000,3760000,6178000,25000000,127.4,124.25,92.3,119.3,125.15,123.125,116.6,125.9366,122.5616
16.004,,5633000,1073000,1758000,751000,1740000,6550000,0,5000,4000,239000,68000,68000,2418000,5007000,7425000,25000000,127.4,124.25,92.3,119.3,125.15,123.125,116.6,125.9366,122.5616
16.204,,5667000,1265000,1554000,1284000,880000,6550000,20000,3000,7000,208000,68000,68000,2389000,4281000,6670000,25000000,127.4,124.25,92.3,119.3,125.15,123.125,116.6,125.9366,122.5616
16.403,,5667000,1184000,1710000,884000,3372000,6530000,10000,3000,7000,208000,68000,68000,2421000,5048000,7469000,25000000,127.4,124.25,92.3,119.3,125.15,123.125,116.6,125.9366,122.5616
16.603,,5667000,1353000,1924000,949000,2295000,6530000,10000,3000,4000,208000,68000,68000,2437000,5055000,7492000,25000000,127.4,123.8,92.3,119.3,125.15,123.125,116.6,125.9366,122.5616
