Time (s),% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Vertices,% Vertex Fetch Stall,Avg Preemption Delay,Fragment Instructions / Second,Fragments Shaded / Second,Textures / Fragment,Vertex Instructions / Second,Vertices Shaded / Second,app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
24.21,8.042959213256836,7.939215660095215,1.175849199295044,0.728376567363739,48.40450668334961,232047804416.0,2185788928.0,-1.0,693918400.0,2004836.875,0.0090239336714148,387.0,41.0,11671.0,2.0,57.661041259765625,3163.0,1382.0,3.0,59.0,62.0,63.0,33.0,32.0,33.0,72.0,456.0,3.0,68.96058320999146,0.7106939554214478,2736.0,5.0,70.0,2.4012625217437744
24.31,8.459884643554688,7.978340148925781,1.2474040985107422,0.7603999972343445,50.60292434692383,223626412032.0,2070196480.0,-1.0,723995648.0,2045372.125,0.0090239336714148,387.0,41.0,11671.0,2.0,57.661041259765625,3163.0,1382.0,3.0,59.0,62.0,63.0,33.0,32.0,33.0,72.0,456.0,3.0,68.96058320999146,0.7106939554214478,2736.0,5.0,70.0,2.4012625217437744
24.41,8.255555152893066,7.977800846099853,1.1947582960128784,0.6954916715621948,52.3943977355957,220972597248.0,2046708352.0,-1.0,676713216.0,2074607.0,0.0090239336714148,387.0,41.0,11671.0,2.0,57.661041259765625,3163.0,1382.0,3.0,59.0,62.0,63.0,33.0,32.0,33.0,72.0,456.0,3.0,68.96058320999146,0.7106939554214478,2736.0,5.0,70.0,2.4012625217437744
24.51,8.317219734191895,7.919293403625488,1.2095942497253418,0.7243955135345459,25.33762550354004,216548950016.0,2021678464.0,-1.0,666652544.0,1940426.375,0.0090239336714148,387.0,41.0,11671.0,2.0,57.661041259765625,3163.0,1382.0,3.0,59.0,62.0,63.0,33.0,32.0,33.0,72.0,456.0,3.0,68.96058320999146,0.7106939554214478,2736.0,5.0,70.0,2.4012625217437744
24.55,8.317219734191895,7.919293403625488,1.2095942497253418,0.7243955135345459,25.33762550354004,216548950016.0,2021678464.0,-1.0,666652544.0,1940426.375,7.017290592193604,263.0,48.0,7855.0,1.0,34.1568603515625,3163.0,1382.0,3.0,59.0,62.0,63.0,33.0,32.0,33.0,72.0,456.0,3.0,68.96058320999146,0.7106939554214478,2736.0,5.0,70.0,2.4012625217437744
24.61,7.803257465362549,7.989626884460449,1.1676329374313354,0.6727890968322754,21.78813362121582,226490384384.0,2145378816.0,-1.0,667628032.0,1955872.5,7.017290592193604,263.0,48.0,7855.0,1.0,34.1568603515625,3163.0,1382.0,3.0,59.0,62.0,63.0,33.0,32.0,33.0,72.0,456.0,3.0,68.96058320999146,0.7106939554214478,2736.0,5.0,70.0,2.4012625217437744
24.71,8.15714168548584,7.966641902923584,1.2320122718811035,0.7733316421508789,27.870162963867188,227548004352.0,2121871232.0,-1.0,722303168.0,2043429.375,7.017290592193604,263.0,48.0,7855.0,1.0,34.1568603515625,3163.0,1382.0,3.0,59.0,62.0,63.0,33.0,32.0,33.0,72.0,456.0,3.0,68.96058320999146,0.7106939554214478,2736.0,5.0,70.0,2.4012625217437744
24.77,8.15714168548584,7.966641902923584,1.2320122718811035,0.7733316421508789,27.870162963867188,227548004352.0,2121871232.0,-1.0,722303168.0,2043429.375,6.70650577545166,105.0,2.0,6330.0,1.0,34.1568603515625,3163.0,1382.0,3.0,59.0,62.0,63.0,33.0,32.0,33.0,72.0,456.0,3.0,68.96058320999146,0.7106939554214478,2736.0,5.0,70.0,2.4012625217437744
24.82,8.264671325683594,7.99277400970459,1.1943974494934082,0.612992525100708,25.93190193176269,219213545472.0,2091806080.0,-1.0,663461824.0,1630533.625,6.70650577545166,105.0,2.0,6330.0,1.0,34.1568603515625,3163.0,1382.0,3.0,59.0,62.0,63.0,33.0,32.0,33.0,72.0,456.0,3.0,68.96058320999146,0.7106939554214478,2736.0,5.0,70.0,2.4012625217437744
24.87,8.264671325683594,7.99277400970459,1.1943974494934082,0.612992525100708,25.93190193176269,219213545472.0,2091806080.0,-1.0,663461824.0,1630533.625,7.449351787567139,568.0,86.0,13105.0,2.0,54.22042083740234,3163.0,1382.0,3.0,60.0,60.0,60.0,28.0,31.0,29.0,72.0,456.0,3.0,74.51673150062561,0.7040100693702698,2736.0,5.0,70.0,2.40457534790039
