Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
26.0,50.45317459106445,49.582496643066406,1.2433455330984933,0.284680038690567,17.214046478271484,24.43582010269165,15.521873712539673,0.010613183490931976,7.392828941345215,7.976886749267578,25.997183799743652,8.205910444259644,98.8044204711914,1.1955822706222534,0.3242223858833313,25.37807273864746,52.875221252441406,181.14122009277344,0.6897526532411575,0.09455633163452147,1.6674364358186722,72.26763153076172,544936304.0,1.413177490234375,1.0402754545211792,24207012856.0,34927337472.0,2442476747.5,216568692736.0,2216715520.0,54.98652467131615,545000000.0,0.06472080945968628,6791094.3017578125,61.68872833251952,412306148.0,9315756.950195312,1595023.75,267194112.0,0.5539983510971069,0.13572156429290771,642660416.0,35693248.98730469,1174036.0,504075590.8359375,7.948845386505127,404.0,44.0,11700.0,2.0,36.20125961303711,2344.0,1651.0,3.0,64.0,60.0,66.0,33.0,32.0,38.0,72.0,456.0,2.0,76.44494771957397,3196.0,1.0,53.0,2.1585817337036133
26.05,50.45317459106445,49.582496643066406,1.2433455330984933,0.284680038690567,17.214046478271484,24.43582010269165,15.521873712539673,0.010613183490931976,7.392828941345215,7.976886749267578,25.997183799743652,8.205910444259644,98.8044204711914,1.1955822706222534,0.3242223858833313,25.37807273864746,52.875221252441406,181.14122009277344,0.6897526532411575,0.09455633163452147,1.6674364358186722,72.26763153076172,544936304.0,1.413177490234375,1.0402754545211792,24207012856.0,34927337472.0,2442476747.5,216568692736.0,2216715520.0,54.98652467131615,545000000.0,0.06472080945968628,6791094.3017578125,61.68872833251952,412306148.0,9315756.950195312,1595023.75,267194112.0,0.5539983510971069,0.13572156429290771,642660416.0,35693248.98730469,1174036.0,504075590.8359375,0.2040176093578338,243.0,58.0,7878.0,1.0,21.32433319091797,2344.0,1651.0,3.0,64.0,60.0,66.0,33.0,32.0,38.0,72.0,456.0,2.0,76.44494771957397,3196.0,1.0,1.0,2.1585817337036133
26.08,50.45890045166016,49.50667572021485,1.2433455330984933,0.284680038690567,17.214046478271484,24.43582010269165,15.521873712539673,0.010613183490931976,7.379878997802734,8.078350067138672,25.997183799743652,8.205910444259644,98.8552474975586,1.144750475883484,0.3183715045452118,25.37807273864746,52.875221252441406,181.14122009277344,0.6897526532411575,0.09455633163452147,1.6674364358186722,66.48563385009766,544936304.0,1.413177490234375,1.0402754545211792,24207012856.0,34927337472.0,2442476747.5,222421958656.0,2270907648.0,54.98652467131615,545000000.0,0.06472080945968628,6791094.3017578125,61.68872833251952,412306148.0,9315756.950195312,1595023.75,267194112.0,0.5606242418289185,0.13572156429290771,621916224.0,35693248.98730469,1139901.625,504075590.8359375,0.2040176093578338,243.0,58.0,7878.0,1.0,21.32433319091797,2344.0,1651.0,3.0,64.0,60.0,66.0,33.0,32.0,38.0,72.0,456.0,2.0,76.44494771957397,3196.0,1.0,1.0,2.1585817337036133
26.11,50.45890045166016,49.50667572021485,1.2433455330984933,0.284680038690567,17.214046478271484,24.43582010269165,15.521873712539673,0.010613183490931976,7.379878997802734,8.078350067138672,25.997183799743652,8.205910444259644,98.8552474975586,1.144750475883484,0.3183715045452118,25.37807273864746,52.875221252441406,181.14122009277344,0.6897526532411575,0.09455633163452147,1.6674364358186722,66.48563385009766,544936304.0,1.413177490234375,1.0402754545211792,24207012856.0,34927337472.0,2442476747.5,222421958656.0,2270907648.0,54.98652467131615,545000000.0,0.06472080945968628,6791094.3017578125,61.68872833251952,412306148.0,9315756.950195312,1595023.75,267194112.0,0.5606242418289185,0.13572156429290771,621916224.0,35693248.98730469,1139901.625,504075590.8359375,7.922013282775879,101.0,2.0,6691.0,1.0,21.32433319091797,2344.0,1651.0,3.0,64.0,60.0,66.0,33.0,32.0,38.0,72.0,456.0,2.0,76.44494771957397,3196.0,1.0,1.0,2.1585817337036133
26.18,50.43708801269531,49.56291198730469,1.2433455330984933,0.284680038690567,17.214046478271484,24.43582010269165,15.521873712539673,0.010613183490931976,7.1373677253723145,8.011286735534668,25.997183799743652,8.205910444259644,98.85594940185548,1.144052028656006,0.3145734667778015,25.37807273864746,52.875221252441406,181.14122009277344,0.6897526532411575,0.09455633163452147,1.6674364358186722,74.83528137207031,544936304.0,1.413177490234375,1.0402754545211792,24207012856.0,34927337472.0,2442476747.5,211058442240.0,2173070592.0,54.98652467131615,545000000.0,0.06472080945968628,6791094.3017578125,61.68872833251952,412306148.0,9315756.950195312,1595023.75,267194112.0,0.5371050238609314,0.13572156429290771,590414144.0,35693248.98730469,1087757.0,504075590.8359375,7.922013282775879,101.0,2.0,6691.0,1.0,21.32433319091797,2344.0,1651.0,3.0,64.0,60.0,66.0,33.0,32.0,38.0,72.0,456.0,2.0,76.44494771957397,3196.0,1.0,1.0,2.1585817337036133
26.28,50.468788146972656,49.531211853027344,1.2433455330984933,0.284680038690567,17.214046478271484,24.43582010269165,15.521873712539673,0.010613183490931976,7.015310764312744,8.056905746459961,25.997183799743652,8.205910444259644,98.85350036621094,1.1465028524398804,0.3225738108158111,25.37807273864746,52.875221252441406,181.14122009277344,0.6897526532411575,0.09455633163452147,1.6674364358186722,69.4809341430664,544936304.0,1.413177490234375,1.0402754545211792,24207012856.0,34927337472.0,2442476747.5,210610454528.0,2166235392.0,54.98652467131615,545000000.0,0.06472080945968628,6791094.3017578125,61.68872833251952,412306148.0,9315756.950195312,1595023.75,267194112.0,0.5387359261512756,0.13572156429290771,590680128.0,35693248.98730469,1087583.75,504075590.8359375,7.922013282775879,101.0,2.0,6691.0,1.0,21.32433319091797,2344.0,1651.0,3.0,64.0,60.0,66.0,33.0,32.0,38.0,72.0,456.0,2.0,76.44494771957397,3196.0,1.0,1.0,2.1585817337036133
26.39,50.45285034179688,49.59429550170898,1.2433455330984933,0.284680038690567,17.214046478271484,24.43582010269165,15.521873712539673,0.010613183490931976,7.218893051147461,7.962921619415283,25.997183799743652,8.205910444259644,98.85356903076172,1.1464314460754397,0.3137963414192199,25.37807273864746,52.875221252441406,181.14122009277344,0.6897526532411575,0.09455633163452147,1.6674364358186722,67.67938232421875,544936304.0,1.413177490234375,1.0402754545211792,24207012856.0,34927337472.0,2442476747.5,218761986048.0,2250331648.0,54.98652467131615,545000000.0,0.06472080945968628,6791094.3017578125,61.68872833251952,412306148.0,9315756.950195312,1595023.75,267194112.0,0.5393707752227783,0.13572156429290771,616382336.0,35693248.98730469,1132375.125,504075590.8359375,7.922013282775879,101.0,2.0,6691.0,1.0,21.32433319091797,2344.0,1651.0,3.0,64.0,60.0,66.0,33.0,32.0,38.0,72.0,456.0,2.0,76.44494771957397,3196.0,1.0,1.0,2.1585817337036133
26.49,50.47710800170898,49.513668060302734,1.2433455330984933,0.284680038690567,17.214046478271484,24.43582010269165,15.521873712539673,0.010613183490931976,7.485927104949951,8.110834121704102,25.997183799743652,8.205910444259644,98.81554412841795,1.1844568252563477,0.3325996994972229,25.37807273864746,52.875221252441406,181.14122009277344,0.6897526532411575,0.09455633163452147,1.6674364358186722,72.19239807128906,544936304.0,1.413177490234375,1.0402754545211792,24207012856.0,34927337472.0,2442476747.5,219837186048.0,2234664448.0,54.98652467131615,545000000.0,0.06472080945968628,6791094.3017578125,61.68872833251952,412306148.0,9315756.950195312,1595023.75,267194112.0,0.5738762617111206,0.13572156429290771,647343936.0,35693248.98730469,1178480.625,504075590.8359375,7.922013282775879,101.0,2.0,6691.0,1.0,21.32433319091797,2344.0,1651.0,3.0,64.0,60.0,66.0,33.0,32.0,38.0,72.0,456.0,2.0,76.44494771957397,3196.0,1.0,1.0,2.1585817337036133
26.59,50.410892486572266,49.55033874511719,1.2433455330984933,0.284680038690567,17.214046478271484,24.43582010269165,15.521873712539673,0.010613183490931976,7.018279552459717,8.005669593811035,25.997183799743652,8.205910444259644,98.8749771118164,1.1250234842300415,0.3024182915687561,25.37807273864746,52.875221252441406,181.14122009277344,0.6897526532411575,0.09455633163452147,1.6674364358186722,63.192230224609375,544936304.0,1.413177490234375,1.0402754545211792,24207012856.0,34927337472.0,2442476747.5,214717284352.0,2217640448.0,54.98652467131615,545000000.0,0.06472080945968628,6791094.3017578125,61.68872833251952,412306148.0,9315756.950195312,1595023.75,267194112.0,0.5279711484909058,0.13572156429290771,590553152.0,35693248.98730469,1090521.375,504075590.8359375,7.922013282775879,101.0,2.0,6691.0,1.0,21.32433319091797,2344.0,1651.0,3.0,64.0,60.0,66.0,33.0,32.0,38.0,72.0,456.0,2.0,76.44494771957397,3196.0,1.0,1.0,2.1585817337036133
26.69,50.46957015991211,49.53129577636719,1.2433455330984933,0.284680038690567,17.214046478271484,24.43582010269165,15.521873712539673,0.010613183490931976,7.173276424407959,8.058778762817383,25.997183799743652,8.205910444259644,98.85123443603516,1.148768663406372,0.336715817451477,25.37807273864746,52.875221252441406,181.14122009277344,0.6897526532411575,0.09455633163452147,1.6674364358186722,76.149169921875,544936304.0,1.413177490234375,1.0402754545211792,24207012856.0,34927337472.0,2442476747.5,208624435200.0,2141234560.0,54.98652467131615,545000000.0,0.06472080945968628,6791094.3017578125,61.68872833251952,412306148.0,9315756.950195312,1595023.75,267194112.0,0.5450653433799744,0.13572156429290771,590474752.0,35693248.98730469,1083909.0,504075590.8359375,7.922013282775879,101.0,2.0,6691.0,1.0,21.32433319091797,2344.0,1651.0,3.0,64.0,60.0,66.0,33.0,32.0,38.0,72.0,456.0,2.0,76.44494771957397,3196.0,1.0,1.0,2.1585817337036133
26.79,50.43798828125,49.5611457824707,1.2433455330984933,0.284680038690567,17.214046478271484,24.43582010269165,15.521873712539673,0.010613183490931976,6.960204124450684,8.014412879943848,25.997183799743652,8.205910444259644,98.87496948242188,1.1250275373458862,0.3070331811904907,25.37807273864746,52.875221252441406,181.14122009277344,0.6897526532411575,0.09455633163452147,1.6674364358186722,77.23959350585938,544936304.0,1.413177490234375,1.0402754545211792,24207012856.0,34927337472.0,2442476747.5,215334453248.0,2226433024.0,54.98652467131615,545000000.0,0.06472080945968628,6791094.3017578125,61.68872833251952,412306148.0,9315756.950195312,1595023.75,267194112.0,0.5243595242500305,0.13572156429290771,590880832.0,35693248.98730469,1091608.375,504075590.8359375,7.922013282775879,101.0,2.0,6691.0,1.0,21.32433319091797,2344.0,1651.0,3.0,64.0,60.0,66.0,33.0,32.0,38.0,72.0,456.0,2.0,76.44494771957397,3196.0,1.0,1.0,2.1585817337036133
26.89,50.45033645629883,49.54966354370117,1.2433455330984933,0.284680038690567,17.214046478271484,24.43582010269165,15.521873712539673,0.010613183490931976,7.735082626342773,8.056483268737793,25.997183799743652,8.205910444259644,98.80484008789062,1.19515860080719,0.3448527753353119,25.37807273864746,52.875221252441406,181.14122009277344,0.6897526532411575,0.09455633163452147,1.6674364358186722,61.824310302734375,544936304.0,1.413177490234375,1.0402754545211792,24207012856.0,34927337472.0,2442476747.5,218449936384.0,2216495616.0,54.98652467131615,545000000.0,0.06472080945968628,6791094.3017578125,61.68872833251952,412306148.0,9315756.950195312,1595023.75,267194112.0,0.5791603326797485,0.13572156429290771,648774592.0,35693248.98730469,1179579.875,504075590.8359375,7.922013282775879,101.0,2.0,6691.0,1.0,21.32433319091797,2344.0,1651.0,3.0,64.0,60.0,66.0,33.0,32.0,38.0,72.0,456.0,2.0,76.44494771957397,3196.0,1.0,1.0,2.1585817337036133
26.99,50.46255493164063,49.537445068359375,1.2433455330984933,0.284680038690567,17.214046478271484,24.43582010269165,15.521873712539673,0.010613183490931976,7.109909057617188,8.005000114440918,25.997183799743652,8.205910444259644,98.86023712158205,1.1397641897201538,0.3261982798576355,25.37807273864746,52.875221252441406,181.14122009277344,0.6897526532411575,0.09455633163452147,1.6674364358186722,65.91566467285156,544936304.0,1.413177490234375,1.0402754545211792,24207012856.0,34927337472.0,2442476747.5,219930066944.0,2263467776.0,54.98652467131615,545000000.0,0.06472080945968628,6791094.3017578125,61.68872833251952,412306148.0,9315756.950195312,1595023.75,267194112.0,0.5376846790313721,0.13572156429290771,615260544.0,35693248.98730469,1130243.75,504075590.8359375,7.905040740966797,1419.0,948.0,14306.0,2.0,35.82301712036133,2344.0,1651.0,3.0,56.0,53.0,53.0,27.0,29.0,27.0,72.0,456.0,2.0,76.38787031173706,3196.0,1.0,1.0,2.1612765789031982
27.0,50.46255493164063,49.537445068359375,1.2433455330984933,0.284680038690567,17.214046478271484,24.43582010269165,15.521873712539673,0.010613183490931976,7.109909057617188,8.005000114440918,25.997183799743652,8.205910444259644,98.86023712158205,1.1397641897201538,0.3261982798576355,25.37807273864746,52.875221252441406,181.14122009277344,0.6897526532411575,0.09455633163452147,1.6674364358186722,65.91566467285156,544936304.0,1.413177490234375,1.0402754545211792,24207012856.0,34927337472.0,2442476747.5,219930066944.0,2263467776.0,54.98652467131615,545000000.0,0.06472080945968628,6791094.3017578125,61.68872833251952,412306148.0,9315756.950195312,1595023.75,267194112.0,0.5376846790313721,0.13572156429290771,615260544.0,35693248.98730469,1130243.75,504075590.8359375,7.905040740966797,404.0,44.0,11700.0,2.0,35.82301712036133,2344.0,1651.0,3.0,56.0,53.0,53.0,27.0,29.0,27.0,72.0,456.0,2.0,76.38787031173706,3196.0,1.0,53.0,2.1612765789031982
27.07,50.46255493164063,49.537445068359375,1.2433455330984933,0.284680038690567,17.214046478271484,24.43582010269165,15.521873712539673,0.010613183490931976,7.109909057617188,8.005000114440918,25.997183799743652,8.205910444259644,98.86023712158205,1.1397641897201538,0.3261982798576355,25.37807273864746,52.875221252441406,181.14122009277344,0.6897526532411575,0.09455633163452147,1.6674364358186722,65.91566467285156,544936304.0,1.413177490234375,1.0402754545211792,24207012856.0,34927337472.0,2442476747.5,219930066944.0,2263467776.0,54.98652467131615,545000000.0,0.06472080945968628,6791094.3017578125,61.68872833251952,412306148.0,9315756.950195312,1595023.75,267194112.0,0.5376846790313721,0.13572156429290771,615260544.0,35693248.98730469,1130243.75,504075590.8359375,0.2040176093578338,243.0,58.0,7878.0,1.0,21.32433319091797,2344.0,1651.0,3.0,56.0,53.0,53.0,27.0,29.0,27.0,72.0,456.0,2.0,76.38787031173706,3196.0,1.0,1.0,2.1612765789031982
27.09,50.46847534179688,49.531524658203125,1.2433455330984933,0.284680038690567,17.214046478271484,24.43582010269165,15.521873712539673,0.010613183490931976,7.087642669677734,8.0572509765625,25.997183799743652,8.205910444259644,98.84825897216795,1.1517393589019775,0.3262767493724823,25.37807273864746,52.875221252441406,181.14122009277344,0.6897526532411575,0.09455633163452147,1.6674364358186722,69.2252197265625,544936304.0,1.413177490234375,1.0402754545211792,24207012856.0,34927337472.0,2442476747.5,209811898368.0,2157164544.0,54.98652467131615,545000000.0,0.06472080945968628,6791094.3017578125,61.68872833251952,412306148.0,9315756.950195312,1595023.75,267194112.0,0.5404318571090698,0.13572156429290771,589919872.0,35693248.98730469,1084990.375,504075590.8359375,0.2040176093578338,243.0,58.0,7878.0,1.0,21.32433319091797,2344.0,1651.0,3.0,56.0,53.0,53.0,27.0,29.0,27.0,72.0,456.0,2.0,76.38787031173706,3196.0,1.0,1.0,2.1612765789031982
