Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
10.17,67.68795776367188,32.32163619995117,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,22.20975875854492,1.3896455764770508,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,60.59847259521485,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,242551586816.0,2126896512.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,2.0864949226379395,-1.0,-1.0,76234068.8,8780832.0,1741143952.159375,0.7963343858718872,986.0,460.0,12211.0,4.0,23.089874267578125,3054.0,2361.0,4.0,72.0,73.0,72.0,71.0,57.0,78.0,90.0,456.0,2.0,58.83771181106568,0.6300400495529175,3196.0,1.0,60.0,5.191948890686035
10.27,67.70307159423828,32.28937530517578,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,22.21257972717285,1.3695647716522217,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,36.20683670043945,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,243987808256.0,2139432960.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,2.0865554809570312,-1.0,-1.0,76234068.8,8621937.0,1741143952.159375,0.7963343858718872,986.0,460.0,12211.0,4.0,23.089874267578125,3054.0,2361.0,4.0,72.0,73.0,72.0,71.0,57.0,78.0,90.0,456.0,2.0,58.83771181106568,0.6300400495529175,3196.0,1.0,60.0,5.191948890686035
10.37,67.66297149658203,32.33906173706055,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,22.43377685546875,1.3887791633605957,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,66.18091583251953,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,245364424704.0,2149557504.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,2.08892560005188,-1.0,-1.0,76234068.8,8618835.0,1741143952.159375,0.7963343858718872,986.0,460.0,12211.0,4.0,23.089874267578125,3054.0,2361.0,4.0,72.0,73.0,72.0,71.0,57.0,78.0,90.0,456.0,2.0,58.83771181106568,0.6300400495529175,3196.0,1.0,60.0,5.191948890686035
10.47,67.67842864990234,32.32263946533203,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,22.23825454711914,1.3773025274276731,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,66.96570587158203,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,244226572288.0,2142956416.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,2.0842432975769043,-1.0,-1.0,76234068.8,8602900.0,1741143952.159375,0.7963343858718872,986.0,460.0,12211.0,4.0,23.089874267578125,3054.0,2361.0,4.0,72.0,73.0,72.0,71.0,57.0,78.0,90.0,456.0,2.0,58.83771181106568,0.6300400495529175,3196.0,1.0,60.0,5.191948890686035
10.56,67.67842864990234,32.32263946533203,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,22.23825454711914,1.3773025274276731,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,66.96570587158203,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,244226572288.0,2142956416.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,2.0842432975769043,-1.0,-1.0,76234068.8,8602900.0,1741143952.159375,0.2548955678939819,287.0,48.0,7856.0,1.0,38.10739517211914,3054.0,2361.0,4.0,72.0,73.0,72.0,71.0,57.0,78.0,90.0,456.0,2.0,58.83771181106568,0.6300400495529175,3196.0,1.0,60.0,5.191948890686035
10.57,67.681396484375,32.3060188293457,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,22.39308357238769,1.3783552646636963,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,63.24772644042969,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,243457523712.0,2135429120.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,2.084491014480591,-1.0,-1.0,76234068.8,8585003.0,1741143952.159375,0.2548955678939819,287.0,48.0,7856.0,1.0,38.10739517211914,3054.0,2361.0,4.0,72.0,73.0,72.0,71.0,57.0,78.0,90.0,456.0,2.0,58.83771181106568,0.6300400495529175,3196.0,1.0,60.0,5.191948890686035
10.67,67.70561218261719,32.29799270629883,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,22.236331939697266,1.443492770195007,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,70.96856689453125,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,244870873088.0,2146680960.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,2.087166547775269,-1.0,-1.0,76234068.8,8860297.0,1741143952.159375,0.2548955678939819,287.0,48.0,7856.0,1.0,38.10739517211914,3054.0,2361.0,4.0,72.0,73.0,72.0,71.0,57.0,78.0,90.0,456.0,2.0,58.83771181106568,0.6300400495529175,3196.0,1.0,60.0,5.191948890686035
10.77,67.65431213378906,32.350181579589844,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,22.212512969970703,1.3882241249084473,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,83.13379669189453,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,242734235648.0,2129214464.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,2.0851218700408936,-1.0,-1.0,76234068.8,8596813.0,1741143952.159375,0.2548955678939819,287.0,48.0,7856.0,1.0,38.10739517211914,3054.0,2361.0,4.0,72.0,73.0,72.0,71.0,57.0,78.0,90.0,456.0,2.0,58.83771181106568,0.6300400495529175,3196.0,1.0,60.0,5.191948890686035
10.79,67.65431213378906,32.350181579589844,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,22.212512969970703,1.3882241249084473,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,83.13379669189453,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,242734235648.0,2129214464.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,2.0851218700408936,-1.0,-1.0,76234068.8,8596813.0,1741143952.159375,0.2659544348716736,106.0,2.0,6313.0,1.0,38.10739517211914,3054.0,2361.0,4.0,72.0,73.0,72.0,71.0,57.0,78.0,90.0,456.0,2.0,58.83771181106568,0.6300400495529175,3196.0,1.0,60.0,5.191948890686035
10.87,67.78849029541016,32.210445404052734,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,22.424694061279297,1.33913254737854,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,89.08111572265625,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,244078723072.0,2137644416.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,2.0899882316589355,-1.0,-1.0,76234068.8,8608366.0,1741143952.159375,0.2659544348716736,106.0,2.0,6313.0,1.0,38.10739517211914,3054.0,2361.0,4.0,72.0,73.0,72.0,71.0,57.0,78.0,90.0,456.0,2.0,58.83771181106568,0.6300400495529175,3196.0,1.0,60.0,5.191948890686035
