Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
20.72,69.83757019042969,30.15497589111328,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,21.498815536499023,27.173370361328125,81.02107747395833,22.82764498392741,97.91706085205078,2.082942485809326,0.2996894717216491,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.8050713539123535,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1425285632.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,5669149.0,2634597333.3333335,0.1926416456699371,377.0,43.0,11691.0,1.0,2.7228000164031982,3707.0,23497930123.0,1920.0,4.0,81.0,83.0,80.0,73.0,67.0,68.0,90.0,456.0,2.0,46.70209288597107,0.8171117305755615,3196.0,2.0,75.0,3.7789947986602783
20.74,69.83757019042969,30.15497589111328,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,21.498815536499023,27.173370361328125,81.02107747395833,22.82764498392741,97.91706085205078,2.082942485809326,0.2996894717216491,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.8050713539123535,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1425285632.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,5669149.0,2634597333.3333335,0.1926416456699371,377.0,43.0,11691.0,1.0,2.7228000164031982,3707.0,18418657854.0,1920.0,4.0,81.0,83.0,80.0,73.0,67.0,68.0,90.0,456.0,2.0,46.70209288597107,0.8171117305755615,3196.0,2.0,75.0,3.7789947986602783
20.75,69.83757019042969,30.15497589111328,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,21.498815536499023,27.173370361328125,81.02107747395833,22.82764498392741,97.91706085205078,2.082942485809326,0.2996894717216491,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.8050713539123535,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1425285632.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,5669149.0,2634597333.3333335,0.1926416456699371,377.0,43.0,11691.0,1.0,2.7228000164031982,3707.0,18432327329.0,1920.0,4.0,81.0,83.0,80.0,73.0,67.0,68.0,90.0,456.0,2.0,46.70209288597107,0.8171117305755615,3196.0,2.0,75.0,3.7789947986602783
20.76,69.83757019042969,30.15497589111328,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,21.498815536499023,27.173370361328125,81.02107747395833,22.82764498392741,97.91706085205078,2.082942485809326,0.2996894717216491,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.8050713539123535,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1425285632.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,5669149.0,2634597333.3333335,0.1926416456699371,377.0,43.0,11691.0,1.0,2.7228000164031982,3707.0,18447146714.0,1920.0,4.0,81.0,83.0,80.0,73.0,67.0,68.0,90.0,456.0,2.0,46.70209288597107,0.8171117305755615,3196.0,2.0,75.0,3.7789947986602783
20.77,69.86172485351562,30.13028717041016,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,21.347421646118164,27.712682723999023,81.02107747395833,22.82764498392741,97.91667938232422,2.083324193954468,0.2761181890964508,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.7914888262748718,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1425973120.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,5673621.0,2634597333.3333335,0.1926416456699371,377.0,43.0,11691.0,1.0,2.7228000164031982,3707.0,18462946425.0,1920.0,4.0,81.0,83.0,80.0,73.0,67.0,68.0,90.0,456.0,2.0,46.70209288597107,0.8171117305755615,3196.0,2.0,75.0,3.7789947986602783
20.78,69.86172485351562,30.13028717041016,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,21.347421646118164,27.712682723999023,81.02107747395833,22.82764498392741,97.91667938232422,2.083324193954468,0.2761181890964508,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.7914888262748718,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1425973120.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,5673621.0,2634597333.3333335,0.1926416456699371,377.0,43.0,11691.0,1.0,2.7228000164031982,3707.0,21095237886.5,1920.0,4.0,81.0,83.0,80.0,73.0,67.0,68.0,90.0,456.0,2.0,46.70209288597107,0.8171117305755615,3196.0,2.0,75.0,3.7789947986602783
20.79,69.86172485351562,30.13028717041016,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,21.347421646118164,27.712682723999023,81.02107747395833,22.82764498392741,97.91667938232422,2.083324193954468,0.2761181890964508,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.7914888262748718,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1425973120.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,5673621.0,2634597333.3333335,0.1926416456699371,377.0,43.0,11691.0,1.0,2.7228000164031982,3707.0,23519268465.0,1920.0,4.0,81.0,83.0,80.0,73.0,67.0,68.0,90.0,456.0,2.0,46.70209288597107,0.8171117305755615,3196.0,2.0,75.0,3.7789947986602783
20.8,69.86172485351562,30.13028717041016,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,21.347421646118164,27.712682723999023,81.02107747395833,22.82764498392741,97.91667938232422,2.083324193954468,0.2761181890964508,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.7914888262748718,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1425973120.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,5673621.0,2634597333.3333335,0.1926416456699371,377.0,43.0,11691.0,1.0,2.7228000164031982,3707.0,23395854953.666668,1920.0,4.0,81.0,83.0,80.0,73.0,67.0,68.0,90.0,456.0,2.0,46.70209288597107,0.8171117305755615,3196.0,2.0,75.0,3.7789947986602783
20.81,69.86172485351562,30.13028717041016,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,21.347421646118164,27.712682723999023,81.02107747395833,22.82764498392741,97.91667938232422,2.083324193954468,0.2761181890964508,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.7914888262748718,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1425973120.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,5673621.0,2634597333.3333335,0.1926416456699371,377.0,43.0,11691.0,1.0,2.7228000164031982,3707.0,18495107157.0,1920.0,4.0,81.0,83.0,80.0,73.0,67.0,68.0,90.0,456.0,2.0,46.70209288597107,0.8171117305755615,3196.0,2.0,75.0,3.7789947986602783
20.82,69.86172485351562,30.13028717041016,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,21.347421646118164,27.712682723999023,81.02107747395833,22.82764498392741,97.91667938232422,2.083324193954468,0.2761181890964508,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.7914888262748718,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1425973120.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,5673621.0,2634597333.3333335,0.1926416456699371,377.0,43.0,11691.0,1.0,2.7228000164031982,3707.0,18510793045.0,1920.0,4.0,81.0,83.0,80.0,73.0,67.0,68.0,90.0,456.0,2.0,46.70209288597107,0.8171117305755615,3196.0,2.0,75.0,3.7789947986602783
20.83,69.86172485351562,30.13028717041016,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,21.347421646118164,27.712682723999023,81.02107747395833,22.82764498392741,97.91667938232422,2.083324193954468,0.2761181890964508,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.7914888262748718,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1425973120.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,5673621.0,2634597333.3333335,0.1926416456699371,377.0,43.0,11691.0,1.0,2.7228000164031982,3707.0,18699034777.0,1920.0,4.0,81.0,83.0,80.0,73.0,67.0,68.0,90.0,456.0,2.0,46.70209288597107,0.8171117305755615,3196.0,2.0,75.0,3.7789947986602783
20.84,69.86172485351562,30.13028717041016,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,21.347421646118164,27.712682723999023,81.02107747395833,22.82764498392741,97.91667938232422,2.083324193954468,0.2761181890964508,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.7914888262748718,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1425973120.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,5673621.0,2634597333.3333335,0.1926416456699371,377.0,43.0,11691.0,1.0,2.7228000164031982,3707.0,22518487321.6,1920.0,4.0,81.0,83.0,80.0,73.0,67.0,68.0,90.0,456.0,2.0,46.70209288597107,0.8171117305755615,3196.0,2.0,75.0,3.7789947986602783
20.86,69.86172485351562,30.13028717041016,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,21.347421646118164,27.712682723999023,81.02107747395833,22.82764498392741,97.91667938232422,2.083324193954468,0.2761181890964508,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.7914888262748718,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1425973120.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,5673621.0,2634597333.3333335,0.1926416456699371,377.0,43.0,11691.0,1.0,2.7228000164031982,3707.0,18541072498.0,1920.0,4.0,81.0,83.0,80.0,73.0,67.0,68.0,90.0,456.0,2.0,46.70209288597107,0.8171117305755615,3196.0,2.0,75.0,3.7789947986602783
20.87,69.83927154541016,30.152666091918945,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,21.481653213500977,27.14737701416016,81.02107747395833,22.82764498392741,97.91497039794922,2.085029363632202,0.2622067332267761,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.7797774076461792,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1426203392.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,5672835.5,2634597333.3333335,0.1926416456699371,377.0,43.0,11691.0,1.0,2.7228000164031982,3707.0,18639748954.0,1920.0,4.0,81.0,83.0,80.0,73.0,67.0,68.0,90.0,456.0,2.0,46.70209288597107,0.8171117305755615,3196.0,2.0,75.0,3.7789947986602783
20.88,69.83927154541016,30.152666091918945,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,21.481653213500977,27.14737701416016,81.02107747395833,22.82764498392741,97.91497039794922,2.085029363632202,0.2622067332267761,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.7797774076461792,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1426203392.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,5672835.5,2634597333.3333335,0.1926416456699371,377.0,43.0,11691.0,1.0,2.7228000164031982,3707.0,23565901051.0,1920.0,4.0,81.0,83.0,80.0,73.0,67.0,68.0,90.0,456.0,2.0,46.70209288597107,0.8171117305755615,3196.0,2.0,75.0,3.7789947986602783
