Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
8.53,25.0498902457101,17.807252611432755,1.2768056052071708,0.8913050549370902,15.43451200212751,32.3976069859096,0.3717330013002668,22.67864990234375,31.626577377319336,33.60986764090402,9.375334875924247,0.5098763108253479,27.430430821010045,71.49896894182477,134.2585231236049,0.4413630451474871,0.17028181467737472,2.932180949619838,0.6806170344352722,544987328.0,-1.0,2.992616449083601,78649084196.57143,100468679826.28572,-1.0,-1.0,1874471296.0,100.0,545000000.0,0.1143062242439815,9088123.285714285,50.17482648577009,873958875.4285715,17917217.42857143,2053095.357142857,731969536.0,-1.0,0.3997625027384077,-1.0,64068594.28571428,7620822.0,158351.74479166666,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2909.0,13297891961.0,1920.0,4.0,97.0,98.0,98.0,88.0,93.0,91.0,90.0,545.0,2.0,30.17216920852661,2736.0,1.0,13.0,3.3575315475463867
8.54,25.0498902457101,17.807252611432755,1.2768056052071708,0.8913050549370902,15.43451200212751,32.3976069859096,0.3717330013002668,22.67864990234375,31.626577377319336,33.60986764090402,9.375334875924247,0.5098763108253479,27.430430821010045,71.49896894182477,134.2585231236049,0.4413630451474871,0.17028181467737472,2.932180949619838,0.6806170344352722,544987328.0,-1.0,2.992616449083601,78649084196.57143,100468679826.28572,-1.0,-1.0,1874471296.0,100.0,545000000.0,0.1143062242439815,9088123.285714285,50.17482648577009,873958875.4285715,17917217.42857143,2053095.357142857,731969536.0,-1.0,0.3997625027384077,-1.0,64068594.28571428,7620822.0,158351.74479166666,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2909.0,9770290217.0,1920.0,4.0,97.0,98.0,98.0,88.0,93.0,91.0,90.0,545.0,2.0,30.17216920852661,2736.0,1.0,13.0,3.3575315475463867
8.55,25.0498902457101,17.807252611432755,1.2768056052071708,0.8913050549370902,15.43451200212751,32.3976069859096,0.3717330013002668,22.67864990234375,31.626577377319336,33.60986764090402,9.375334875924247,0.5098763108253479,27.430430821010045,71.49896894182477,134.2585231236049,0.4413630451474871,0.17028181467737472,2.932180949619838,0.6806170344352722,544987328.0,-1.0,2.992616449083601,78649084196.57143,100468679826.28572,-1.0,-1.0,1874471296.0,100.0,545000000.0,0.1143062242439815,9088123.285714285,50.17482648577009,873958875.4285715,17917217.42857143,2053095.357142857,731969536.0,-1.0,0.3997625027384077,-1.0,64068594.28571428,7620822.0,158351.74479166666,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2909.0,9793552673.0,1920.0,4.0,97.0,98.0,98.0,88.0,93.0,91.0,90.0,545.0,2.0,30.17216920852661,2736.0,1.0,13.0,3.3575315475463867
8.56,25.0498902457101,17.807252611432755,1.2768056052071708,0.8913050549370902,15.43451200212751,32.3976069859096,0.3717330013002668,22.67864990234375,31.626577377319336,33.60986764090402,9.375334875924247,0.5098763108253479,27.430430821010045,71.49896894182477,134.2585231236049,0.4413630451474871,0.17028181467737472,2.932180949619838,0.6806170344352722,544987328.0,-1.0,2.992616449083601,78649084196.57143,100468679826.28572,-1.0,-1.0,1874471296.0,100.0,545000000.0,0.1143062242439815,9088123.285714285,50.17482648577009,873958875.4285715,17917217.42857143,2053095.357142857,731969536.0,-1.0,0.3997625027384077,-1.0,64068594.28571428,7620822.0,158351.74479166666,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2909.0,10703702915.0,1920.0,4.0,97.0,98.0,98.0,88.0,93.0,91.0,90.0,545.0,2.0,30.17216920852661,2736.0,1.0,13.0,3.3575315475463867
8.58,25.0498902457101,17.807252611432755,1.2768056052071708,0.8913050549370902,15.43451200212751,32.3976069859096,0.3717330013002668,22.67864990234375,31.626577377319336,33.60986764090402,9.375334875924247,0.5098763108253479,27.430430821010045,71.49896894182477,134.2585231236049,0.4413630451474871,0.17028181467737472,2.932180949619838,0.6806170344352722,544987328.0,-1.0,2.992616449083601,78649084196.57143,100468679826.28572,-1.0,-1.0,1874471296.0,100.0,545000000.0,0.1143062242439815,9088123.285714285,50.17482648577009,873958875.4285715,17917217.42857143,2053095.357142857,731969536.0,-1.0,0.3997625027384077,-1.0,64068594.28571428,7620822.0,158351.74479166666,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2909.0,10734462968.0,1920.0,4.0,97.0,98.0,98.0,88.0,93.0,91.0,90.0,545.0,2.0,30.17216920852661,2736.0,1.0,13.0,3.3575315475463867
8.59,25.0498902457101,17.807252611432755,1.2768056052071708,0.8913050549370902,15.43451200212751,32.3976069859096,0.3717330013002668,22.650287628173828,31.665435791015625,33.60986764090402,9.375334875924247,0.5185661315917969,27.430430821010045,71.49896894182477,134.2585231236049,0.4413630451474871,0.17028181467737472,2.932180949619838,0.6608336567878723,544987328.0,-1.0,2.992616449083601,78649084196.57143,100468679826.28572,-1.0,-1.0,1874188288.0,100.0,545000000.0,0.1143062242439815,9088123.285714285,50.17482648577009,873958875.4285715,17917217.42857143,2053095.357142857,731969536.0,-1.0,0.3997625027384077,-1.0,64068594.28571428,7619791.0,158351.74479166666,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2909.0,10763705628.0,1920.0,4.0,97.0,98.0,98.0,88.0,93.0,91.0,90.0,545.0,2.0,30.17216920852661,2736.0,1.0,13.0,3.3575315475463867
8.6,25.0498902457101,17.807252611432755,1.2768056052071708,0.8913050549370902,15.43451200212751,32.3976069859096,0.3717330013002668,22.650287628173828,31.665435791015625,33.60986764090402,9.375334875924247,0.5185661315917969,27.430430821010045,71.49896894182477,134.2585231236049,0.4413630451474871,0.17028181467737472,2.932180949619838,0.6608336567878723,544987328.0,-1.0,2.992616449083601,78649084196.57143,100468679826.28572,-1.0,-1.0,1874188288.0,100.0,545000000.0,0.1143062242439815,9088123.285714285,50.17482648577009,873958875.4285715,17917217.42857143,2053095.357142857,731969536.0,-1.0,0.3997625027384077,-1.0,64068594.28571428,7619791.0,158351.74479166666,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2909.0,13403581496.0,1920.0,4.0,97.0,98.0,98.0,88.0,93.0,91.0,90.0,545.0,2.0,30.17216920852661,2736.0,1.0,13.0,3.3575315475463867
8.61,25.0498902457101,17.807252611432755,1.2768056052071708,0.8913050549370902,15.43451200212751,32.3976069859096,0.3717330013002668,22.650287628173828,31.665435791015625,33.60986764090402,9.375334875924247,0.5185661315917969,27.430430821010045,71.49896894182477,134.2585231236049,0.4413630451474871,0.17028181467737472,2.932180949619838,0.6608336567878723,544987328.0,-1.0,2.992616449083601,78649084196.57143,100468679826.28572,-1.0,-1.0,1874188288.0,100.0,545000000.0,0.1143062242439815,9088123.285714285,50.17482648577009,873958875.4285715,17917217.42857143,2053095.357142857,731969536.0,-1.0,0.3997625027384077,-1.0,64068594.28571428,7619791.0,158351.74479166666,0.3545462191104889,1027.0,451.0,12238.0,2.0,20.663707733154297,2909.0,13428105086.0,1920.0,4.0,76.0,76.0,72.0,64.0,80.0,79.0,90.0,545.0,2.0,31.38027787208557,2736.0,1.0,65.0,3.351503610610962
8.62,25.0498902457101,17.807252611432755,1.2768056052071708,0.8913050549370902,15.43451200212751,32.3976069859096,0.3717330013002668,22.650287628173828,31.665435791015625,33.60986764090402,9.375334875924247,0.5185661315917969,27.430430821010045,71.49896894182477,134.2585231236049,0.4413630451474871,0.17028181467737472,2.932180949619838,0.6608336567878723,544987328.0,-1.0,2.992616449083601,78649084196.57143,100468679826.28572,-1.0,-1.0,1874188288.0,100.0,545000000.0,0.1143062242439815,9088123.285714285,50.17482648577009,873958875.4285715,17917217.42857143,2053095.357142857,731969536.0,-1.0,0.3997625027384077,-1.0,64068594.28571428,7619791.0,158351.74479166666,0.3545462191104889,1027.0,451.0,12238.0,2.0,20.663707733154297,2909.0,10820290667.0,1920.0,4.0,76.0,76.0,72.0,64.0,80.0,79.0,90.0,545.0,2.0,31.38027787208557,2736.0,1.0,65.0,3.351503610610962
8.64,25.0498902457101,17.807252611432755,1.2768056052071708,0.8913050549370902,15.43451200212751,32.3976069859096,0.3717330013002668,22.650287628173828,31.665435791015625,33.60986764090402,9.375334875924247,0.5185661315917969,27.430430821010045,71.49896894182477,134.2585231236049,0.4413630451474871,0.17028181467737472,2.932180949619838,0.6608336567878723,544987328.0,-1.0,2.992616449083601,78649084196.57143,100468679826.28572,-1.0,-1.0,1874188288.0,100.0,545000000.0,0.1143062242439815,9088123.285714285,50.17482648577009,873958875.4285715,17917217.42857143,2053095.357142857,731969536.0,-1.0,0.3997625027384077,-1.0,64068594.28571428,7619791.0,158351.74479166666,0.3545462191104889,1027.0,451.0,12238.0,2.0,20.663707733154297,2909.0,10847232770.0,1920.0,4.0,76.0,76.0,72.0,64.0,80.0,79.0,90.0,545.0,2.0,31.38027787208557,2736.0,1.0,65.0,3.351503610610962
8.65,25.0498902457101,17.807252611432755,1.2768056052071708,0.8913050549370902,15.43451200212751,32.3976069859096,0.3717330013002668,22.650287628173828,31.665435791015625,33.60986764090402,9.375334875924247,0.5185661315917969,27.430430821010045,71.49896894182477,134.2585231236049,0.4413630451474871,0.17028181467737472,2.932180949619838,0.6608336567878723,544987328.0,-1.0,2.992616449083601,78649084196.57143,100468679826.28572,-1.0,-1.0,1874188288.0,100.0,545000000.0,0.1143062242439815,9088123.285714285,50.17482648577009,873958875.4285715,17917217.42857143,2053095.357142857,731969536.0,-1.0,0.3997625027384077,-1.0,64068594.28571428,7619791.0,158351.74479166666,0.1573439985513687,102.0,2.0,6330.0,1.0,20.663707733154297,2909.0,10877335654.0,1920.0,4.0,76.0,76.0,72.0,64.0,80.0,79.0,90.0,545.0,2.0,31.38027787208557,2736.0,1.0,2.0,3.351503610610962
8.66,25.0498902457101,17.807252611432755,1.2768056052071708,0.8913050549370902,15.43451200212751,32.3976069859096,0.3717330013002668,22.650287628173828,31.665435791015625,33.60986764090402,9.375334875924247,0.5185661315917969,27.430430821010045,71.49896894182477,134.2585231236049,0.4413630451474871,0.17028181467737472,2.932180949619838,0.6608336567878723,544987328.0,-1.0,2.992616449083601,78649084196.57143,100468679826.28572,-1.0,-1.0,1874188288.0,100.0,545000000.0,0.1143062242439815,9088123.285714285,50.17482648577009,873958875.4285715,17917217.42857143,2053095.357142857,731969536.0,-1.0,0.3997625027384077,-1.0,64068594.28571428,7619791.0,158351.74479166666,0.1573439985513687,102.0,2.0,6330.0,1.0,20.663707733154297,2909.0,10905507770.0,1920.0,4.0,76.0,76.0,72.0,64.0,80.0,79.0,90.0,545.0,2.0,31.38027787208557,2736.0,1.0,2.0,3.351503610610962
8.67,25.0498902457101,17.807252611432755,1.2768056052071708,0.8913050549370902,15.43451200212751,32.3976069859096,0.3717330013002668,22.650287628173828,31.665435791015625,33.60986764090402,9.375334875924247,0.5185661315917969,27.430430821010045,71.49896894182477,134.2585231236049,0.4413630451474871,0.17028181467737472,2.932180949619838,0.6608336567878723,544987328.0,-1.0,2.992616449083601,78649084196.57143,100468679826.28572,-1.0,-1.0,1874188288.0,100.0,545000000.0,0.1143062242439815,9088123.285714285,50.17482648577009,873958875.4285715,17917217.42857143,2053095.357142857,731969536.0,-1.0,0.3997625027384077,-1.0,64068594.28571428,7619791.0,158351.74479166666,0.1573439985513687,102.0,2.0,6330.0,1.0,20.663707733154297,2909.0,10934189433.0,1920.0,4.0,76.0,76.0,72.0,64.0,80.0,79.0,90.0,545.0,2.0,31.38027787208557,2736.0,1.0,2.0,3.351503610610962
8.69,25.0498902457101,17.807252611432755,1.2768056052071708,0.8913050549370902,15.43451200212751,32.3976069859096,0.3717330013002668,22.46544075012207,32.48438262939453,33.60986764090402,9.375334875924247,0.4996762573719024,27.430430821010045,71.49896894182477,134.2585231236049,0.4413630451474871,0.17028181467737472,2.932180949619838,0.6754584908485413,544987328.0,-1.0,2.992616449083601,78649084196.57143,100468679826.28572,-1.0,-1.0,1873530496.0,100.0,545000000.0,0.1143062242439815,9088123.285714285,50.17482648577009,873958875.4285715,17917217.42857143,2053095.357142857,731969536.0,-1.0,0.3997625027384077,-1.0,64068594.28571428,7619794.5,158351.74479166666,0.1573439985513687,102.0,2.0,6330.0,1.0,20.663707733154297,2909.0,10963167995.0,1920.0,4.0,76.0,76.0,72.0,64.0,80.0,79.0,90.0,545.0,2.0,31.38027787208557,2736.0,1.0,2.0,3.351503610610962
8.7,25.0498902457101,17.807252611432755,1.2768056052071708,0.8913050549370902,15.43451200212751,32.3976069859096,0.3717330013002668,22.46544075012207,32.48438262939453,33.60986764090402,9.375334875924247,0.4996762573719024,27.430430821010045,71.49896894182477,134.2585231236049,0.4413630451474871,0.17028181467737472,2.932180949619838,0.6754584908485413,544987328.0,-1.0,2.992616449083601,78649084196.57143,100468679826.28572,-1.0,-1.0,1873530496.0,100.0,545000000.0,0.1143062242439815,9088123.285714285,50.17482648577009,873958875.4285715,17917217.42857143,2053095.357142857,731969536.0,-1.0,0.3997625027384077,-1.0,64068594.28571428,7619794.5,158351.74479166666,0.1573439985513687,102.0,2.0,6330.0,1.0,20.663707733154297,2909.0,12288738949.0,1920.0,4.0,76.0,76.0,72.0,64.0,80.0,79.0,90.0,545.0,2.0,31.38027787208557,2736.0,1.0,2.0,3.351503610610962
8.72,25.0498902457101,17.807252611432755,1.2768056052071708,0.8913050549370902,15.43451200212751,32.3976069859096,0.3717330013002668,22.46544075012207,32.48438262939453,33.60986764090402,9.375334875924247,0.4996762573719024,27.430430821010045,71.49896894182477,134.2585231236049,0.4413630451474871,0.17028181467737472,2.932180949619838,0.6754584908485413,544987328.0,-1.0,2.992616449083601,78649084196.57143,100468679826.28572,-1.0,-1.0,1873530496.0,100.0,545000000.0,0.1143062242439815,9088123.285714285,50.17482648577009,873958875.4285715,17917217.42857143,2053095.357142857,731969536.0,-1.0,0.3997625027384077,-1.0,64068594.28571428,7619794.5,158351.74479166666,0.1573439985513687,102.0,2.0,6330.0,1.0,20.663707733154297,2909.0,11018917406.0,1920.0,4.0,76.0,76.0,72.0,64.0,80.0,79.0,90.0,545.0,2.0,31.38027787208557,2736.0,1.0,2.0,3.351503610610962
8.73,25.0498902457101,17.807252611432755,1.2768056052071708,0.8913050549370902,15.43451200212751,32.3976069859096,0.3717330013002668,22.46544075012207,32.48438262939453,33.60986764090402,9.375334875924247,0.4996762573719024,27.430430821010045,71.49896894182477,134.2585231236049,0.4413630451474871,0.17028181467737472,2.932180949619838,0.6754584908485413,544987328.0,-1.0,2.992616449083601,78649084196.57143,100468679826.28572,-1.0,-1.0,1873530496.0,100.0,545000000.0,0.1143062242439815,9088123.285714285,50.17482648577009,873958875.4285715,17917217.42857143,2053095.357142857,731969536.0,-1.0,0.3997625027384077,-1.0,64068594.28571428,7619794.5,158351.74479166666,0.1573439985513687,102.0,2.0,6330.0,1.0,20.663707733154297,2909.0,11046647349.0,1920.0,4.0,76.0,76.0,72.0,64.0,80.0,79.0,90.0,545.0,2.0,31.38027787208557,2736.0,1.0,2.0,3.351503610610962
