Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.78,25.261182512555802,17.586815697806223,0.6331882476806641,1.0601907627923148,15.563659123011998,29.49059077671596,33.34114728655134,0.11352750046976975,10.41059820992606,9.05933679853167,30.620438711983816,8.833969116210938,0.2521161724414144,20.800985063825333,63.62700326102121,161.42825317382812,0.3550503211362021,0.17081076971122197,4.409459182194301,0.06133369888578142,545016118.8571428,1.2774395091193063,-1.0,39126172818.28571,67830148534.85714,4395269924.571428,77436516059.42857,1319343506.2857144,68.3017989567348,545000000.0,0.11767130664416721,8713236.357142856,52.57738821847098,665570130.2857143,17160457.589285713,1153870.3214285714,552426980.5714285,0.4499818427222116,0.18851969923291886,-1.0,52121376.28571428,8992365.375,846826364.7745535,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
0.79,7.580006190708706,6.705708095005581,0.6331882476806641,0.14019113779067996,7.027615138462612,9.908635820661273,11.318864004952568,0.1387012771197728,4.402455193655832,4.116225106375557,10.279360089983259,3.2042015620640343,0.09809206213269915,7.019183022635325,20.504553658621653,44.762725830078125,0.14780897753579272,0.05868497916630335,0.6910862922668457,0.06133369888578142,544987108.5714285,0.47629332542419434,-1.0,14411005952.0,24637819172.57143,1813783844.5714285,28543699236.57143,473040822.85714287,90.00873838152204,545000000.0,0.03449332288333347,3049072.8571428573,52.57738821847098,235335972.57142857,5999758.857142857,311591.5,200476672.0,0.14863969598497664,0.11998842443738665,-1.0,15261491.42857143,3154762.5714285714,364339344.75223213,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
0.8,37.21695927211216,19.63845419883728,1.323159864970616,14.528063545269626,38.71559892381941,43.922045843941824,45.13014643532889,0.10039510093961972,14.28390189579555,13.022265434265137,45.326673780168804,12.12555293738842,0.4481434015823262,32.33466175624302,108.48098427908761,208.01133946010046,0.9861659833363124,0.20705388912132808,4.6256477194173,0.11170313188007899,544982043.4285715,1.8141629525593348,-1.0,55421377426.28571,95597718966.85715,6414120548.571428,109634358454.85715,1855505858.2857144,32.48999646731785,545000000.0,0.15131308989865438,14899646.881138394,50.23915754045759,992060989.7142857,26025486.66629464,2191356.964285714,777851830.8571428,0.5922103864806039,0.3558586154665266,-1.0,80848530.95256697,14498447.9765625,1292119684.283482,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
0.81,31.351040976388113,26.31661060878209,1.150723201887948,0.8628797020230975,22.893546513148717,39.77615901402065,43.031607491629465,0.11833443522586352,15.247123445783343,14.818936211722237,41.441727774483816,12.764253343854632,0.4985346623829433,28.35091999598912,97.696531023298,200.6453639439174,0.5124026920114245,0.24935839431626455,2.709390299660819,0.0618837262902941,544897622.8571428,1.8877755573817665,-1.0,49720246857.14286,85808680374.85715,5787169206.857142,98411757568.0,1660583625.142857,57.925218854631694,545000000.0,0.1501957369702203,10929532.57142857,50.07041277204241,842576512.0,21570403.0,1200746.6830357143,702574619.4285715,0.6043134587151664,0.6239398121833801,-1.0,63011610.85714286,11309716.410714285,1120800016.700893,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
0.82,8.410997663225446,5.87471662248884,1.150723201887948,0.3514965942927769,7.081990923200334,9.874157496861049,11.345326014927455,0.04525034768240792,3.8853490012032643,3.1755687168666293,10.244861057826451,3.0381137302943637,0.062338160617010925,6.924691881452288,20.292037963867188,43.79115949358259,0.1462311914988926,0.06106794731957571,0.8340388706752232,0.0618837262902941,545017389.7142857,0.434959922518049,-1.0,16503863003.428572,28535565750.857143,1932856173.7142856,32704502637.714287,551797028.5714285,89.83573995317731,545000000.0,0.04208589877401079,3608986.0,50.07041277204241,298596260.5714286,7139853.714285715,341744.6785714286,248805961.14285713,0.1493984631129674,0.10096630028315953,-1.0,21567888.0,3694224.5714285714,379375724.09821427,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
0.83,16.693431309291295,11.877997262137276,1.150723201887948,0.3549051965985979,14.317996433803014,19.948040553501674,24.618771655218943,0.01731397371206963,8.422674230166844,7.369618279593332,20.687508719308035,6.157815933227539,0.2833410033157894,13.885831560407366,42.03161403111049,88.76394653320312,0.29602023533412386,0.11001210127558027,1.5170008114406042,0.0618837262902941,545010212.5714285,0.8768345628465924,-1.0,38203542966.85714,65952537453.71429,4408177078.857142,75587988918.85715,1278682569.142857,70.3465221949986,545000000.0,0.11482508267675128,8377581.714285715,50.07041277204241,622575555.7857143,16461124.101143973,1005955.5714285715,521105133.71428573,0.30363941192626953,0.20934329714093888,-1.0,47186915.428571425,8686138.672572544,855867369.5513393,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
0.84,25.103376116071427,17.753766741071427,1.150723201887948,0.6731775573321751,21.49437986101423,29.842328752790177,34.197418212890625,0.06602320447564122,11.512837273733956,10.723181588309151,30.95455605643136,9.197908129010882,0.3152347888265337,20.810576847621373,63.279506138392854,139.33321271623885,0.44031818423952374,0.16893668685640603,2.2906603131975447,0.0618837262902941,544982518.8571428,1.311814342226301,-1.0,56413373586.28571,97440003803.42857,6534424576.0,111667796845.71428,1888357924.5714285,69.23308290754046,545000000.0,0.11390048052583421,12350578.857142856,50.07041277204241,949754024.0892857,24311483.42857143,1345308.982142857,793963520.0,0.44787514209747314,0.3191617088658469,-1.0,70540684.57142857,12752441.714285715,1274377226.205357,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
0.85,17.829349517822266,10.583975655691964,0.37703408513750347,10.33888339783464,22.66474539893014,29.144064494541713,25.283673797334945,0.049013048144323466,7.534927913120815,6.192485536847796,31.97954273223877,11.20540362383638,0.25140226007040056,33.081116267613005,84.18970733029502,302.73335920061385,0.9476748875209263,0.10308914525168282,6.52006915637425,0.20030163867133005,544945298.2857143,2.2070699419294084,-1.0,35929100790.85714,62130176000.0,4027408242.0,71021599008.0,1211237935.4642856,37.9470385823931,545000000.0,0.0762015666280474,10540873.801199777,93.99927629743304,671284819.7142857,17504388.147460938,1780337.3214285714,505342829.71428573,0.29411074093409945,0.43899176801954,-1.0,58459444.84430803,10008475.736049106,822383813.4263393,0.4112298488616943,102.0,2.0,6330.0,1.0,22.742305755615234,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
0.86,7.58304214477539,6.702672140938895,0.37703408513750347,0.14112750121525355,7.023112705775669,9.925072806222099,11.19977787562779,0.0007800506427884,4.30141476222447,4.016970225742885,10.296796526227679,3.2088132585797995,0.08758854866027832,7.0187208993094305,20.50701904296875,44.770132882254465,0.14780373232705252,0.058788780655179694,0.6986841474260602,0.20030163867133005,545026450.2857143,0.4760960170200893,-1.0,14133637705.142857,24165040128.0,1778302537.142857,27994460745.142857,463976082.28571427,89.83542714800153,545000000.0,0.03439455160072872,2989242.8571428573,93.99927629743304,231732352.0,5882138.857142857,286356.4285714286,197080045.7142857,0.1486228704452515,0.11998070989336286,-1.0,15125982.857142856,3092748.8571428573,356625739.4207589,0.4112298488616943,102.0,2.0,6330.0,1.0,22.742305755615234,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
0.87,25.10732160295759,17.749821254185267,0.37703408513750347,0.7085632085800171,21.402891976492747,29.86341094970703,35.278453298977446,0.04503687417932919,12.037396567208427,10.745555332728795,30.974389212472097,9.207627432686943,0.3587170179401125,20.810492379324778,62.32587759835379,134.10200718470983,0.4422369514192854,0.16883595500673568,2.344479833330427,0.20030163867133005,544968804.5714285,1.31167847769601,-1.0,55653679104.0,96125499099.42857,6450858422.857142,110167284589.71428,1862696192.0,62.5057258605957,545000000.0,0.1136923176901681,12190856.857142856,93.99927629743304,936474305.5357143,24004806.920061383,1723296.8214285714,783096155.4285715,0.44790710721697125,0.31032649108341764,-1.0,69765521.14285715,12589748.920061383,1254825383.732143,0.4112298488616943,102.0,2.0,6330.0,1.0,22.742305755615234,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
0.88,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,12.423013414655413,10.447310856410436,30.462243216378347,9.05357824053083,0.34170460275241304,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.20030163867133005,545053860.5714285,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,109628667611.42857,1853852708.5714285,69.67704119001117,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,0.44789343220846994,0.31022827114377705,-1.0,69565329.14285715,12532349.42857143,1251408184.78125,0.4112298488616943,102.0,2.0,6330.0,1.0,22.742305755615234,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
0.89,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,12.423013414655413,10.447310856410436,30.462243216378347,9.05357824053083,0.34170460275241304,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.20030163867133005,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,109628667611.42857,1853852708.5714285,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,0.44789343220846994,0.31022827114377705,-1.0,69565329.14285715,12532349.42857143,153643.890625,1.1568028926849363,1097.0,460.0,12245.0,7.0,21.936717987060547,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
1.03,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,22.73480987548828,23.652767181396484,30.462243216378347,9.05357824053083,0.7183422446250916,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.5915501117706299,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,1267485824.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,8964108.0,153643.890625,1.1568028926849363,1097.0,460.0,12245.0,7.0,21.936717987060547,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
1.13,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,23.15749931335449,23.762868881225582,30.462243216378347,9.05357824053083,0.8210870623588562,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6183796525001526,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,1402538752.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,9878268.0,153643.890625,1.1568028926849363,1097.0,460.0,12245.0,7.0,21.936717987060547,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
1.23,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,21.695167541503903,23.35699844360352,30.462243216378347,9.05357824053083,0.6211487054824829,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6067402958869934,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,1317258112.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,9486861.0,153643.890625,1.1568028926849363,1097.0,460.0,12245.0,7.0,21.936717987060547,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
1.33,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,22.7405948638916,23.770944595336918,30.462243216378347,9.05357824053083,0.6351841688156128,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6330427527427673,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,1269783552.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,8975783.0,153643.890625,1.1568028926849363,1097.0,460.0,12245.0,7.0,21.936717987060547,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
