Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
8.0,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.545747756958008,32.51298904418945,54.6912727355957,15.971304893493652,0.5977405905723572,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6893337965011597,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1874073984.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,970072384.0,91754146.0,7623527.5,2184972543.9726562,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2796.0,1920.0,4.0,61.0,61.0,63.0,32.0,60.0,43.0,90.0,545.0,2.0,23.9726796746254,3196.0,64.0,3.148765802383423
8.04,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.512243270874023,31.738121032714844,54.6912727355957,15.971304893493652,0.553691029548645,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6389446258544922,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1888847104.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,989254336.0,91754146.0,7840615.0,2184972543.9726562,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2796.0,1920.0,4.0,61.0,61.0,63.0,32.0,60.0,43.0,90.0,545.0,2.0,23.9726796746254,3196.0,64.0,3.148765802383423
8.14,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.48198890686035,32.497501373291016,54.6912727355957,15.971304893493652,0.5577025413513184,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6608527898788452,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1910100224.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,982396608.0,91754146.0,7670604.0,2184972543.9726562,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2796.0,1920.0,4.0,61.0,61.0,63.0,32.0,60.0,43.0,90.0,545.0,2.0,23.9726796746254,3196.0,64.0,3.148765802383423
8.19,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.48198890686035,32.497501373291016,54.6912727355957,15.971304893493652,0.5577025413513184,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6608527898788452,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1910100224.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,982396608.0,91754146.0,7670604.0,2184972543.9726562,0.3664050102233886,1044.0,452.0,12236.0,2.0,25.943408966064453,2796.0,1920.0,4.0,82.0,81.0,82.0,74.0,80.0,75.0,90.0,545.0,2.0,29.18010950088501,3196.0,69.0,3.3581371307373047
8.24,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.675853729248047,31.750627517700195,54.6912727355957,15.971304893493652,0.5270528793334961,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6557157039642334,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1886628352.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,967076544.0,91754146.0,7597015.0,2184972543.9726562,0.3664050102233886,1044.0,452.0,12236.0,2.0,25.943408966064453,2796.0,1920.0,4.0,82.0,81.0,82.0,74.0,80.0,75.0,90.0,545.0,2.0,29.18010950088501,3196.0,69.0,3.3581371307373047
8.29,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.675853729248047,31.750627517700195,54.6912727355957,15.971304893493652,0.5270528793334961,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6557157039642334,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1886628352.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,967076544.0,91754146.0,7597015.0,2184972543.9726562,0.3664050102233886,103.0,2.0,6330.0,1.0,25.943408966064453,2796.0,1920.0,4.0,82.0,81.0,82.0,74.0,80.0,75.0,90.0,545.0,2.0,29.18010950088501,3196.0,5.0,3.3581371307373047
8.34,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.58372688293457,31.770767211914062,54.6912727355957,15.971304893493652,0.5962744951248169,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6484081149101257,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1900364416.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,996171072.0,91754146.0,7905129.5,2184972543.9726562,0.3664050102233886,103.0,2.0,6330.0,1.0,25.943408966064453,2796.0,1920.0,4.0,82.0,81.0,82.0,74.0,80.0,75.0,90.0,545.0,2.0,29.18010950088501,3196.0,5.0,3.3581371307373047
8.44,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.45231437683105,32.55051803588867,54.6912727355957,15.971304893493652,0.57197505235672,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6769180297851562,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1899817856.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,979008960.0,91754146.0,7664881.0,2184972543.9726562,0.3664050102233886,103.0,2.0,6330.0,1.0,25.943408966064453,2796.0,1920.0,4.0,82.0,81.0,82.0,74.0,80.0,75.0,90.0,545.0,2.0,29.18010950088501,3196.0,5.0,3.3581371307373047
8.54,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,23.04623031616211,31.74361228942871,54.6912727355957,15.971304893493652,0.5432828068733215,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.641461193561554,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1901479552.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,955559360.0,91754146.0,7453449.0,2184972543.9726562,0.3664050102233886,103.0,2.0,6330.0,1.0,25.943408966064453,2796.0,1920.0,4.0,82.0,81.0,82.0,74.0,80.0,75.0,90.0,545.0,2.0,29.18010950088501,3196.0,5.0,3.3581371307373047
8.64,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.53642463684082,32.51034927368164,54.6912727355957,15.971304893493652,0.5947787165641785,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6484070420265198,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1885774208.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,969778304.0,91754146.0,7621354.5,2184972543.9726562,0.3664050102233886,103.0,2.0,6330.0,1.0,25.943408966064453,2796.0,1920.0,4.0,82.0,81.0,82.0,74.0,80.0,75.0,90.0,545.0,2.0,29.18010950088501,3196.0,5.0,3.3581371307373047
8.74,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.687101364135746,31.72649955749512,54.6912727355957,15.971304893493652,0.5672470331192017,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6600967645645142,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1875041152.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,970202240.0,91754146.0,7624851.5,2184972543.9726562,0.3664050102233886,103.0,2.0,6330.0,1.0,25.943408966064453,2796.0,1920.0,4.0,82.0,81.0,82.0,74.0,80.0,75.0,90.0,545.0,2.0,29.18010950088501,3196.0,5.0,3.3581371307373047
8.84,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.469989776611328,31.70042991638184,54.6912727355957,15.971304893493652,0.5393202304840088,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,5.291175842285156,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1874250368.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,947712768.0,91754146.0,7489675.0,2184972543.9726562,0.3664050102233886,103.0,2.0,6330.0,1.0,25.943408966064453,2796.0,1920.0,4.0,82.0,81.0,82.0,74.0,80.0,75.0,90.0,545.0,2.0,29.18010950088501,3196.0,5.0,3.3581371307373047
8.94,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.426427841186523,32.50092697143555,54.6912727355957,15.971304893493652,0.5343257188796997,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6557393670082092,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1887829376.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,987880832.0,91754146.0,7693465.5,2184972543.9726562,0.3664050102233886,103.0,2.0,6330.0,1.0,25.943408966064453,2796.0,1920.0,4.0,82.0,81.0,82.0,74.0,80.0,75.0,90.0,545.0,2.0,29.18010950088501,3196.0,5.0,3.3581371307373047
9.0,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.426427841186523,32.50092697143555,54.6912727355957,15.971304893493652,0.5343257188796997,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6557393670082092,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1887829376.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,987880832.0,91754146.0,7693465.5,2184972543.9726562,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2796.0,1920.0,4.0,82.0,81.0,82.0,74.0,80.0,75.0,90.0,545.0,2.0,29.18010950088501,3196.0,5.0,3.3581371307373047
9.04,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.65867042541504,31.759370803833008,54.6912727355957,15.971304893493652,0.5505371689796448,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6482700109481812,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1898405760.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,975998464.0,91754146.0,7638391.5,2184972543.9726562,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2796.0,1920.0,4.0,82.0,81.0,82.0,74.0,80.0,75.0,90.0,545.0,2.0,29.18010950088501,3196.0,5.0,3.3581371307373047
9.14,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.454051971435547,32.47605895996094,54.6912727355957,15.971304893493652,0.5366947650909424,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6448745131492615,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1881228544.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,969885440.0,91754146.0,7622167.5,2184972543.9726562,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2796.0,1920.0,4.0,82.0,81.0,82.0,74.0,80.0,75.0,90.0,545.0,2.0,29.18010950088501,3196.0,5.0,3.3581371307373047
9.19,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.454051971435547,32.47605895996094,54.6912727355957,15.971304893493652,0.5366947650909424,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6448745131492615,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1881228544.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,969885440.0,91754146.0,7622167.5,2184972543.9726562,0.376655250787735,1044.0,452.0,12236.0,2.0,17.26738166809082,2796.0,1920.0,4.0,87.0,88.0,86.0,76.0,93.0,83.0,90.0,545.0,2.0,31.06762170791626,3196.0,70.0,3.36240291595459
