Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
29.85,70.6435317993164,29.339799880981445,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,8.25678539276123,7.878941059112549,78.64901351928711,21.578746795654297,98.85539245605467,1.1446053981781006,0.6839593648910522,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,67.92058563232422,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,290262089728.0,2863636224.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,0.6907178163528442,0.9419043958187102,822904448.0,150566740.0,4027692.25,2781236096.0,0.0713840425014495,916.0,140.0,11975.0,2.0,37.33708190917969,1975.0,31042334400.0,1651.0,3.0,64.0,59.0,65.0,39.0,32.0,33.0,72.0,492.0,3.0,91.13402366638184,1.043610692024231,2736.0,73.0,2.4083733558654785
29.86,70.6435317993164,29.339799880981445,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,8.25678539276123,7.878941059112549,78.64901351928711,21.578746795654297,98.85539245605467,1.1446053981781006,0.6839593648910522,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,67.92058563232422,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,290262089728.0,2863636224.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,0.6907178163528442,0.9419043958187102,822904448.0,150566740.0,4027692.25,2781236096.0,0.0713840425014495,916.0,140.0,11975.0,2.0,37.33708190917969,1975.0,29669197285.5,1651.0,3.0,64.0,59.0,65.0,39.0,32.0,33.0,72.0,492.0,3.0,91.13402366638184,1.043610692024231,2736.0,73.0,2.4083733558654785
29.88,70.6435317993164,29.339799880981445,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,8.25678539276123,7.878941059112549,78.64901351928711,21.578746795654297,98.85539245605467,1.1446053981781006,0.6839593648910522,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,67.92058563232422,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,290262089728.0,2863636224.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,0.6907178163528442,0.9419043958187102,822904448.0,150566740.0,4027692.25,2781236096.0,0.0713840425014495,916.0,140.0,11975.0,2.0,37.33708190917969,1975.0,27417841992.0,1651.0,3.0,64.0,59.0,65.0,39.0,32.0,33.0,72.0,492.0,3.0,91.13402366638184,1.043610692024231,2736.0,73.0,2.4083733558654785
29.89,70.6435317993164,29.339799880981445,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,8.25678539276123,7.878941059112549,78.64901351928711,21.578746795654297,98.85539245605467,1.1446053981781006,0.6839593648910522,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,67.92058563232422,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,290262089728.0,2863636224.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,0.6907178163528442,0.9419043958187102,822904448.0,150566740.0,4027692.25,2781236096.0,0.0713840425014495,916.0,140.0,11975.0,2.0,37.33708190917969,1975.0,27427728768.0,1651.0,3.0,64.0,59.0,65.0,39.0,32.0,33.0,72.0,492.0,3.0,91.13402366638184,1.043610692024231,2736.0,73.0,2.4083733558654785
29.9,70.6435317993164,29.339799880981445,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,8.25678539276123,7.878941059112549,78.64901351928711,21.578746795654297,98.85539245605467,1.1446053981781006,0.6839593648910522,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,67.92058563232422,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,290262089728.0,2863636224.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,0.6907178163528442,0.9419043958187102,822904448.0,150566740.0,4027692.25,2781236096.0,0.0713840425014495,916.0,140.0,11975.0,2.0,37.33708190917969,1975.0,28302946557.0,1651.0,3.0,64.0,59.0,65.0,39.0,32.0,33.0,72.0,492.0,3.0,91.13402366638184,1.043610692024231,2736.0,73.0,2.4083733558654785
29.91,70.24189758300781,29.74319839477539,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,7.858057022094727,7.931376934051514,78.64901351928711,21.578746795654297,98.87471771240234,1.1252816915512085,0.6555073857307434,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,58.551666259765625,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,289544568832.0,2868732928.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,0.6793251633644104,0.9419043958187102,797163840.0,150566740.0,3689252.75,2781236096.0,0.0713840425014495,916.0,140.0,11975.0,2.0,37.33708190917969,1975.0,28302946557.0,1651.0,3.0,64.0,59.0,65.0,39.0,32.0,33.0,72.0,492.0,3.0,91.13402366638184,1.043610692024231,2736.0,73.0,2.4083733558654785
29.92,70.24189758300781,29.74319839477539,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,7.858057022094727,7.931376934051514,78.64901351928711,21.578746795654297,98.87471771240234,1.1252816915512085,0.6555073857307434,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,58.551666259765625,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,289544568832.0,2868732928.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,0.6793251633644104,0.9419043958187102,797163840.0,150566740.0,3689252.75,2781236096.0,0.0713840425014495,916.0,140.0,11975.0,2.0,37.33708190917969,1975.0,29257471702.5,1651.0,3.0,64.0,59.0,65.0,39.0,32.0,33.0,72.0,492.0,3.0,91.13402366638184,1.043610692024231,2736.0,73.0,2.4083733558654785
29.93,70.24189758300781,29.74319839477539,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,7.858057022094727,7.931376934051514,78.64901351928711,21.578746795654297,98.87471771240234,1.1252816915512085,0.6555073857307434,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,58.551666259765625,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,289544568832.0,2868732928.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,0.6793251633644104,0.9419043958187102,797163840.0,150566740.0,3689252.75,2781236096.0,0.0713840425014495,916.0,140.0,11975.0,2.0,37.33708190917969,1975.0,28320779713.0,1651.0,3.0,64.0,59.0,65.0,39.0,32.0,33.0,72.0,492.0,3.0,91.13402366638184,1.043610692024231,2736.0,73.0,2.4083733558654785
29.94,70.24189758300781,29.74319839477539,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,7.858057022094727,7.931376934051514,78.64901351928711,21.578746795654297,98.87471771240234,1.1252816915512085,0.6555073857307434,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,58.551666259765625,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,289544568832.0,2868732928.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,0.6793251633644104,0.9419043958187102,797163840.0,150566740.0,3689252.75,2781236096.0,0.0713840425014495,916.0,140.0,11975.0,2.0,37.33708190917969,1975.0,27447280011.0,1651.0,3.0,64.0,59.0,65.0,39.0,32.0,33.0,72.0,492.0,3.0,91.13402366638184,1.043610692024231,2736.0,73.0,2.4083733558654785
29.95,70.24189758300781,29.74319839477539,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,7.858057022094727,7.931376934051514,78.64901351928711,21.578746795654297,98.87471771240234,1.1252816915512085,0.6555073857307434,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,58.551666259765625,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,289544568832.0,2868732928.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,0.6793251633644104,0.9419043958187102,797163840.0,150566740.0,3689252.75,2781236096.0,0.0713840425014495,916.0,140.0,11975.0,2.0,37.33708190917969,1975.0,29275305583.0,1651.0,3.0,64.0,59.0,65.0,39.0,32.0,33.0,72.0,492.0,3.0,91.13402366638184,1.043610692024231,2736.0,73.0,2.4083733558654785
29.97,70.24189758300781,29.74319839477539,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,7.858057022094727,7.931376934051514,78.64901351928711,21.578746795654297,98.87471771240234,1.1252816915512085,0.6555073857307434,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,58.551666259765625,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,289544568832.0,2868732928.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,0.6793251633644104,0.9419043958187102,797163840.0,150566740.0,3689252.75,2781236096.0,0.0713840425014495,916.0,140.0,11975.0,2.0,37.33708190917969,1975.0,29734503325.5,1651.0,3.0,64.0,59.0,65.0,39.0,32.0,33.0,72.0,492.0,3.0,91.13402366638184,1.043610692024231,2736.0,73.0,2.4083733558654785
29.98,70.24189758300781,29.74319839477539,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,7.858057022094727,7.931376934051514,78.64901351928711,21.578746795654297,98.87471771240234,1.1252816915512085,0.6555073857307434,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,58.551666259765625,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,289544568832.0,2868732928.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,0.6793251633644104,0.9419043958187102,797163840.0,150566740.0,3689252.75,2781236096.0,0.0713840425014495,916.0,140.0,11975.0,2.0,37.33708190917969,1975.0,27479482292.0,1651.0,3.0,64.0,59.0,65.0,39.0,32.0,33.0,72.0,492.0,3.0,91.13402366638184,1.043610692024231,2736.0,73.0,2.4083733558654785
30.0,70.24189758300781,29.74319839477539,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,7.858057022094727,7.931376934051514,78.64901351928711,21.578746795654297,98.87471771240234,1.1252816915512085,0.6555073857307434,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,58.551666259765625,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,289544568832.0,2868732928.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,0.6793251633644104,0.9419043958187102,797163840.0,150566740.0,3689252.75,2781236096.0,0.0713840425014495,916.0,140.0,11975.0,2.0,37.33708190917969,1975.0,28372232756.0,1651.0,3.0,64.0,59.0,65.0,39.0,32.0,33.0,72.0,492.0,3.0,91.13402366638184,1.043610692024231,2736.0,73.0,2.4083733558654785
30.01,70.07916259765625,29.90665626525879,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,8.294964790344238,7.852258205413818,78.64901351928711,21.578746795654297,98.87802124023438,1.121977686882019,0.6787034869194031,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,61.16440200805664,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,296028045312.0,2920484864.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,0.694219172000885,0.9419043958187102,823176640.0,150566740.0,3724642.75,2781236096.0,0.0713840425014495,916.0,140.0,11975.0,2.0,37.33708190917969,1975.0,28372232756.0,1651.0,3.0,64.0,59.0,65.0,39.0,32.0,33.0,72.0,492.0,3.0,91.13402366638184,1.043610692024231,2736.0,73.0,2.4083733558654785
30.02,70.07916259765625,29.90665626525879,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,8.294964790344238,7.852258205413818,78.64901351928711,21.578746795654297,98.87802124023438,1.121977686882019,0.6787034869194031,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,61.16440200805664,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,296028045312.0,2920484864.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,0.694219172000885,0.9419043958187102,823176640.0,150566740.0,3724642.75,2781236096.0,0.0713840425014495,916.0,140.0,11975.0,2.0,37.33708190917969,1975.0,31133601885.0,1651.0,3.0,64.0,59.0,65.0,39.0,32.0,33.0,72.0,492.0,3.0,91.13402366638184,1.043610692024231,2736.0,73.0,2.4083733558654785
