Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
27.33,50.42818832397461,49.57267761230469,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,6.469690322875977,8.197728157043457,81.10379791259766,21.666866302490234,99.05287170410156,0.9471279382705688,0.2841282486915588,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,63.18901443481445,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,263486291968.0,2838782208.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,0.4108953773975372,3.0226845741271973,590003456.0,109985976.0,1071858.25,1229819904.0,9.067432403564451,117.0,2.0,6330.0,1.0,21.931568145751957,2011.0,2361.0,3.0,48.0,47.0,53.0,30.0,26.0,28.0,72.0,456.0,2.0,91.01441502571106,0.9214959740638732,3196.0,70.0,2.160804271697998
27.38,50.42818832397461,49.57267761230469,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,6.469690322875977,8.197728157043457,81.10379791259766,21.666866302490234,99.05287170410156,0.9471279382705688,0.2841282486915588,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,63.18901443481445,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,263486291968.0,2838782208.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,0.4108953773975372,3.0226845741271973,590003456.0,109985976.0,1071858.25,1229819904.0,9.48496150970459,1428.0,948.0,14042.0,2.0,40.9205436706543,2011.0,1651.0,3.0,52.0,53.0,60.0,32.0,25.0,31.0,72.0,456.0,2.0,91.08877778053284,0.9214959740638732,2092.0,70.0,2.158870220184326
27.42,50.45836639404297,49.54076766967773,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,6.297243118286133,8.244552612304688,81.10379791259766,21.666866302490234,99.05540466308594,0.944591760635376,0.2840276062488556,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,64.629638671875,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,264397783040.0,2850017536.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,0.4093356430530548,3.0226845741271973,590535104.0,109985976.0,1071126.25,1229819904.0,9.48496150970459,1428.0,948.0,14042.0,2.0,40.9205436706543,2011.0,1651.0,3.0,52.0,53.0,60.0,32.0,25.0,31.0,72.0,456.0,2.0,91.08877778053284,0.9214959740638732,2092.0,70.0,2.158870220184326
27.52,50.44015121459961,49.59333419799805,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,6.525393486022949,8.150832176208496,81.10379791259766,21.666866302490234,99.02938079833984,0.9706215262413024,0.3042043149471283,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,65.40609741210938,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,265249734656.0,2848149248.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,0.4216901957988739,3.0226845741271973,615761792.0,109985976.0,1108543.625,1229819904.0,9.48496150970459,1428.0,948.0,14042.0,2.0,40.9205436706543,2011.0,1651.0,3.0,52.0,53.0,60.0,32.0,25.0,31.0,72.0,456.0,2.0,91.08877778053284,0.9214959740638732,2092.0,70.0,2.158870220184326
27.56,50.44015121459961,49.59333419799805,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,6.525393486022949,8.150832176208496,81.10379791259766,21.666866302490234,99.02938079833984,0.9706215262413024,0.3042043149471283,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,65.40609741210938,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,265249734656.0,2848149248.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,0.4216901957988739,3.0226845741271973,615761792.0,109985976.0,1108543.625,1229819904.0,7.425842761993408,456.0,39.0,11685.0,2.0,17.066608428955078,2011.0,1651.0,3.0,52.0,53.0,60.0,32.0,25.0,31.0,72.0,456.0,2.0,91.08877778053284,0.9214959740638732,2092.0,58.0,2.158870220184326
27.62,50.47145462036133,49.53532791137695,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,6.819975852966309,8.267678260803223,81.10379791259766,21.666866302490234,98.99605560302734,1.0039454698562622,0.3066233098506927,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,63.907676696777344,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,266175758336.0,2823998720.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,0.455038458108902,3.0226845741271973,646646400.0,109985976.0,1156107.125,1229819904.0,7.425842761993408,456.0,39.0,11685.0,2.0,17.066608428955078,2011.0,1651.0,3.0,52.0,53.0,60.0,32.0,25.0,31.0,72.0,456.0,2.0,91.08877778053284,0.9214959740638732,2092.0,58.0,2.158870220184326
27.72,50.41718673706055,49.54136657714844,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,6.575369358062744,8.162741661071777,81.10379791259766,21.666866302490234,99.04139709472656,0.9586007595062256,0.288208544254303,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,64.38491821289062,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,258695020544.0,2774160896.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,0.4256778955459595,3.0226845741271973,589889024.0,109985976.0,1066303.25,1229819904.0,7.425842761993408,456.0,39.0,11685.0,2.0,17.066608428955078,2011.0,1651.0,3.0,52.0,53.0,60.0,32.0,25.0,31.0,72.0,456.0,2.0,91.08877778053284,0.9214959740638732,2092.0,58.0,2.158870220184326
27.82,50.46601104736328,49.53398895263672,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,6.395100116729736,8.272493362426758,81.10379791259766,21.666866302490234,99.04225158691406,0.9577504992485046,0.2699976563453674,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,66.04306030273438,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,259648208896.0,2791101952.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,0.4177331924438476,3.0226845741271973,589674368.0,109985976.0,1065373.125,1229819904.0,7.425842761993408,456.0,39.0,11685.0,2.0,17.066608428955078,2011.0,1651.0,3.0,52.0,53.0,60.0,32.0,25.0,31.0,72.0,456.0,2.0,91.08877778053284,0.9214959740638732,2092.0,58.0,2.158870220184326
27.92,50.42741012573242,49.57258987426758,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,6.365935802459717,8.226740837097168,81.10379791259766,21.666866302490234,99.0635986328125,0.936399519443512,0.2777982652187347,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,69.45476531982422,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,266276847616.0,2875266816.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,0.4062477946281433,3.0226845741271973,590511744.0,109985976.0,1068714.375,1229819904.0,7.425842761993408,456.0,39.0,11685.0,2.0,17.066608428955078,2011.0,1651.0,3.0,52.0,53.0,60.0,32.0,25.0,31.0,72.0,456.0,2.0,91.08877778053284,0.9214959740638732,2092.0,58.0,2.158870220184326
28.02,50.438621520996094,49.56137847900391,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,6.808252811431885,8.316899299621582,81.10379791259766,21.666866302490234,99.01226806640624,0.9877317547798156,0.2762982845306396,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,62.10068893432617,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,272311058432.0,2902408448.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,0.4423063695430755,3.0226845741271973,648652544.0,109985976.0,1162180.0,1229819904.0,7.425842761993408,456.0,39.0,11685.0,2.0,17.066608428955078,2011.0,1651.0,3.0,52.0,53.0,60.0,32.0,25.0,31.0,72.0,456.0,2.0,91.08877778053284,0.9214959740638732,2092.0,58.0,2.158870220184326
28.12,50.437007904052734,49.56299209594727,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,6.312439441680908,8.210984230041504,81.10379791259766,21.666866302490234,99.08770751953124,0.9122905135154724,0.2783907949924469,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,78.40744018554688,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,285628301312.0,3099008768.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,0.3927067220211029,3.0226845741271973,615942912.0,109985976.0,1120513.5,1229819904.0,7.425842761993408,456.0,39.0,11685.0,2.0,17.066608428955078,2011.0,1651.0,3.0,52.0,53.0,60.0,32.0,25.0,31.0,72.0,456.0,2.0,91.08877778053284,0.9214959740638732,2092.0,58.0,2.158870220184326
28.22,50.44992446899414,49.55007553100586,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,5.88424015045166,8.264823913574219,81.10379791259766,21.666866302490234,99.134765625,0.8652337193489075,0.2600103914737701,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,80.73750305175781,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,295794049024.0,3248801792.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,0.3584240674972534,3.0226845741271973,591106176.0,109985976.0,1089929.75,1229819904.0,7.425842761993408,456.0,39.0,11685.0,2.0,17.066608428955078,2011.0,1651.0,3.0,52.0,53.0,60.0,32.0,25.0,31.0,72.0,456.0,2.0,91.08877778053284,0.9214959740638732,2092.0,58.0,2.158870220184326
28.31,50.44992446899414,49.55007553100586,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,5.88424015045166,8.264823913574219,81.10379791259766,21.666866302490234,99.134765625,0.8652337193489075,0.2600103914737701,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,80.73750305175781,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,295794049024.0,3248801792.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,0.3584240674972534,3.0226845741271973,591106176.0,109985976.0,1089929.75,1229819904.0,8.148358345031738,298.0,46.0,7827.0,1.0,21.931568145751957,2011.0,1651.0,3.0,52.0,53.0,60.0,32.0,25.0,31.0,72.0,456.0,2.0,91.08877778053284,0.9214959740638732,2092.0,70.0,2.158870220184326
28.32,50.41396713256836,49.58603286743164,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,6.077259063720703,8.15843677520752,81.10379791259766,21.666866302490234,99.1330337524414,0.8669637441635132,0.2802285850048065,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,75.0661392211914,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,295250526208.0,3242808832.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,0.3598741292953491,3.0226845741271973,591856704.0,109985976.0,1087958.625,1229819904.0,8.148358345031738,298.0,46.0,7827.0,1.0,21.931568145751957,2011.0,1651.0,3.0,52.0,53.0,60.0,32.0,25.0,31.0,72.0,456.0,2.0,91.08877778053284,0.9214959740638732,2092.0,70.0,2.158870220184326
28.33,50.41396713256836,49.58603286743164,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,6.077259063720703,8.15843677520752,81.10379791259766,21.666866302490234,99.1330337524414,0.8669637441635132,0.2802285850048065,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,75.0661392211914,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,295250526208.0,3242808832.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,0.3598741292953491,3.0226845741271973,591856704.0,109985976.0,1087958.625,1229819904.0,8.939262390136719,117.0,2.0,6330.0,1.0,21.931568145751957,2011.0,1651.0,3.0,52.0,53.0,60.0,32.0,25.0,31.0,72.0,456.0,2.0,91.08877778053284,0.9214959740638732,2092.0,70.0,2.158870220184326
28.38,50.41396713256836,49.58603286743164,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,6.077259063720703,8.15843677520752,81.10379791259766,21.666866302490234,99.1330337524414,0.8669637441635132,0.2802285850048065,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,75.0661392211914,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,295250526208.0,3242808832.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,0.3598741292953491,3.0226845741271973,591856704.0,109985976.0,1087958.625,1229819904.0,8.9907865524292,1428.0,948.0,14042.0,2.0,39.7973861694336,2011.0,1651.0,3.0,51.0,50.0,55.0,30.0,28.0,25.0,72.0,456.0,2.0,86.87456846237183,0.9214959740638732,2092.0,70.0,2.15765118598938
