Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.22,3.552759153502328,29.711869921003068,0.06931218315315031,15.17096928187779,0.6215250347075718,-1.0,-1.0,-1.0,1.0420062728891415,-1.0,2.9678168637411937,0.17621852670397078,544968201.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.926680837358745,545000000.0,-1.0,10580556.938337054,102.30068969726562,975145229.7142857,20844978.20186942,2261738.4375,775777252.5714285,-1.0,-1.0,-1.0,69949886.03794643,10961273.732003348,1345251549.5044644,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.23,3.859025308064052,31.19875935145787,0.1037903811250414,10.974495206560407,0.339331862117563,-1.0,-1.0,-1.0,0.972182069505964,-1.0,2.879502926553999,22.929346927574702,544859638.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.315384830747334,545000000.0,-1.0,10357665.196149554,300.2144208635603,961140168.0,20410029.64174107,2047149.2142857143,760830683.4285715,-1.0,-1.0,-1.0,67068842.532366075,10741728.76171875,1250154216.2901785,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.24,3.7826251643044606,26.505295344761443,0.2847723556416376,6.826987130301339,0.20898424488093173,-1.0,-1.0,-1.0,0.8180018493107387,-1.0,2.0350347416741505,9.487012795039586,544875126.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.86115707669939,545000000.0,-1.0,7888990.177734375,248.83697945731026,1135218633.142857,15546715.72544643,23065662.17857143,923954816.0,-1.0,-1.0,-1.0,52409629.41183036,8192811.509486607,1051749627.3928572,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.25,3.6527264629091536,25.49949700491769,0.03584634193352291,7.373633793422154,0.16507671853261335,-1.0,-1.0,-1.0,0.8234710693359375,-1.0,1.9569076980863298,16.479569622448512,544899794.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.98086479731968,545000000.0,-1.0,6071405.387276785,207.69161987304688,581007730.2857143,11984181.263392856,974350.3928571428,450942921.14285713,-1.0,-1.0,-1.0,37831322.006696425,6284437.126674107,810547402.1808035,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.26,0.8191223655428205,18.236797332763672,0.23443912076098578,7.903338296072824,0.16114068190966332,-1.0,-1.0,-1.0,0.4720421688897269,-1.0,2.519209248679025,6.848616966179439,544883410.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.23524481909616,545000000.0,-1.0,8866625.285714285,255.45550101143974,707533548.9291295,18202309.714285713,1571818.0714285714,535651803.4285714,-1.0,-1.0,-1.0,58737049.14285714,9567994.0,967023848.0290178,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.27,0.6250128746032714,12.036176681518555,0.06821239242951076,8.228405634562174,0.2540339423964421,-1.0,-1.0,-1.0,0.3396429295341174,-1.0,2.484688838322957,0.1032622754573822,544991018.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.00011857350667,545000000.0,-1.0,8316735.864583333,117.0360616048177,845460505.3333334,15674407.455240885,1895944.4583333333,712227626.6666666,-1.0,-1.0,-1.0,55119244.0,8282759.621907552,1173721825.8476562,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.28,0.9766106605529785,20.47051747639974,0.29672078415751457,12.896685600280762,0.24914134293794632,-1.0,-1.0,-1.0,0.5180850227673849,-1.0,3.1557873090108237,10.270681718985239,544888010.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.5720427831014,545000000.0,-1.0,9587556.0,180.74546813964844,886986645.3333334,18883453.666666668,1948906.4166666667,703745632.0,-1.0,-1.0,-1.0,63752286.666666664,9940218.166666666,1220688664.8072917,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.29,0.9786871075630188,20.471332550048828,0.28199049457907677,12.60604445139567,0.29358730216821033,-1.0,-1.0,-1.0,0.518038272857666,-1.0,3.1572473843892417,6.300756871700287,544934677.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.362513860066734,545000000.0,-1.0,9733399.166666666,171.15032196044922,878602421.3333334,19174142.333333332,1944190.2083333333,700560320.0,-1.0,-1.0,-1.0,63488716.0,10081172.333333334,1179595617.9375,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.3,0.9229434803128242,15.640024974942207,0.06006420683115719,9.567232847213745,0.2455777982249856,-1.0,-1.0,-1.0,0.42241666465997696,-1.0,2.4762053042650223,18.716547407209873,544885896.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.17991399765015,545000000.0,-1.0,8966177.259765625,223.9486312866211,833175726.0,17664762.072753906,1681779.90625,658131960.1328125,-1.0,-1.0,-1.0,59301456.55126953,9294643.615722656,1149936938.9238281,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.31,0.9023493230342865,20.473416010538738,0.04748146918912727,12.8788210550944,0.25086604058742523,-1.0,-1.0,-1.0,0.5183932781219482,-1.0,3.1556065877278647,8.366653462251028,544887232.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.158955097198486,545000000.0,-1.0,10632283.5,261.2365468343099,983839381.3333334,20946174.666666668,2288423.875,779892480.0,-1.0,-1.0,-1.0,70444236.0,11028930.333333334,1354934301.4270833,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.32,0.7893474527767727,17.444073813302175,0.08496350821639809,10.808704103742327,0.3262933088200433,-1.0,-1.0,-1.0,0.4390753507614136,-1.0,2.6999280793326244,7.6635309628077914,544892827.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.35086250305176,545000000.0,-1.0,9092563.285714285,181.20821707589286,844593279.8214285,17901471.682617188,1699532.5357142857,669571200.0,-1.0,-1.0,-1.0,59615241.14285714,9417836.825474331,1177622904.044643,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.33,0.83729259456907,17.550895145961217,0.11594891122409275,10.983775820050921,0.23151483067444392,-1.0,-1.0,-1.0,0.4443364994866507,-1.0,2.784822532108852,18.876911163330078,544894537.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.33349023546491,545000000.0,-1.0,9072901.285714285,233.40604073660714,843510747.4285715,17879888.0,1853487.7142857143,667988425.1428572,-1.0,-1.0,-1.0,61301115.428571425,9405281.142857144,1169858855.4910715,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.34,1.175296119281224,14.55668993294239,0.09417154121079614,9.697308676583427,0.5637192454721246,-1.0,-1.0,-1.0,0.4008303965841021,-1.0,4.117315292358398,13.040487289428711,544872649.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.09158686229161,545000000.0,-1.0,7648895.714285715,242.43556431361608,670899419.4285715,15091645.92857143,1357701.4285714286,520772242.28571427,-1.0,-1.0,-1.0,49650674.85714286,7946546.357142857,880083115.2633928,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
0.35,0.5613892277081808,13.806930541992188,0.06761848678191501,8.717218399047852,0.24848681936661401,-1.0,-1.0,-1.0,0.3447554310162862,-1.0,2.002067486445109,0.5157594680786133,544945088.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,73.82931454976399,545000000.0,-1.0,6463567.5,110.69825744628906,587535637.3333334,12752768.333333334,1307762.4166666667,483926634.6666667,-1.0,-1.0,-1.0,39779910.666666664,6682329.666666667,844990078.8463541,1.010156273841858,119.0,2.0,6330.0,1.0,32.04816818237305,2075.0,2361.0,3.0,50.0,46.0,54.0,41.0,36.0,46.0,90.0,545.0,2.0,34.910547733306885,3196.0,1.0,2.4331929683685303
