Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
25.66,50.4354133605957,49.5645866394043,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,6.576213359832764,8.009212493896484,79.65408325195312,17.853092193603516,98.94266510009766,1.0573352575302124,0.2924151718616485,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,56.7342529296875,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,251501756416.0,2673736192.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,0.4367879331111908,0.365209766796657,602937280.0,63910603.428571425,1263134.875,1437024640.0,9.009243965148926,1155.0,451.0,12253.0,2.0,38.83127975463867,2110.0,1651.0,3.0,46.0,43.0,47.0,32.0,26.0,30.0,72.0,456.0,2.0,83.52170586585999,3196.0,33.0,2.1664535999298096
25.76,50.46826553344727,49.531734466552734,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,6.386744022369385,8.062715530395508,79.65408325195312,17.853092193603516,98.95207214355467,1.047929048538208,0.2850865721702575,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,59.56269454956055,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,252462612480.0,2685181184.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,0.4347505569458008,0.365209766796657,603133248.0,63910603.428571425,1266417.625,1437024640.0,9.009243965148926,1155.0,451.0,12253.0,2.0,38.83127975463867,2110.0,1651.0,3.0,46.0,43.0,47.0,32.0,26.0,30.0,72.0,456.0,2.0,83.52170586585999,3196.0,33.0,2.1664535999298096
25.86,50.46820068359375,49.53179931640625,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,6.428358554840088,8.055771827697754,79.65408325195312,17.853092193603516,98.95948028564452,1.0405161380767822,0.3066978752613067,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,64.53971862792969,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,255836962816.0,2726916608.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,0.4279402196407318,0.365209766796657,603503936.0,63910603.428571425,1270303.625,1437024640.0,9.009243965148926,1155.0,451.0,12253.0,2.0,38.83127975463867,2110.0,1651.0,3.0,46.0,43.0,47.0,32.0,26.0,30.0,72.0,456.0,2.0,83.52170586585999,3196.0,33.0,2.1664535999298096
25.96,50.4209098815918,49.5790901184082,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,7.166996002197266,7.993793964385986,79.65408325195312,17.853092193603516,98.90899658203124,1.0910050868988037,0.3075129687786102,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,63.55598449707031,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,259837067264.0,2730197248.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,0.4704187512397766,0.365209766796657,661050432.0,63910603.428571425,1356481.0,1437024640.0,9.009243965148926,1155.0,451.0,12253.0,2.0,38.83127975463867,2110.0,1651.0,3.0,46.0,43.0,47.0,32.0,26.0,30.0,72.0,456.0,2.0,83.52170586585999,3196.0,33.0,2.1664535999298096
26.0,50.4209098815918,49.5790901184082,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,7.166996002197266,7.993793964385986,79.65408325195312,17.853092193603516,98.90899658203124,1.0910050868988037,0.3075129687786102,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,63.55598449707031,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,259837067264.0,2730197248.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,0.4704187512397766,0.365209766796657,661050432.0,63910603.428571425,1356481.0,1437024640.0,0.1189099252223968,300.0,46.0,7810.0,1.0,22.83596611022949,2110.0,1651.0,3.0,46.0,43.0,47.0,32.0,26.0,30.0,72.0,456.0,2.0,83.52170586585999,3196.0,3.0,2.1664535999298096
26.01,50.4209098815918,49.5790901184082,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,7.166996002197266,7.993793964385986,79.65408325195312,17.853092193603516,98.90899658203124,1.0910050868988037,0.3075129687786102,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,63.55598449707031,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,259837067264.0,2730197248.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,0.4704187512397766,0.365209766796657,661050432.0,63910603.428571425,1356481.0,1437024640.0,8.928384780883789,117.0,2.0,6330.0,1.0,22.83596611022949,2110.0,1651.0,3.0,46.0,43.0,47.0,32.0,26.0,30.0,72.0,456.0,2.0,83.52170586585999,3196.0,3.0,2.1664535999298096
26.06,50.49213790893555,49.50786209106445,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,6.585723876953125,8.03458309173584,79.65408325195312,17.853092193603516,98.93600463867188,1.063991904258728,0.2884859144687652,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,56.16887283325195,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,257368227840.0,2726191104.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,0.4463767409324646,0.365209766796657,627835328.0,63910603.428571425,1306685.625,1437024640.0,8.928384780883789,117.0,2.0,6330.0,1.0,22.83596611022949,2110.0,1651.0,3.0,46.0,43.0,47.0,32.0,26.0,30.0,72.0,456.0,2.0,83.52170586585999,3196.0,3.0,2.1664535999298096
26.16,50.43587493896485,49.56412506103516,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,6.603067874908447,8.010903358459473,79.65408325195312,17.853092193603516,98.94548797607422,1.0545103549957275,0.3112679719924927,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,62.11787033081055,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,249500958720.0,2649860352.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,0.4396252036094665,0.365209766796657,601697984.0,63910603.428571425,1267203.375,1437024640.0,8.928027153015137,1436.0,948.0,14072.0,2.0,37.9545783996582,2110.0,1651.0,3.0,46.0,42.0,46.0,29.0,24.0,30.0,72.0,456.0,2.0,83.65311622619629,3196.0,3.0,2.172793388366699
26.22,50.43587493896485,49.56412506103516,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,6.603067874908447,8.010903358459473,79.65408325195312,17.853092193603516,98.94548797607422,1.0545103549957275,0.3112679719924927,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,62.11787033081055,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,249500958720.0,2649860352.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,0.4396252036094665,0.365209766796657,601697984.0,63910603.428571425,1267203.375,1437024640.0,9.009243965148926,1155.0,451.0,12253.0,2.0,37.9545783996582,2110.0,1651.0,3.0,46.0,42.0,46.0,29.0,24.0,30.0,72.0,456.0,2.0,83.65311622619629,3196.0,33.0,2.172793388366699
26.26,50.46956634521485,49.53043365478516,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,6.321139812469482,8.064583778381348,79.65408325195312,17.853092193603516,98.97046661376952,1.0295363664627075,0.2822445034980774,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,63.25508880615234,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,257836728320.0,2752831488.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,0.4238119423389435,0.365209766796657,603376384.0,63910603.428571425,1270716.375,1437024640.0,9.009243965148926,1155.0,451.0,12253.0,2.0,37.9545783996582,2110.0,1651.0,3.0,46.0,42.0,46.0,29.0,24.0,30.0,72.0,456.0,2.0,83.65311622619629,3196.0,33.0,2.172793388366699
26.36,50.41465759277344,49.58534240722656,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,7.083109378814697,8.01706600189209,79.65408325195312,17.853092193603516,98.90878295898438,1.0912144184112549,0.2974712550640106,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,61.249996185302734,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,260326211584.0,2735985152.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,0.4695504605770111,0.365209766796657,661507904.0,63910603.428571425,1361684.375,1437024640.0,9.009243965148926,1155.0,451.0,12253.0,2.0,37.9545783996582,2110.0,1651.0,3.0,46.0,42.0,46.0,29.0,24.0,30.0,72.0,456.0,2.0,83.65311622619629,3196.0,33.0,2.172793388366699
26.46,50.492034912109375,49.50796508789063,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,6.691374778747559,8.033750534057617,79.65408325195312,17.853092193603516,98.93241119384766,1.0675915479660034,0.3034276664257049,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,69.53720092773438,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,255892488192.0,2707747328.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,0.4493997097015381,0.365209766796657,627832000.0,63910603.428571425,1308151.25,1437024640.0,9.009243965148926,1155.0,451.0,12253.0,2.0,37.9545783996582,2110.0,1651.0,3.0,46.0,42.0,46.0,29.0,24.0,30.0,72.0,456.0,2.0,83.65311622619629,3196.0,33.0,2.172793388366699
26.56,50.43619918823242,49.56380081176758,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,6.531335353851318,8.001847267150879,79.65408325195312,17.853092193603516,98.9435806274414,1.0564156770706177,0.280640572309494,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,57.3528938293457,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,251135967232.0,2669213952.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,0.4374784231185913,0.365209766796657,603575808.0,63910603.428571425,1275873.75,1437024640.0,9.009243965148926,1155.0,451.0,12253.0,2.0,37.9545783996582,2110.0,1651.0,3.0,46.0,42.0,46.0,29.0,24.0,30.0,72.0,456.0,2.0,83.65311622619629,3196.0,33.0,2.172793388366699
26.66,50.46954345703125,49.53045654296875,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,6.458584785461426,8.053181648254395,79.65408325195312,17.853092193603516,98.95021057128906,1.049792766571045,0.2780146896839142,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,65.80674743652344,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,253488889856.0,2697957888.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,0.432505190372467,0.365209766796657,603037824.0,63910603.428571425,1264081.125,1437024640.0,9.009243965148926,1155.0,451.0,12253.0,2.0,37.9545783996582,2110.0,1651.0,3.0,46.0,42.0,46.0,29.0,24.0,30.0,72.0,456.0,2.0,83.65311622619629,3196.0,33.0,2.172793388366699
26.76,50.428524017333984,49.571475982666016,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,6.767291069030762,7.971728324890137,79.65408325195312,17.853092193603516,98.93370056152344,1.0663015842437744,0.2967725694179535,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,69.62133026123047,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,256963477504.0,2720407296.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,0.4482714533805847,0.365209766796657,628902912.0,63910603.428571425,1308270.375,1437024640.0,9.009243965148926,1155.0,451.0,12253.0,2.0,37.9545783996582,2110.0,1651.0,3.0,46.0,42.0,46.0,29.0,24.0,30.0,72.0,456.0,2.0,83.65311622619629,3196.0,33.0,2.172793388366699
26.86,50.48168563842773,49.518314361572266,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,6.960448265075684,8.082180976867676,79.65408325195312,17.853092193603516,98.90323638916016,1.0967618227005005,0.2936131358146667,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,74.21062469482422,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,257435975680.0,2701222144.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,0.4739695787429809,0.365209766796657,659022016.0,63910603.428571425,1350781.0,1437024640.0,9.009243965148926,1155.0,451.0,12253.0,2.0,37.9545783996582,2110.0,1651.0,3.0,46.0,42.0,46.0,29.0,24.0,30.0,72.0,456.0,2.0,83.65311622619629,3196.0,33.0,2.172793388366699
26.97,50.42061996459961,49.57938003540039,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,6.562239170074463,7.990128040313721,79.65408325195312,17.853092193603516,98.95822143554688,1.0417755842208862,0.2971257865428924,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,70.38597106933594,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,254561452032.0,2712317184.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,0.4304121732711792,0.365209766796657,603436608.0,63910603.428571425,1270447.25,1437024640.0,9.009243965148926,1155.0,451.0,12253.0,2.0,37.9545783996582,2110.0,1651.0,3.0,46.0,42.0,46.0,29.0,24.0,30.0,72.0,456.0,2.0,83.65311622619629,3196.0,33.0,2.172793388366699
