Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.15,26.197374616350448,16.891557965959823,0.21980673926217215,0.8172834260123117,31.073966435023717,33.457294940948486,35.62108700616019,0.025932366227997168,9.131686074393135,10.85424532209124,34.88779762813023,9.294769178543772,40.5859124319894,16.55694511958531,0.3189674909891827,27.020135607038224,85.93389565604073,118.13116455078125,0.5594697679792132,0.16547220093863352,3.6560568128313338,0.19296101587159292,544973421.7142857,1.4394254003252303,2.958525368145534,59656786505.14286,76677199579.42857,5291195318.857142,103286582710.85715,1338217691.4285715,38.63877722195217,545000000.0,0.11838489345141819,9511160.0,91.34500994001117,741731996.5714285,17923199.293247767,1656812.107142857,571448118.8571428,0.45429863248552593,0.37871456146240234,1620427300.5714285,63738736.0,9744720.43610491,870095396.5714285,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.16,24.37311499459403,18.361607142857142,0.30728438922337115,0.8293583052498954,25.48034885951451,33.722967760903494,37.62238802228655,0.01697039870279173,10.4344299861363,11.598895754132952,34.876300948006765,9.62380693427154,41.320826939174104,15.822029641696385,0.282593718330775,27.550947461809432,97.48188781738281,180.14086042131697,0.4678219386509487,0.17131673438208445,5.091303893498012,0.17097045268331254,544937307.4285715,1.5309270450047083,3.5567451332296645,71750892397.71428,92166492745.14285,6536100571.428572,124370241828.57143,1610720987.4285715,40.220836418015615,545000000.0,0.1153376187597002,8894214.642857144,103.5554678780692,861306989.1428572,15406423.745954242,2140094.1071428573,690948571.4285715,0.4455459288188389,0.539832319532122,1425012059.4285715,60411970.0,8484691.031668527,1163112373.5111606,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.17,24.33155059814453,17.488880157470703,1.3841171264648438,0.5275168775447777,22.8031496320452,31.697491237095424,27.20725781576974,0.03822846537722008,7.203771999904087,11.678428104945592,32.31410435267857,8.780807767595563,39.942714146205354,2.9144289834158768,0.2731482852915568,28.390885489327566,62.99978855678013,187.43266950334822,0.39162957668304443,0.15322104947907583,2.8217197145734514,0.1767039511884962,545019904.0,1.4917082786560059,2.067322943891798,46741777846.85714,57599272667.42857,4063493156.571429,79604909202.28572,1019338203.4285715,51.61260201249804,545000000.0,0.11184420117310115,6143559.428571428,100.25708879743304,542056708.6696428,10504508.621651785,1127450.107142857,413609725.71428573,0.43398224455969675,0.2905747720173427,948225380.5714285,39615391.428571425,5846937.478794643,842084601.3080357,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.18,16.53223419189453,12.03919437953404,1.3841171264648438,0.3510866590908595,24.8030390058245,22.245103972298757,25.911948340279714,0.42950279132596086,7.6338896070207864,7.831759861537388,23.069040162222727,6.206522698913303,27.323196411132812,15.533945730754308,0.4130403261099543,18.391656058175222,64.1571295601981,90.83670915876117,0.3983514479228428,0.10898609246526446,2.773496627807617,0.11170185463769096,544877522.2857143,1.0105633395058768,2.0799373728888377,55817399734.85714,71145668608.0,4960618496.0,96350849316.57143,1248352475.4285715,50.85803900446211,545000000.0,0.071796395948955,7859732.0,47.599212646484375,650307445.2008928,13903288.290597098,1851540.0,506106861.71428573,0.2994662012372698,0.2724133048738752,1299241408.0,51493336.0,7724009.86202567,907183435.2566965,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.19,24.79375512259347,18.09939466203962,0.15810390881129674,0.8068335056304932,25.670827048165457,33.55054160526821,35.939647265842986,0.03961338036398435,9.890608651297432,11.59928458077567,34.817687443324495,9.49794573017529,40.86323547363281,16.27962132862636,0.23173417789595468,27.522779192243302,100.72830636160714,163.21488298688615,0.5227964265005929,0.1694512026650565,4.948517118181501,0.11170185463769096,544957513.1428572,1.511761052267892,3.837670956339155,81908182454.85715,104232299958.85715,7291426377.142858,141315758957.7143,1828227840.0,53.6230183669499,545000000.0,0.11515028136117116,10908671.857142856,102.02776663643974,961481024.0,19850680.92857143,2358577.1428571427,763485805.7142857,0.4497110162462507,0.6110007507460458,1818436580.5714285,73421541.71428572,10814859.285714285,1314562298.4330356,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.2,24.82136481148856,18.035778045654297,0.15810390881129674,0.7639374903270176,30.04880360194615,33.692596435546875,36.19655191472599,0.015923554742974886,9.969472885131836,11.60936873299735,34.941334996904644,9.527035374726568,40.95184544154576,16.191011837550572,0.21722581343991415,27.543667929513113,87.22215270996094,134.72687639508928,0.5445415037018912,0.16944986156054906,3.7887636593409946,0.17405732614653452,544954806.8571428,1.5122095857347762,3.040436897959028,78935855689.14285,100384571392.0,7033235017.142858,136161378304.0,1759780352.0,39.55628018719809,545000000.0,0.11502617810453687,10492983.285714285,101.73742239815849,925507835.2857143,19159289.582449775,2163821.785714286,736249307.4285715,0.44875071729932514,0.40209144353866577,1751652836.5714285,70718920.0,10419727.368164062,1267086048.7544644,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.21,33.38939448765346,23.716914585658483,0.4852573275566101,0.976287339414869,30.92338671003069,44.24383708408901,46.26629277638027,0.20501063418175489,14.465806416102819,12.864685194832939,45.85342720576695,12.445365039365631,54.81146131243025,16.61710978405816,0.43869478361947195,36.576560974121094,122.61897931780133,216.28145708356584,0.6199919836861747,0.22094171387808664,5.440686770847866,0.16991832852363586,544957814.8571428,1.981431995119367,4.7072833095278055,73911551122.28572,93943063698.28572,6576894610.285714,127459976338.28572,1655187382.857143,44.01201833997454,545000000.0,0.15371969129358018,9960077.57142857,94.63049752371651,1293558956.6618304,17948694.32142857,2059808.794642857,1094761078.857143,0.5975055864879063,0.7486142856734139,1644352635.4285715,66629739.14285714,9825140.80357143,1225721499.1183035,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.22,24.82063238961356,18.036510467529297,0.4852573275566101,0.7300969277109418,30.118574414934432,33.369842188698904,36.64500951766968,0.1655102241784334,9.963784354073661,11.554746900285993,34.61500140598842,9.450478223817688,40.911594935825896,16.231261900493077,0.43406246190092396,27.544488089425222,87.59239632742745,136.47786385672433,0.5458296877997262,0.16955748200416565,3.7431380408150807,0.17408800550869533,544960310.8571428,1.5123245375497,3.0567172041961124,77420176530.28572,98499503250.28572,6894435474.285714,133564366848.0,1727212763.4285715,39.69978887694223,545000000.0,0.11493933839457374,10358193.0,96.31608363560268,909818133.7142857,18797731.277622767,2165563.1428571427,721768246.8571428,0.44877971921648296,0.40154409408569336,1722423853.7142856,69244866.28571428,10254337.563337054,1243934155.7611606,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.23,32.62853567940848,24.89649854387556,0.58665098462786,1.17327994959695,31.819850376674108,44.04884535925729,45.13146277836391,0.09335266678993188,12.12022250039237,15.20754269191197,46.01916749136789,12.704715615936689,53.83583613804409,17.592736193111964,0.43588782261524883,36.590432848249165,119.89430345807757,195.32728358677454,0.6563207507133484,0.2291719019412994,6.001882893698556,0.18250247410365514,544941723.4285715,2.01499342918396,4.474457881280354,79767525083.42857,101435383222.85715,7126275218.285714,137611492205.7143,1776460306.2857144,41.49168341500418,545000000.0,0.15536123514175412,10568813.357142856,93.63854108537946,931014674.2857143,19343074.785714287,2120025.7410714286,745451963.4285715,0.607000504221235,0.6361155595098223,1770035172.5714285,70614986.85714285,10509358.464285715,1278542463.75,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.24,28.95428721110026,21.04571278889974,0.58665098462786,0.8798907796541849,18.401742935180664,37.36082077026367,41.76261377334595,0.8715581297874451,12.532464981079102,13.444279034932455,38.75428263346354,10.844532330830893,47.82353591918945,2.176465551058451,0.5155528634786606,32.13704363505045,83.2995834350586,157.26391092936197,0.5155355532964071,0.19769863784313202,3.3847274780273438,0.07157745957374571,544989408.0,1.7645480235417683,3.491506020228068,86616331605.33333,110036489557.33333,7728409600.0,149362988373.33334,1927547477.3333333,46.44479105869929,545000000.0,0.1338131402929624,10049248.666666666,57.49398295084635,964537062.5,19819821.731119793,2021763.5416666667,807961664.0,0.5235459208488464,0.4690636495749156,1800363221.3333333,70629040.0,10368638.564453125,1363879842.2239583,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.25,25.33302198137556,17.634331839425222,0.14589348861149376,0.7221640007836478,31.64095960344587,33.376350675310405,33.84204517092024,0.06352326347093494,8.164892741612025,10.927779606410436,34.853350571223665,9.32990414755685,40.048797607421875,17.094059807913645,0.5731350739619562,27.47312436785017,85.90425109863281,105.91119820731026,0.5707526121820722,0.15779559101377214,3.650796958378383,0.18978885667664663,544942902.8571428,1.4246673583984375,2.986033248049872,56308262034.28571,72019401581.71428,4960033206.857142,97277997641.14285,1260652288.0,37.69271928923471,545000000.0,0.11566858419350212,9329237.285714285,98.55589948381696,696472845.7142857,17377502.721679688,1649727.0982142857,530015222.85714287,0.45292275292532785,0.38704982825687956,1571177453.7142856,62649436.0,9514363.221679688,803335688.4888393,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.26,24.97763987949916,17.647894178118026,0.36748957633972174,0.704896228654044,21.408320835658483,32.2987300327846,31.297357967921666,0.036270485924822925,8.51327909742083,11.460950034005302,33.29611097063337,9.236245836530413,40.79115295410156,2.0659900392804826,0.27510245570114683,27.620683397565568,66.84806823730469,181.61296735491072,0.3874433806964329,0.1688105719430106,3.077136584690639,0.17309605649539403,544952064.0,1.5133940492357527,2.2774830545697893,72482236708.57143,92340106971.42857,6427104987.428572,125079395181.71428,1631398509.7142856,52.67141214438847,545000000.0,0.1152566245623997,8761595.57142857,97.02047293526786,846103446.8571428,15134156.411132812,2048328.7857142857,676671515.4285715,0.4442605120795114,0.30198875069618225,1399604132.5714285,58870733.14285714,8325559.982561384,1251532080.0625,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.27,18.914072195688885,14.98445192972819,16.666666666666668,0.604439252987504,28.161148071289062,30.407387733459473,30.370742956797283,0.054091715253889554,8.53474697843194,9.311773935953775,28.876415252685547,7.825830231110255,36.577683448791504,13.422316551208496,0.3217184813693166,39.225226720174156,73.54409535725911,416.37468973795575,0.46225085854530334,0.14442667861779532,3.2870145638783774,0.19990432759126028,544953760.0,1.5277179678281148,2.4134905536969504,46611258197.333336,58333877546.666664,4278489969.3333335,80056686421.33333,994332998.6666666,42.134889582792916,545000000.0,0.13666086147228876,6454347.416666667,94.05722554524739,570668401.3333334,11143050.366210938,1271810.4166666667,439225749.3333333,0.4210974375406901,0.3392358918984731,1010042826.6666666,41770232.0,6212114.7828776045,705787483.8932291,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.28,29.250935872395832,20.32813898722331,1.3996456464131672,0.4661223099877437,26.29808298746745,36.61202875773112,34.59480301539103,0.5006407002607981,9.799969673156738,13.677320798238119,37.632439931233726,10.328033447265625,47.156107584635414,2.843892733256022,0.40835307422094047,32.4693972269694,75.57251993815105,206.11712646484375,0.46507952610651654,0.1832160403331121,3.1933139165242515,0.1432236135005951,544949792.0,1.7474651336669922,2.4845546980698905,58684363434.666664,74727426730.66667,5192810581.333333,101240889344.0,1324905173.3333333,44.476875364780426,545000000.0,0.12548218915859857,8271674.5,46.09622701009115,684462300.7864584,14864028.75016276,1824517.5416666667,530282778.6666667,0.5136858721574148,0.32517499662935734,1387714549.3333333,54617240.333333336,8219488.083496094,1023864503.4153646,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.29,24.754098619733536,18.12119265965053,0.16112443378993443,0.8389538356236049,25.600644247872488,33.621755599975586,37.07592296600342,0.017108601118837056,9.977929524012975,11.550611768450056,34.870368003845215,9.50165703679834,40.933416094098774,16.20944164480482,0.36647888153259245,27.5279541015625,98.87067522321429,164.77381025041853,0.5122256023543221,0.16975439446313037,5.368561949048724,0.11278567143848964,544963099.4285715,1.5147104944501604,3.6472751881395067,75526282093.71428,96012973787.42857,6727147666.285714,130259912996.57143,1683293366.857143,39.712234241621836,545000000.0,0.11460648902824944,10082593.57142857,95.15476771763393,887085960.0,18262638.251953125,2143722.25,702460928.0,0.4491631133215768,0.5478609459740775,1674262107.4285715,68156857.14285715,9972360.53766741,1217234127.1473215,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
