Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
23.32,50.43843078613281,49.56156921386719,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,6.443048477172852,7.991533756256103,38.283426920572914,10.648281733194986,98.99715423583984,1.0028468370437622,0.2992967665195465,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,69.73677825927734,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,266723065856.0,2863904256.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,0.4076599180698395,0.3821363151073456,604739008.0,73375198.66666667,1288863.375,1217786135.7161458,9.175070762634276,1430.0,948.0,14144.0,2.0,44.27436447143555,2082.0,25785943213.0,2361.0,3.0,55.0,52.0,47.0,30.0,25.0,36.0,72.0,456.0,2.0,83.93229246139526,3196.0,73.0,2.181356430053711
23.33,50.43843078613281,49.56156921386719,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,6.443048477172852,7.991533756256103,38.283426920572914,10.648281733194986,98.99715423583984,1.0028468370437622,0.2992967665195465,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,69.73677825927734,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,266723065856.0,2863904256.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,0.4076599180698395,0.3821363151073456,604739008.0,73375198.66666667,1288863.375,1217786135.7161458,9.175070762634276,1430.0,948.0,14144.0,2.0,44.27436447143555,2082.0,25157326154.0,2361.0,3.0,55.0,52.0,47.0,30.0,25.0,36.0,72.0,456.0,2.0,83.93229246139526,3196.0,73.0,2.181356430053711
23.36,50.45884704589844,49.54115295410156,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,6.663596153259277,8.008682250976562,38.283426920572914,10.648281733194986,98.9764175415039,1.0235803127288818,0.3066835105419159,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,59.63819122314453,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,269833977856.0,2880573696.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,0.4230522215366363,0.3821363151073456,630525888.0,73375198.66666667,1330721.25,1217786135.7161458,9.175070762634276,1430.0,948.0,14144.0,2.0,44.27436447143555,2082.0,25169236785.0,2361.0,3.0,55.0,52.0,47.0,30.0,25.0,36.0,72.0,456.0,2.0,83.93229246139526,3196.0,73.0,2.181356430053711
23.37,50.45884704589844,49.54115295410156,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,6.663596153259277,8.008682250976562,38.283426920572914,10.648281733194986,98.9764175415039,1.0235803127288818,0.3066835105419159,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,59.63819122314453,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,269833977856.0,2880573696.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,0.4230522215366363,0.3821363151073456,630525888.0,73375198.66666667,1330721.25,1217786135.7161458,9.175070762634276,1430.0,948.0,14144.0,2.0,44.27436447143555,2082.0,23707720361.0,2361.0,3.0,55.0,52.0,47.0,30.0,25.0,36.0,72.0,456.0,2.0,83.93229246139526,3196.0,73.0,2.181356430053711
23.38,50.45884704589844,49.54115295410156,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,6.663596153259277,8.008682250976562,38.283426920572914,10.648281733194986,98.9764175415039,1.0235803127288818,0.3066835105419159,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,59.63819122314453,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,269833977856.0,2880573696.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,0.4230522215366363,0.3821363151073456,630525888.0,73375198.66666667,1330721.25,1217786135.7161458,9.175070762634276,1430.0,948.0,14144.0,2.0,44.27436447143555,2082.0,25179593929.0,2361.0,3.0,55.0,52.0,47.0,30.0,25.0,36.0,72.0,456.0,2.0,83.93229246139526,3196.0,73.0,2.181356430053711
23.39,50.45884704589844,49.54115295410156,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,6.663596153259277,8.008682250976562,38.283426920572914,10.648281733194986,98.9764175415039,1.0235803127288818,0.3066835105419159,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,59.63819122314453,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,269833977856.0,2880573696.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,0.4230522215366363,0.3821363151073456,630525888.0,73375198.66666667,1330721.25,1217786135.7161458,9.175070762634276,1174.0,464.0,12264.0,2.0,44.27436447143555,2082.0,25179593929.0,2361.0,3.0,55.0,52.0,47.0,30.0,25.0,36.0,72.0,456.0,2.0,83.93229246139526,3196.0,73.0,2.181356430053711
23.4,50.45884704589844,49.54115295410156,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,6.663596153259277,8.008682250976562,38.283426920572914,10.648281733194986,98.9764175415039,1.0235803127288818,0.3066835105419159,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,59.63819122314453,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,269833977856.0,2880573696.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,0.4230522215366363,0.3821363151073456,630525888.0,73375198.66666667,1330721.25,1217786135.7161458,9.175070762634276,1174.0,464.0,12264.0,2.0,44.27436447143555,2082.0,24456498094.0,2361.0,3.0,55.0,52.0,47.0,30.0,25.0,36.0,72.0,456.0,2.0,83.93229246139526,3196.0,73.0,2.181356430053711
23.43,50.45884704589844,49.54115295410156,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,6.663596153259277,8.008682250976562,38.283426920572914,10.648281733194986,98.9764175415039,1.0235803127288818,0.3066835105419159,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,59.63819122314453,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,269833977856.0,2880573696.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,0.4230522215366363,0.3821363151073456,630525888.0,73375198.66666667,1330721.25,1217786135.7161458,9.175070762634276,1174.0,464.0,12264.0,2.0,44.27436447143555,2082.0,25843385845.0,2361.0,3.0,55.0,52.0,47.0,30.0,25.0,36.0,72.0,456.0,2.0,83.93229246139526,3196.0,73.0,2.181356430053711
23.44,50.45884704589844,49.54115295410156,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,6.663596153259277,8.008682250976562,38.283426920572914,10.648281733194986,98.9764175415039,1.0235803127288818,0.3066835105419159,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,59.63819122314453,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,269833977856.0,2880573696.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,0.4230522215366363,0.3821363151073456,630525888.0,73375198.66666667,1330721.25,1217786135.7161458,9.175070762634276,1174.0,464.0,12264.0,2.0,44.27436447143555,2082.0,23735581568.0,2361.0,3.0,55.0,52.0,47.0,30.0,25.0,36.0,72.0,456.0,2.0,83.93229246139526,3196.0,73.0,2.181356430053711
23.46,50.447452545166016,49.552547454833984,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,6.982242107391357,8.031752586364746,38.283426920572914,10.648281733194986,98.9330825805664,1.0669138431549072,0.3012689650058746,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,63.14762115478516,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,268483772416.0,2839676160.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,0.45136758685112,0.3821363151073456,660694656.0,73375198.66666667,1370388.625,1217786135.7161458,9.175070762634276,1174.0,464.0,12264.0,2.0,44.27436447143555,2082.0,25229701339.0,2361.0,3.0,55.0,52.0,47.0,30.0,25.0,36.0,72.0,456.0,2.0,83.93229246139526,3196.0,73.0,2.181356430053711
23.48,50.447452545166016,49.552547454833984,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,6.982242107391357,8.031752586364746,38.283426920572914,10.648281733194986,98.9330825805664,1.0669138431549072,0.3012689650058746,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,63.14762115478516,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,268483772416.0,2839676160.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,0.45136758685112,0.3821363151073456,660694656.0,73375198.66666667,1370388.625,1217786135.7161458,9.175070762634276,1174.0,464.0,12264.0,2.0,44.27436447143555,2082.0,25553765671.0,2361.0,3.0,55.0,52.0,47.0,30.0,25.0,36.0,72.0,456.0,2.0,83.93229246139526,3196.0,73.0,2.181356430053711
23.5,50.447452545166016,49.552547454833984,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,6.982242107391357,8.031752586364746,38.283426920572914,10.648281733194986,98.9330825805664,1.0669138431549072,0.3012689650058746,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,63.14762115478516,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,268483772416.0,2839676160.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,0.45136758685112,0.3821363151073456,660694656.0,73375198.66666667,1370388.625,1217786135.7161458,9.175070762634276,1174.0,464.0,12264.0,2.0,44.27436447143555,2082.0,25252332485.0,2361.0,3.0,55.0,52.0,47.0,30.0,25.0,36.0,72.0,456.0,2.0,83.93229246139526,3196.0,73.0,2.181356430053711
23.51,50.447452545166016,49.552547454833984,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,6.982242107391357,8.031752586364746,38.283426920572914,10.648281733194986,98.9330825805664,1.0669138431549072,0.3012689650058746,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,63.14762115478516,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,268483772416.0,2839676160.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,0.45136758685112,0.3821363151073456,660694656.0,73375198.66666667,1370388.625,1217786135.7161458,9.175070762634276,1174.0,464.0,12264.0,2.0,44.27436447143555,2082.0,23764755073.0,2361.0,3.0,55.0,52.0,47.0,30.0,25.0,36.0,72.0,456.0,2.0,83.93229246139526,3196.0,73.0,2.181356430053711
23.52,50.447452545166016,49.552547454833984,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,6.982242107391357,8.031752586364746,38.283426920572914,10.648281733194986,98.9330825805664,1.0669138431549072,0.3012689650058746,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,63.14762115478516,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,268483772416.0,2839676160.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,0.45136758685112,0.3821363151073456,660694656.0,73375198.66666667,1370388.625,1217786135.7161458,9.175070762634276,1174.0,464.0,12264.0,2.0,44.27436447143555,2082.0,25263180915.0,2361.0,3.0,55.0,52.0,47.0,30.0,25.0,36.0,72.0,456.0,2.0,83.93229246139526,3196.0,73.0,2.181356430053711
23.53,50.447452545166016,49.552547454833984,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,6.982242107391357,8.031752586364746,38.283426920572914,10.648281733194986,98.9330825805664,1.0669138431549072,0.3012689650058746,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,63.14762115478516,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,268483772416.0,2839676160.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,0.45136758685112,0.3821363151073456,660694656.0,73375198.66666667,1370388.625,1217786135.7161458,9.175070762634276,1174.0,464.0,12264.0,2.0,44.27436447143555,2082.0,24834544140.5,2361.0,3.0,55.0,52.0,47.0,30.0,25.0,36.0,72.0,456.0,2.0,83.93229246139526,3196.0,73.0,2.181356430053711
