room,filename,gpu_util_diff_first_last,Avg Preemption Delay_std,gpu_util_iqr,Avg Preemption Delay_p75,gpu_util_std,Avg Preemption Delay_p90,gpu_util_first,gpu_util_cv,gpu_util_range,display_refresh_rate_num_changes,display_refresh_rate_diff_first_last,display_refresh_rate_first
lab,lab_object_1_cleaned.csv,50.45576989650726,36.99715330551945,47.11771607398987,75.70808410644531,23.29410020907,90.699951171875,33.09307396411896,0.4205844718862736,61.59416139125824,2,-18.0,90.0
lab,lab_object_2_cleaned.csv,53.556075692176826,39.406073160909884,48.02877902984619,64.65878295898438,23.217296052343958,97.44757080078124,31.49177134037017,0.4346360727096662,57.610708475112915,2,-18.0,90.0
lab,lab_object_3_cleaned.csv,51.920872926712036,38.48338518100421,47.91138768196106,76.27075958251953,24.060018881655733,95.07125854492188,31.62549734115601,0.4240802311633801,61.535146832466125,2,-18.0,90.0
lab,lab_object_4_cleaned.csv,50.57816505432129,38.71027894488879,47.49588668346405,72.32958221435547,23.345690730049736,99.4665008544922,33.826446533203125,0.41605366602977545,60.94799488782883,2,-18.0,90.0
lab,lab_object_5_cleaned.csv,49.38044548034668,36.98717421247827,47.73564338684082,65.85371017456055,23.124092468474764,93.18828582763672,33.72633457183838,0.42229466656676257,59.19971317052841,2,-18.0,90.0
lab,lab_person_1_cleaned.csv,45.20001411437988,56.765390816462066,44.61798965930939,89.11124420166016,22.746426585384274,164.74142456054688,35.786473751068115,0.38820733380882433,61.541859805583954,2,-18.0,90.0
lab,lab_person_2_cleaned.csv,57.220482826232896,62.120087573332256,54.67802584171296,63.463523864746094,26.40509953690484,145.76454162597656,34.43870544433594,0.45157682702134794,66.23960435390472,2,-18.0,90.0
lab,lab_person_3_cleaned.csv,48.7710177898407,31.751121237576978,46.702906489372246,68.50812911987305,23.134154787204128,75.5399055480957,35.06394028663635,0.4089772085888724,59.1720849275589,2,-18.0,90.0
lab,lab_person_5_cleaned.csv,46.19375765323639,31.528210027860467,44.140809774398804,57.70926284790039,20.780210493088394,76.73940124511718,34.908291697502136,0.40686080636326855,57.3895201086998,2,-18.0,90.0
blinds,blinds_motion_1_cleaned.csv,60.62219440937042,31.28529228884987,47.69403636455536,57.401599884033196,23.667373936051792,72.38575592041015,20.07127106189728,0.4960232654504976,61.68383061885834,4,0.0,72.0
blinds,blinds_motion_2_cleaned.csv,65.29805511236191,34.68952366119586,49.82420802116394,70.25092315673828,25.686768888183643,79.33456573486328,19.380725920200348,0.4861272283400189,70.01223415136337,4,0.0,72.0
blinds,blinds_motion_3_cleaned.csv,60.18621772527695,29.68350308212438,48.16300570964813,59.582481384277344,25.005301410022163,69.47589416503907,18.86710673570633,0.47326024501879227,66.38831347227097,4,0.0,72.0
blinds,blinds_motion_4_cleaned.csv,61.88344061374664,46.87772187655559,50.07885992527008,85.60055541992188,25.115112578874452,128.39321899414062,20.372101664543152,0.4857973555673018,66.21076166629791,4,0.0,72.0
blinds,blinds_motion_5_cleaned.csv,64.02287036180496,29.81181284758304,46.429237723350525,55.88578224182129,24.057937685010344,74.58507537841797,18.767891824245453,0.46953255122131493,64.02287036180496,4,0.0,72.0
blinds,blinds_object_1_cleaned.csv,58.19178819656372,34.585259726362025,51.64200961589813,69.93238830566406,24.478523710466693,78.27210998535156,24.19618368148804,0.48909044065214946,58.71661901473999,2,-18.0,90.0
blinds,blinds_object_2_cleaned.csv,64.18122500181198,36.31722698776695,51.39199495315552,74.08384704589844,25.46435508654625,82.72481384277344,18.798495829105377,0.4762797052644784,64.2735168337822,4,0.0,72.0
blinds,blinds_object_3_cleaned.csv,64.18122500181198,36.31722698776695,51.39199495315552,74.08384704589844,25.46435508654625,82.72481384277344,18.798495829105377,0.4762797052644784,64.2735168337822,4,0.0,72.0
blinds,blinds_object_4_cleaned.csv,62.22716122865677,33.648980580660215,50.628238916397095,69.38034057617188,24.787488719016793,76.64003448486328,20.368491113185883,0.47783721047207917,62.65068203210831,4,0.0,72.0
blinds,blinds_object_5_cleaned.csv,61.88724935054779,33.54076560026233,54.82157766819,66.77177429199219,25.561214010743797,74.98828125,21.197709441185,0.5200355933239531,62.00070083141327,4,0.0,72.0
blinds,blinds_person_1_cleaned.csv,66.62978082895279,35.93956941920016,54.862600564956665,75.04916381835938,26.715955401971552,82.93672637939453,20.27435153722763,0.4644443379538104,66.69506579637527,4,0.0,72.0
blinds,blinds_person_2_cleaned.csv,67.4951046705246,36.261483184425806,57.08228945732117,73.60413360595703,27.914379118499294,82.63124084472656,19.42144930362701,0.5121665701797379,68.22373569011688,4,0.0,72.0
blinds,blinds_person_3_cleaned.csv,67.91422516107559,36.700466662174506,55.45864999294281,73.97963905334473,27.307997563110114,83.96665573120117,19.60885375738144,0.4925503737143034,67.91422516107559,4,0.0,72.0
blinds,blinds_person_4_cleaned.csv,66.87544137239456,32.37706349832447,55.70107400417328,68.82221221923828,27.060902895543723,78.16543426513672,19.36909407377243,0.5177277160700993,67.43561178445816,4,0.0,72.0
blinds,blinds_person_5_cleaned.csv,63.271504640579224,34.04523165411002,51.08293294906616,69.47454071044922,26.103867148259443,77.67718200683595,18.833279609680176,0.49729261398683045,65.80022871494293,4,0.0,72.0
