Time (s),% Linear Filtered,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
14.95,50.32938003540039,0.26393718804631916,23.522383553641184,0.012000846011298043,25.05492782592773,33.328125,2.832760572433472,15.254702976771764,33.700391496930806,34.38192967006138,0.26534072841916767,0.14169183799198698,1.4014184815543038,0.6381714344024658,544947346.2857143,1.152169210570199,0.7054604462214878,2700937609.142857,3892398372.571429,427580092.85714287,137199206400.0,710515904.0,72.81608315876552,545000000.0,0.04070443766457694,5449574.857142857,96.65733119419643,129527095.8125,8135499.714285715,807891.4464285715,51797920.0,2.1583755016326904,0.059062383004597256,649099264.0,23572310.85714286,1192631.625,36885051.678571425,0.1467529386281967,1104.0,465.0,12686.0,1.0,1.7054568529129028,2760.0,2361.0,4.0,84.0,84.0,81.0,75.0,61.0,81.0,90.0,545.0,2.0,31.368419528007507,0.7286522388458252,3196.0,1.0,76.0,3.318797826766968
15.0,50.34407043457031,0.26393718804631916,23.522383553641184,0.012000846011298043,24.84990119934082,34.03821563720703,2.931706428527832,15.254702976771764,33.700391496930806,34.38192967006138,0.26534072841916767,0.14169183799198698,1.4014184815543038,0.6381714344024658,544947346.2857143,1.152169210570199,0.7054604462214878,2700937609.142857,3892398372.571429,427580092.85714287,136050917376.0,703797184.0,72.81608315876552,545000000.0,0.04070443766457694,5449574.857142857,96.65733119419643,129527095.8125,8135499.714285715,807891.4464285715,51797920.0,2.1595993041992188,0.059062383004597256,641722560.0,23572310.85714286,1180275.625,36885051.678571425,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2760.0,2361.0,4.0,84.0,84.0,81.0,75.0,61.0,81.0,90.0,545.0,2.0,31.368419528007507,0.7286522388458252,3196.0,1.0,76.0,3.318797826766968
15.1,50.335975646972656,0.26393718804631916,23.522383553641184,0.012000846011298043,25.07242774963379,33.30997467041016,2.8430440425872803,15.254702976771764,33.700391496930806,34.38192967006138,0.26534072841916767,0.14169183799198698,1.4014184815543038,0.6381714344024658,544947346.2857143,1.152169210570199,0.7054604462214878,2700937609.142857,3892398372.571429,427580092.85714287,133949325312.0,693637120.0,72.81608315876552,545000000.0,0.04070443766457694,5449574.857142857,96.65733119419643,129527095.8125,8135499.714285715,807891.4464285715,51797920.0,2.158540964126587,0.059062383004597256,641968256.0,23572310.85714286,1180906.875,36885051.678571425,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2760.0,2361.0,4.0,84.0,84.0,81.0,75.0,61.0,81.0,90.0,545.0,2.0,31.368419528007507,0.7286522388458252,3196.0,1.0,76.0,3.318797826766968
15.2,50.36048889160156,0.26393718804631916,23.522383553641184,0.012000846011298043,24.895732879638672,34.134334564208984,2.964958667755127,15.254702976771764,33.700391496930806,34.38192967006138,0.26534072841916767,0.14169183799198698,1.4014184815543038,0.6381714344024658,544947346.2857143,1.152169210570199,0.7054604462214878,2700937609.142857,3892398372.571429,427580092.85714287,133808455680.0,692173952.0,72.81608315876552,545000000.0,0.04070443766457694,5449574.857142857,96.65733119419643,129527095.8125,8135499.714285715,807891.4464285715,51797920.0,2.159769058227539,0.059062383004597256,641293120.0,23572310.85714286,1179306.625,36885051.678571425,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2760.0,2361.0,4.0,84.0,84.0,81.0,75.0,61.0,81.0,90.0,545.0,2.0,31.368419528007507,0.7286522388458252,3196.0,1.0,76.0,3.318797826766968
15.3,50.35567092895508,0.26393718804631916,23.522383553641184,0.012000846011298043,25.10888671875,33.32952117919922,3.096318244934082,15.254702976771764,33.700391496930806,34.38192967006138,0.26534072841916767,0.14169183799198698,1.4014184815543038,0.6381714344024658,544947346.2857143,1.152169210570199,0.7054604462214878,2700937609.142857,3892398372.571429,427580092.85714287,137096273920.0,709876800.0,72.81608315876552,545000000.0,0.04070443766457694,5449574.857142857,96.65733119419643,129527095.8125,8135499.714285715,807891.4464285715,51797920.0,2.158989429473877,0.059062383004597256,662426048.0,23572310.85714286,1218397.375,36885051.678571425,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2760.0,2361.0,4.0,84.0,84.0,81.0,75.0,61.0,81.0,90.0,545.0,2.0,31.368419528007507,0.7286522388458252,3196.0,1.0,76.0,3.318797826766968
15.32,50.35567092895508,0.26393718804631916,23.522383553641184,0.012000846011298043,25.10888671875,33.32952117919922,3.096318244934082,15.254702976771764,33.700391496930806,34.38192967006138,0.26534072841916767,0.14169183799198698,1.4014184815543038,0.6381714344024658,544947346.2857143,1.152169210570199,0.7054604462214878,2700937609.142857,3892398372.571429,427580092.85714287,137096273920.0,709876800.0,72.81608315876552,545000000.0,0.04070443766457694,5449574.857142857,96.65733119419643,129527095.8125,8135499.714285715,807891.4464285715,51797920.0,2.158989429473877,0.059062383004597256,662426048.0,23572310.85714286,1218397.375,36885051.678571425,0.2025167942047119,101.0,2.0,6313.0,1.0,24.509668350219727,2760.0,2361.0,4.0,84.0,84.0,81.0,75.0,61.0,81.0,90.0,545.0,2.0,31.368419528007507,0.7286522388458252,3196.0,1.0,76.0,3.318797826766968
15.4,50.32398986816406,0.26393718804631916,23.522383553641184,0.012000846011298043,25.054079055786133,33.339385986328125,2.932014226913452,15.254702976771764,33.700391496930806,34.38192967006138,0.26534072841916767,0.14169183799198698,1.4014184815543038,0.6381714344024658,544947346.2857143,1.152169210570199,0.7054604462214878,2700937609.142857,3892398372.571429,427580092.85714287,135008542720.0,699105728.0,72.81608315876552,545000000.0,0.04070443766457694,5449574.857142857,96.65733119419643,129527095.8125,8135499.714285715,807891.4464285715,51797920.0,2.15852427482605,0.059062383004597256,641688576.0,23572310.85714286,1180571.625,36885051.678571425,0.2025167942047119,101.0,2.0,6313.0,1.0,24.509668350219727,2760.0,2361.0,4.0,84.0,84.0,81.0,75.0,61.0,81.0,90.0,545.0,2.0,31.368419528007507,0.7286522388458252,3196.0,1.0,76.0,3.318797826766968
15.5,50.36048889160156,0.26393718804631916,23.522383553641184,0.012000846011298043,24.8815860748291,34.16231155395508,2.9171719551086426,15.254702976771764,33.700391496930806,34.38192967006138,0.26534072841916767,0.14169183799198698,1.4014184815543038,0.6381714344024658,544947346.2857143,1.152169210570199,0.7054604462214878,2700937609.142857,3892398372.571429,427580092.85714287,133945016320.0,692880320.0,72.81608315876552,545000000.0,0.04070443766457694,5449574.857142857,96.65733119419643,129527095.8125,8135499.714285715,807891.4464285715,51797920.0,2.159769058227539,0.059062383004597256,641947584.0,23572310.85714286,1180510.25,36885051.678571425,0.2025167942047119,101.0,2.0,6313.0,1.0,24.509668350219727,2760.0,2361.0,4.0,84.0,84.0,81.0,75.0,61.0,81.0,90.0,545.0,2.0,31.368419528007507,0.7286522388458252,3196.0,1.0,76.0,3.318797826766968
15.6,50.335975646972656,0.26393718804631916,23.522383553641184,0.012000846011298043,25.063627243041992,33.26700973510742,2.904733896255493,15.254702976771764,33.700391496930806,34.38192967006138,0.26534072841916767,0.14169183799198698,1.4014184815543038,0.6381714344024658,544947346.2857143,1.152169210570199,0.7054604462214878,2700937609.142857,3892398372.571429,427580092.85714287,133968232448.0,693735040.0,72.81608315876552,545000000.0,0.04070443766457694,5449574.857142857,96.65733119419643,129527095.8125,8135499.714285715,807891.4464285715,51797920.0,2.158540964126587,0.059062383004597256,642058880.0,23572310.85714286,1181073.5,36885051.678571425,0.2025167942047119,101.0,2.0,6313.0,1.0,24.509668350219727,2760.0,2361.0,4.0,84.0,84.0,81.0,75.0,61.0,81.0,90.0,545.0,2.0,31.368419528007507,0.7286522388458252,3196.0,1.0,76.0,3.318797826766968
15.7,50.36048889160156,0.26393718804631916,23.522383553641184,0.012000846011298043,24.97596549987793,34.13132095336914,2.924690723419189,15.254702976771764,33.700391496930806,34.38192967006138,0.26534072841916767,0.14169183799198698,1.4014184815543038,0.6381714344024658,544947346.2857143,1.152169210570199,0.7054604462214878,2700937609.142857,3892398372.571429,427580092.85714287,133836898304.0,692321088.0,72.81608315876552,545000000.0,0.04070443766457694,5449574.857142857,96.65733119419643,129527095.8125,8135499.714285715,807891.4464285715,51797920.0,2.159769058227539,0.059062383004597256,641429440.0,23572310.85714286,1179557.375,36885051.678571425,0.2025167942047119,101.0,2.0,6313.0,1.0,24.509668350219727,2760.0,2361.0,4.0,84.0,84.0,81.0,75.0,61.0,81.0,90.0,545.0,2.0,31.368419528007507,0.7286522388458252,3196.0,1.0,76.0,3.318797826766968
15.8,50.335975646972656,0.26393718804631916,23.522383553641184,0.012000846011298043,25.049636840820312,33.34014892578125,2.960920810699463,15.254702976771764,33.700391496930806,34.38192967006138,0.26534072841916767,0.14169183799198698,1.4014184815543038,0.6381714344024658,544947346.2857143,1.152169210570199,0.7054604462214878,2700937609.142857,3892398372.571429,427580092.85714287,133977964544.0,693785408.0,72.81608315876552,545000000.0,0.04070443766457694,5449574.857142857,96.65733119419643,129527095.8125,8135499.714285715,807891.4464285715,51797920.0,2.158540964126587,0.059062383004597256,642105536.0,23572310.85714286,1181159.375,36885051.678571425,0.2025167942047119,101.0,2.0,6313.0,1.0,24.509668350219727,2760.0,2361.0,4.0,84.0,84.0,81.0,75.0,61.0,81.0,90.0,545.0,2.0,31.368419528007507,0.7286522388458252,3196.0,1.0,76.0,3.318797826766968
15.9,50.335975646972656,0.26393718804631916,23.522383553641184,0.012000846011298043,25.038373947143555,33.3629264831543,2.8762686252593994,15.254702976771764,33.700391496930806,34.38192967006138,0.26534072841916767,0.14169183799198698,1.4014184815543038,0.6381714344024658,544947346.2857143,1.152169210570199,0.7054604462214878,2700937609.142857,3892398372.571429,427580092.85714287,133937651712.0,693576640.0,72.81608315876552,545000000.0,0.04070443766457694,5449574.857142857,96.65733119419643,129527095.8125,8135499.714285715,807891.4464285715,51797920.0,2.158540964126587,0.059062383004597256,641912320.0,23572310.85714286,1180803.875,36885051.678571425,0.2025167942047119,101.0,2.0,6313.0,1.0,24.509668350219727,2760.0,2361.0,4.0,84.0,84.0,81.0,75.0,61.0,81.0,90.0,545.0,2.0,31.368419528007507,0.7286522388458252,3196.0,1.0,76.0,3.318797826766968
15.95,50.335975646972656,0.26393718804631916,23.522383553641184,0.012000846011298043,25.038373947143555,33.3629264831543,2.8762686252593994,15.254702976771764,33.700391496930806,34.38192967006138,0.26534072841916767,0.14169183799198698,1.4014184815543038,0.6381714344024658,544947346.2857143,1.152169210570199,0.7054604462214878,2700937609.142857,3892398372.571429,427580092.85714287,133937651712.0,693576640.0,72.81608315876552,545000000.0,0.04070443766457694,5449574.857142857,96.65733119419643,129527095.8125,8135499.714285715,807891.4464285715,51797920.0,2.158540964126587,0.059062383004597256,641912320.0,23572310.85714286,1180803.875,36885051.678571425,0.1467529386281967,1104.0,465.0,12686.0,1.0,1.7054568529129028,2760.0,2361.0,4.0,84.0,84.0,81.0,75.0,61.0,81.0,90.0,545.0,2.0,31.368419528007507,0.7286522388458252,3196.0,1.0,76.0,3.318797826766968
16.0,50.36048889160156,0.26393718804631916,23.522383553641184,0.012000846011298043,24.87713432312012,34.167327880859375,2.966015338897705,15.254702976771764,33.700391496930806,34.38192967006138,0.26534072841916767,0.14169183799198698,1.4014184815543038,0.6381714344024658,544947346.2857143,1.152169210570199,0.7054604462214878,2700937609.142857,3892398372.571429,427580092.85714287,133846056960.0,692368448.0,72.81608315876552,545000000.0,0.04070443766457694,5449574.857142857,96.65733119419643,129527095.8125,8135499.714285715,807891.4464285715,51797920.0,2.159769058227539,0.059062383004597256,641473344.0,23572310.85714286,1179638.125,36885051.678571425,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2760.0,2361.0,4.0,84.0,84.0,81.0,75.0,61.0,81.0,90.0,545.0,2.0,31.368419528007507,0.7286522388458252,3196.0,1.0,76.0,3.318797826766968
16.11,50.335975646972656,0.26393718804631916,23.522383553641184,0.012000846011298043,25.03433609008789,33.32109451293945,2.8660225868225098,15.254702976771764,33.700391496930806,34.38192967006138,0.26534072841916767,0.14169183799198698,1.4014184815543038,0.6381714344024658,544947346.2857143,1.152169210570199,0.7054604462214878,2700937609.142857,3892398372.571429,427580092.85714287,133829263360.0,693015424.0,72.81608315876552,545000000.0,0.04070443766457694,5449574.857142857,96.65733119419643,129527095.8125,8135499.714285715,807891.4464285715,51797920.0,2.158540964126587,0.059062383004597256,641392832.0,23572310.85714286,1179848.375,36885051.678571425,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2760.0,2361.0,4.0,84.0,84.0,81.0,75.0,61.0,81.0,90.0,545.0,2.0,31.368419528007507,0.7286522388458252,3196.0,1.0,76.0,3.318797826766968
16.21,50.36048889160156,0.26393718804631916,23.522383553641184,0.012000846011298043,24.87321281433105,34.113250732421875,2.9793052673339844,15.254702976771764,33.700391496930806,34.38192967006138,0.26534072841916767,0.14169183799198698,1.4014184815543038,0.6381714344024658,544947346.2857143,1.152169210570199,0.7054604462214878,2700937609.142857,3892398372.571429,427580092.85714287,133980053504.0,693061568.0,72.81608315876552,545000000.0,0.04070443766457694,5449574.857142857,96.65733119419643,129527095.8125,8135499.714285715,807891.4464285715,51797920.0,2.159769058227539,0.059062383004597256,642115520.0,23572310.85714286,1180819.0,36885051.678571425,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2760.0,2361.0,4.0,84.0,84.0,81.0,75.0,61.0,81.0,90.0,545.0,2.0,31.368419528007507,0.7286522388458252,3196.0,1.0,76.0,3.318797826766968
16.31,50.335975646972656,0.26393718804631916,23.522383553641184,0.012000846011298043,25.02971839904785,33.191200256347656,2.915058135986328,15.254702976771764,33.700391496930806,34.38192967006138,0.26534072841916767,0.14169183799198698,1.4014184815543038,0.6381714344024658,544947346.2857143,1.152169210570199,0.7054604462214878,2700937609.142857,3892398372.571429,427580092.85714287,133940084736.0,693589248.0,72.81608315876552,545000000.0,0.04070443766457694,5449574.857142857,96.65733119419643,129527095.8125,8135499.714285715,807891.4464285715,51797920.0,2.158540964126587,0.059062383004597256,641923968.0,23572310.85714286,1180825.375,36885051.678571425,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2760.0,2361.0,4.0,84.0,84.0,81.0,75.0,61.0,81.0,90.0,545.0,2.0,31.368419528007507,0.7286522388458252,3196.0,1.0,76.0,3.318797826766968
16.32,50.335975646972656,0.26393718804631916,23.522383553641184,0.012000846011298043,25.02971839904785,33.191200256347656,2.915058135986328,15.254702976771764,33.700391496930806,34.38192967006138,0.26534072841916767,0.14169183799198698,1.4014184815543038,0.6381714344024658,544947346.2857143,1.152169210570199,0.7054604462214878,2700937609.142857,3892398372.571429,427580092.85714287,133940084736.0,693589248.0,72.81608315876552,545000000.0,0.04070443766457694,5449574.857142857,96.65733119419643,129527095.8125,8135499.714285715,807891.4464285715,51797920.0,2.158540964126587,0.059062383004597256,641923968.0,23572310.85714286,1180825.375,36885051.678571425,0.2025167942047119,101.0,2.0,6313.0,1.0,24.509668350219727,2760.0,2361.0,4.0,84.0,84.0,81.0,75.0,61.0,81.0,90.0,545.0,2.0,31.368419528007507,0.7286522388458252,3196.0,1.0,76.0,3.318797826766968
16.41,50.335975646972656,0.26393718804631916,23.522383553641184,0.012000846011298043,25.21935272216797,33.21322250366211,2.8918685913085938,15.254702976771764,33.700391496930806,34.38192967006138,0.26534072841916767,0.14169183799198698,1.4014184815543038,0.6381714344024658,544947346.2857143,1.152169210570199,0.7054604462214878,2700937609.142857,3892398372.571429,427580092.85714287,133885624320.0,693307264.0,72.81608315876552,545000000.0,0.04070443766457694,5449574.857142857,96.65733119419643,129527095.8125,8135499.714285715,807891.4464285715,51797920.0,2.158540964126587,0.059062383004597256,641662976.0,23572310.85714286,1180345.25,36885051.678571425,0.2025167942047119,101.0,2.0,6313.0,1.0,24.509668350219727,2760.0,2361.0,4.0,84.0,84.0,81.0,75.0,61.0,81.0,90.0,545.0,2.0,31.368419528007507,0.7286522388458252,3196.0,1.0,76.0,3.318797826766968
