Time (s),% Nearest Filtered,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
17.44,49.65652084350586,0.8905511796474457,25.513580322265625,0.017358641140162924,24.36050796508789,33.34930419921875,98.2270736694336,1.7729291915893557,2.757376194000244,35.41745662689209,73.44110870361328,322.98768615722656,0.526842035818845,0.26238469779491425,2.6550471782684326,0.5822156667709351,545027408.0,2.1436561942100525,2.986366868019104,65768059392.0,113826203648.0,7485013120.0,134150086656.0,694681408.0,48.18200492858887,545000000.0,0.19060096144676206,14037559.25,95.13239397321429,1078159432.0,27269373.017333984,1787364.2265625,894155304.0,2.158320188522339,0.3648802638053894,641816384.0,78378934.0,1183745.0,1667179454.2109375,2.0078470706939697,287.0,50.0,7922.0,1.0,18.294286727905277,3169.0,20426121880.0,2361.0,4.0,87.0,86.0,83.0,69.0,80.0,78.0,90.0,456.0,2.0,31.3566654920578,3196.0,45.0,3.3545734882354736
17.54,49.63951110839844,0.8905511796474457,25.513580322265625,0.017358641140162924,24.878448486328125,34.17692565917969,98.2119369506836,1.7880654335021973,2.947408437728882,35.41745662689209,73.44110870361328,322.98768615722656,0.526842035818845,0.26238469779491425,2.6550471782684326,0.5822156667709351,545027408.0,2.1436561942100525,2.986366868019104,65768059392.0,113826203648.0,7485013120.0,133599879168.0,691095040.0,48.18200492858887,545000000.0,0.19060096144676206,14037559.25,95.13239397321429,1078159432.0,27269373.017333984,1787364.2265625,894155304.0,2.159769058227539,0.3648802638053894,640293504.0,78378934.0,1177468.5,1667179454.2109375,2.0078470706939697,100.0,2.0,6330.0,1.0,18.294286727905277,3169.0,19647509291.0,2361.0,4.0,87.0,86.0,83.0,69.0,80.0,78.0,90.0,456.0,2.0,31.3566654920578,3196.0,45.0,3.3545734882354736
17.55,49.63951110839844,0.8905511796474457,25.513580322265625,0.017358641140162924,24.878448486328125,34.17692565917969,98.2119369506836,1.7880654335021973,2.947408437728882,35.41745662689209,73.44110870361328,322.98768615722656,0.526842035818845,0.26238469779491425,2.6550471782684326,0.5822156667709351,545027408.0,2.1436561942100525,2.986366868019104,65768059392.0,113826203648.0,7485013120.0,133599879168.0,691095040.0,48.18200492858887,545000000.0,0.19060096144676206,14037559.25,95.13239397321429,1078159432.0,27269373.017333984,1787364.2265625,894155304.0,2.159769058227539,0.3648802638053894,640293504.0,78378934.0,1177468.5,1667179454.2109375,2.0078470706939697,100.0,2.0,6330.0,1.0,18.294286727905277,3169.0,19665754564.0,2361.0,4.0,87.0,86.0,83.0,69.0,80.0,78.0,90.0,456.0,2.0,31.3566654920578,3196.0,45.0,3.3545734882354736
17.56,49.63951110839844,0.8905511796474457,25.513580322265625,0.017358641140162924,24.878448486328125,34.17692565917969,98.2119369506836,1.7880654335021973,2.947408437728882,35.41745662689209,73.44110870361328,322.98768615722656,0.526842035818845,0.26238469779491425,2.6550471782684326,0.5822156667709351,545027408.0,2.1436561942100525,2.986366868019104,65768059392.0,113826203648.0,7485013120.0,133599879168.0,691095040.0,48.18200492858887,545000000.0,0.19060096144676206,14037559.25,95.13239397321429,1078159432.0,27269373.017333984,1787364.2265625,894155304.0,2.159769058227539,0.3648802638053894,640293504.0,78378934.0,1177468.5,1667179454.2109375,2.0078470706939697,100.0,2.0,6330.0,1.0,18.294286727905277,3169.0,19687649512.0,2361.0,4.0,87.0,86.0,83.0,69.0,80.0,78.0,90.0,456.0,2.0,31.3566654920578,3196.0,45.0,3.3545734882354736
17.57,49.63951110839844,0.8905511796474457,25.513580322265625,0.017358641140162924,24.878448486328125,34.17692565917969,98.2119369506836,1.7880654335021973,2.947408437728882,35.41745662689209,73.44110870361328,322.98768615722656,0.526842035818845,0.26238469779491425,2.6550471782684326,0.5822156667709351,545027408.0,2.1436561942100525,2.986366868019104,65768059392.0,113826203648.0,7485013120.0,133599879168.0,691095040.0,48.18200492858887,545000000.0,0.19060096144676206,14037559.25,95.13239397321429,1078159432.0,27269373.017333984,1787364.2265625,894155304.0,2.159769058227539,0.3648802638053894,640293504.0,78378934.0,1177468.5,1667179454.2109375,2.0078470706939697,100.0,2.0,6330.0,1.0,18.294286727905277,3169.0,20099370268.0,2361.0,4.0,87.0,86.0,83.0,69.0,80.0,78.0,90.0,456.0,2.0,31.3566654920578,3196.0,45.0,3.3545734882354736
17.58,49.63951110839844,0.8905511796474457,25.513580322265625,0.017358641140162924,24.878448486328125,34.17692565917969,98.2119369506836,1.7880654335021973,2.947408437728882,35.41745662689209,73.44110870361328,322.98768615722656,0.526842035818845,0.26238469779491425,2.6550471782684326,0.5822156667709351,545027408.0,2.1436561942100525,2.986366868019104,65768059392.0,113826203648.0,7485013120.0,133599879168.0,691095040.0,48.18200492858887,545000000.0,0.19060096144676206,14037559.25,95.13239397321429,1078159432.0,27269373.017333984,1787364.2265625,894155304.0,2.159769058227539,0.3648802638053894,640293504.0,78378934.0,1177468.5,1667179454.2109375,2.0078470706939697,100.0,2.0,6330.0,1.0,18.294286727905277,3169.0,21736818139.0,2361.0,4.0,87.0,86.0,83.0,69.0,80.0,78.0,90.0,456.0,2.0,31.3566654920578,3196.0,45.0,3.3545734882354736
17.59,49.63951110839844,0.8905511796474457,25.513580322265625,0.017358641140162924,24.878448486328125,34.17692565917969,98.2119369506836,1.7880654335021973,2.947408437728882,35.41745662689209,73.44110870361328,322.98768615722656,0.526842035818845,0.26238469779491425,2.6550471782684326,0.5822156667709351,545027408.0,2.1436561942100525,2.986366868019104,65768059392.0,113826203648.0,7485013120.0,133599879168.0,691095040.0,48.18200492858887,545000000.0,0.19060096144676206,14037559.25,95.13239397321429,1078159432.0,27269373.017333984,1787364.2265625,894155304.0,2.159769058227539,0.3648802638053894,640293504.0,78378934.0,1177468.5,1667179454.2109375,2.0078470706939697,100.0,2.0,6330.0,1.0,18.294286727905277,3169.0,20504376706.0,2361.0,4.0,87.0,86.0,83.0,69.0,80.0,78.0,90.0,456.0,2.0,31.3566654920578,3196.0,45.0,3.3545734882354736
17.6,49.63951110839844,0.8905511796474457,25.513580322265625,0.017358641140162924,24.878448486328125,34.17692565917969,98.2119369506836,1.7880654335021973,2.947408437728882,35.41745662689209,73.44110870361328,322.98768615722656,0.526842035818845,0.26238469779491425,2.6550471782684326,0.5822156667709351,545027408.0,2.1436561942100525,2.986366868019104,65768059392.0,113826203648.0,7485013120.0,133599879168.0,691095040.0,48.18200492858887,545000000.0,0.19060096144676206,14037559.25,95.13239397321429,1078159432.0,27269373.017333984,1787364.2265625,894155304.0,2.159769058227539,0.3648802638053894,640293504.0,78378934.0,1177468.5,1667179454.2109375,2.0078470706939697,100.0,2.0,6330.0,1.0,18.294286727905277,3169.0,23757967176.0,2361.0,4.0,87.0,86.0,83.0,69.0,80.0,78.0,90.0,456.0,2.0,31.3566654920578,3196.0,45.0,3.3545734882354736
17.61,49.63951110839844,0.8905511796474457,25.513580322265625,0.017358641140162924,24.878448486328125,34.17692565917969,98.2119369506836,1.7880654335021973,2.947408437728882,35.41745662689209,73.44110870361328,322.98768615722656,0.526842035818845,0.26238469779491425,2.6550471782684326,0.5822156667709351,545027408.0,2.1436561942100525,2.986366868019104,65768059392.0,113826203648.0,7485013120.0,133599879168.0,691095040.0,48.18200492858887,545000000.0,0.19060096144676206,14037559.25,95.13239397321429,1078159432.0,27269373.017333984,1787364.2265625,894155304.0,2.159769058227539,0.3648802638053894,640293504.0,78378934.0,1177468.5,1667179454.2109375,2.0078470706939697,100.0,2.0,6330.0,1.0,18.294286727905277,3169.0,19762079534.0,2361.0,4.0,87.0,86.0,83.0,69.0,80.0,78.0,90.0,456.0,2.0,31.3566654920578,3196.0,45.0,3.3545734882354736
17.62,49.63951110839844,0.8905511796474457,25.513580322265625,0.017358641140162924,24.878448486328125,34.17692565917969,98.2119369506836,1.7880654335021973,2.947408437728882,35.41745662689209,73.44110870361328,322.98768615722656,0.526842035818845,0.26238469779491425,2.6550471782684326,0.5822156667709351,545027408.0,2.1436561942100525,2.986366868019104,65768059392.0,113826203648.0,7485013120.0,133599879168.0,691095040.0,48.18200492858887,545000000.0,0.19060096144676206,14037559.25,95.13239397321429,1078159432.0,27269373.017333984,1787364.2265625,894155304.0,2.159769058227539,0.3648802638053894,640293504.0,78378934.0,1177468.5,1667179454.2109375,2.0078470706939697,100.0,2.0,6330.0,1.0,18.294286727905277,3169.0,19784851920.0,2361.0,4.0,87.0,86.0,83.0,69.0,80.0,78.0,90.0,456.0,2.0,31.3566654920578,3196.0,45.0,3.3545734882354736
17.64,49.664024353027344,0.8905511796474457,25.513580322265625,0.017358641140162924,25.007413864135746,33.426883697509766,98.20513916015624,1.79485821723938,2.9310338497161865,35.41745662689209,73.44110870361328,322.98768615722656,0.526842035818845,0.26238469779491425,2.6550471782684326,0.5822156667709351,545027408.0,2.1436561942100525,2.986366868019104,65768059392.0,113826203648.0,7485013120.0,133862154240.0,693185728.0,48.18200492858887,545000000.0,0.19060096144676206,14037559.25,95.13239397321429,1078159432.0,27269373.017333984,1787364.2265625,894155304.0,2.158540964126587,0.3648802638053894,641550528.0,78378934.0,1180138.375,1667179454.2109375,2.0078470706939697,100.0,2.0,6330.0,1.0,18.294286727905277,3169.0,19809203404.0,2361.0,4.0,87.0,86.0,83.0,69.0,80.0,78.0,90.0,456.0,2.0,31.3566654920578,3196.0,45.0,3.3545734882354736
17.65,49.664024353027344,0.8905511796474457,25.513580322265625,0.017358641140162924,25.007413864135746,33.426883697509766,98.20513916015624,1.79485821723938,2.9310338497161865,35.41745662689209,73.44110870361328,322.98768615722656,0.526842035818845,0.26238469779491425,2.6550471782684326,0.5822156667709351,545027408.0,2.1436561942100525,2.986366868019104,65768059392.0,113826203648.0,7485013120.0,133862154240.0,693185728.0,48.18200492858887,545000000.0,0.19060096144676206,14037559.25,95.13239397321429,1078159432.0,27269373.017333984,1787364.2265625,894155304.0,2.158540964126587,0.3648802638053894,641550528.0,78378934.0,1180138.375,1667179454.2109375,2.0078470706939697,100.0,2.0,6330.0,1.0,18.294286727905277,3169.0,19831103418.0,2361.0,4.0,87.0,86.0,83.0,69.0,80.0,78.0,90.0,456.0,2.0,31.3566654920578,3196.0,45.0,3.3545734882354736
17.66,49.664024353027344,0.8905511796474457,25.513580322265625,0.017358641140162924,25.007413864135746,33.426883697509766,98.20513916015624,1.79485821723938,2.9310338497161865,35.41745662689209,73.44110870361328,322.98768615722656,0.526842035818845,0.26238469779491425,2.6550471782684326,0.5822156667709351,545027408.0,2.1436561942100525,2.986366868019104,65768059392.0,113826203648.0,7485013120.0,133862154240.0,693185728.0,48.18200492858887,545000000.0,0.19060096144676206,14037559.25,95.13239397321429,1078159432.0,27269373.017333984,1787364.2265625,894155304.0,2.158540964126587,0.3648802638053894,641550528.0,78378934.0,1180138.375,1667179454.2109375,2.0078470706939697,100.0,2.0,6330.0,1.0,18.294286727905277,3169.0,19855461292.0,2361.0,4.0,87.0,86.0,83.0,69.0,80.0,78.0,90.0,456.0,2.0,31.3566654920578,3196.0,45.0,3.3545734882354736
17.67,49.664024353027344,0.8905511796474457,25.513580322265625,0.017358641140162924,25.007413864135746,33.426883697509766,98.20513916015624,1.79485821723938,2.9310338497161865,35.41745662689209,73.44110870361328,322.98768615722656,0.526842035818845,0.26238469779491425,2.6550471782684326,0.5822156667709351,545027408.0,2.1436561942100525,2.986366868019104,65768059392.0,113826203648.0,7485013120.0,133862154240.0,693185728.0,48.18200492858887,545000000.0,0.19060096144676206,14037559.25,95.13239397321429,1078159432.0,27269373.017333984,1787364.2265625,894155304.0,2.158540964126587,0.3648802638053894,641550528.0,78378934.0,1180138.375,1667179454.2109375,2.0078470706939697,100.0,2.0,6330.0,1.0,18.294286727905277,3169.0,20218532086.0,2361.0,4.0,87.0,86.0,83.0,69.0,80.0,78.0,90.0,456.0,2.0,31.3566654920578,3196.0,45.0,3.3545734882354736
17.68,49.664024353027344,0.8905511796474457,25.513580322265625,0.017358641140162924,25.007413864135746,33.426883697509766,98.20513916015624,1.79485821723938,2.9310338497161865,35.41745662689209,73.44110870361328,322.98768615722656,0.526842035818845,0.26238469779491425,2.6550471782684326,0.5822156667709351,545027408.0,2.1436561942100525,2.986366868019104,65768059392.0,113826203648.0,7485013120.0,133862154240.0,693185728.0,48.18200492858887,545000000.0,0.19060096144676206,14037559.25,95.13239397321429,1078159432.0,27269373.017333984,1787364.2265625,894155304.0,2.158540964126587,0.3648802638053894,641550528.0,78378934.0,1180138.375,1667179454.2109375,2.0078470706939697,100.0,2.0,6330.0,1.0,18.294286727905277,3169.0,20570636278.0,2361.0,4.0,87.0,86.0,83.0,69.0,80.0,78.0,90.0,456.0,2.0,31.3566654920578,3196.0,45.0,3.3545734882354736
17.69,49.664024353027344,0.8905511796474457,25.513580322265625,0.017358641140162924,25.007413864135746,33.426883697509766,98.20513916015624,1.79485821723938,2.9310338497161865,35.41745662689209,73.44110870361328,322.98768615722656,0.526842035818845,0.26238469779491425,2.6550471782684326,0.5822156667709351,545027408.0,2.1436561942100525,2.986366868019104,65768059392.0,113826203648.0,7485013120.0,133862154240.0,693185728.0,48.18200492858887,545000000.0,0.19060096144676206,14037559.25,95.13239397321429,1078159432.0,27269373.017333984,1787364.2265625,894155304.0,2.158540964126587,0.3648802638053894,641550528.0,78378934.0,1180138.375,1667179454.2109375,2.0078470706939697,100.0,2.0,6330.0,1.0,18.294286727905277,3169.0,23780577777.0,2361.0,4.0,87.0,86.0,83.0,69.0,80.0,78.0,90.0,456.0,2.0,31.3566654920578,3196.0,45.0,3.3545734882354736
17.7,49.664024353027344,0.8905511796474457,25.513580322265625,0.017358641140162924,25.007413864135746,33.426883697509766,98.20513916015624,1.79485821723938,2.9310338497161865,35.41745662689209,73.44110870361328,322.98768615722656,0.526842035818845,0.26238469779491425,2.6550471782684326,0.5822156667709351,545027408.0,2.1436561942100525,2.986366868019104,65768059392.0,113826203648.0,7485013120.0,133862154240.0,693185728.0,48.18200492858887,545000000.0,0.19060096144676206,14037559.25,95.13239397321429,1078159432.0,27269373.017333984,1787364.2265625,894155304.0,2.158540964126587,0.3648802638053894,641550528.0,78378934.0,1180138.375,1667179454.2109375,2.0078470706939697,100.0,2.0,6330.0,1.0,18.294286727905277,3169.0,23797491565.0,2361.0,4.0,87.0,86.0,83.0,69.0,80.0,78.0,90.0,456.0,2.0,31.3566654920578,3196.0,45.0,3.3545734882354736
17.72,49.664024353027344,0.8905511796474457,25.513580322265625,0.017358641140162924,25.007413864135746,33.426883697509766,98.20513916015624,1.79485821723938,2.9310338497161865,35.41745662689209,73.44110870361328,322.98768615722656,0.526842035818845,0.26238469779491425,2.6550471782684326,0.5822156667709351,545027408.0,2.1436561942100525,2.986366868019104,65768059392.0,113826203648.0,7485013120.0,133862154240.0,693185728.0,48.18200492858887,545000000.0,0.19060096144676206,14037559.25,95.13239397321429,1078159432.0,27269373.017333984,1787364.2265625,894155304.0,2.158540964126587,0.3648802638053894,641550528.0,78378934.0,1180138.375,1667179454.2109375,2.0078470706939697,100.0,2.0,6330.0,1.0,18.294286727905277,3169.0,22224404228.5,2361.0,4.0,87.0,86.0,83.0,69.0,80.0,78.0,90.0,456.0,2.0,31.3566654920578,3196.0,45.0,3.3545734882354736
17.73,49.664024353027344,0.8905511796474457,25.513580322265625,0.017358641140162924,25.007413864135746,33.426883697509766,98.20513916015624,1.79485821723938,2.9310338497161865,35.41745662689209,73.44110870361328,322.98768615722656,0.526842035818845,0.26238469779491425,2.6550471782684326,0.5822156667709351,545027408.0,2.1436561942100525,2.986366868019104,65768059392.0,113826203648.0,7485013120.0,133862154240.0,693185728.0,48.18200492858887,545000000.0,0.19060096144676206,14037559.25,95.13239397321429,1078159432.0,27269373.017333984,1787364.2265625,894155304.0,2.158540964126587,0.3648802638053894,641550528.0,78378934.0,1180138.375,1667179454.2109375,2.0078470706939697,100.0,2.0,6330.0,1.0,18.294286727905277,3169.0,19928076260.0,2361.0,4.0,87.0,86.0,83.0,69.0,80.0,78.0,90.0,456.0,2.0,31.3566654920578,3196.0,45.0,3.3545734882354736
