Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
10.37,0.0030003000671664833,16.666066487630207,7.792422547935e-05,32.531124114990234,0.5700398087501526,-1.0,-1.0,-1.0,0.11932193239529927,-1.0,1.0031011899312336,4.480401515960693,544973973.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.70426563421886,545000000.0,-1.0,3073518.3333333335,55.32886250813802,64854277.333333336,2429379.6666666665,764866.1666666666,776614637.7142857,-1.0,-1.0,-1.0,13243516.0,7426874.5,36390219.916666664,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2769.0,13335096226.0,1920.0,4.0,75.0,72.0,67.0,71.0,54.0,86.0,90.0,545.0,2.0,31.15348219871521,3196.0,1.0,74.0,3.361733675003052
10.38,0.0030003000671664833,16.666066487630207,7.792422547935e-05,32.531124114990234,0.5700398087501526,-1.0,-1.0,-1.0,0.11932193239529927,-1.0,1.0031011899312336,4.480401515960693,544973973.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.70426563421886,545000000.0,-1.0,3073518.3333333335,55.32886250813802,64854277.333333336,2429379.6666666665,764866.1666666666,776614637.7142857,-1.0,-1.0,-1.0,13243516.0,7426874.5,36390219.916666664,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2769.0,11763902176.0,1920.0,4.0,75.0,72.0,67.0,71.0,54.0,86.0,90.0,545.0,2.0,31.15348219871521,3196.0,1.0,74.0,3.361733675003052
10.39,0.0030003000671664833,16.666066487630207,7.792422547935e-05,32.531124114990234,0.5700398087501526,-1.0,-1.0,-1.0,0.11932193239529927,-1.0,1.0031011899312336,4.480401515960693,544973973.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.70426563421886,545000000.0,-1.0,3073518.3333333335,55.32886250813802,64854277.333333336,2429379.6666666665,764866.1666666666,776614637.7142857,-1.0,-1.0,-1.0,13243516.0,7426874.5,36390219.916666664,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2769.0,14424074832.0,1920.0,4.0,75.0,72.0,67.0,71.0,54.0,86.0,90.0,545.0,2.0,31.15348219871521,3196.0,1.0,74.0,3.361733675003052
10.41,0.0030003000671664833,16.666066487630207,7.792422547935e-05,32.531124114990234,0.5700398087501526,-1.0,-1.0,-1.0,0.11932193239529927,-1.0,1.0031011899312336,4.480401515960693,544973973.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.70426563421886,545000000.0,-1.0,3073518.3333333335,55.32886250813802,64854277.333333336,2429379.6666666665,764866.1666666666,776614637.7142857,-1.0,-1.0,-1.0,13243516.0,7426874.5,36390219.916666664,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2769.0,14454851134.0,1920.0,4.0,75.0,72.0,67.0,71.0,54.0,86.0,90.0,545.0,2.0,31.15348219871521,3196.0,1.0,74.0,3.361733675003052
10.42,0.0030003000671664833,16.666066487630207,7.792422547935e-05,32.531124114990234,0.5700398087501526,-1.0,-1.0,-1.0,0.11932193239529927,-1.0,1.0031011899312336,4.480401515960693,544973973.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.70426563421886,545000000.0,-1.0,3073518.3333333335,55.32886250813802,64854277.333333336,2429379.6666666665,764866.1666666666,776614637.7142857,-1.0,-1.0,-1.0,13243516.0,7426874.5,36390219.916666664,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2769.0,14485069570.0,1920.0,4.0,75.0,72.0,67.0,71.0,54.0,86.0,90.0,545.0,2.0,31.15348219871521,3196.0,1.0,74.0,3.361733675003052
10.43,0.0030003000671664833,16.666066487630207,7.792422547935e-05,32.531124114990234,0.5700398087501526,-1.0,-1.0,-1.0,0.11932193239529927,-1.0,1.0031011899312336,4.480401515960693,544973973.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.70426563421886,545000000.0,-1.0,3073518.3333333335,55.32886250813802,64854277.333333336,2429379.6666666665,764866.1666666666,776614637.7142857,-1.0,-1.0,-1.0,13243516.0,7426874.5,36390219.916666664,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2769.0,13395424175.0,1920.0,4.0,75.0,72.0,67.0,71.0,54.0,86.0,90.0,545.0,2.0,31.15348219871521,3196.0,1.0,74.0,3.361733675003052
10.44,0.0030003000671664833,16.666066487630207,7.792422547935e-05,32.531124114990234,0.5700398087501526,-1.0,-1.0,-1.0,0.11932193239529927,-1.0,1.0031011899312336,4.480401515960693,544973973.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.70426563421886,545000000.0,-1.0,3073518.3333333335,55.32886250813802,64854277.333333336,2429379.6666666665,764866.1666666666,776614637.7142857,-1.0,-1.0,-1.0,13243516.0,7426874.5,36390219.916666664,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2769.0,14514942243.0,1920.0,4.0,75.0,72.0,67.0,71.0,54.0,86.0,90.0,545.0,2.0,31.15348219871521,3196.0,1.0,74.0,3.361733675003052
10.45,0.0030003000671664833,16.666066487630207,7.792422547935e-05,31.786096572875977,0.518989086151123,-1.0,-1.0,-1.0,0.11932193239529927,-1.0,1.0031011899312336,0.6568059325218201,544973973.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.70426563421886,545000000.0,-1.0,3073518.3333333335,55.32886250813802,64854277.333333336,2429379.6666666665,764866.1666666666,776614637.7142857,-1.0,-1.0,-1.0,13243516.0,7427056.5,36390219.916666664,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2769.0,14542275077.0,1920.0,4.0,75.0,72.0,67.0,71.0,54.0,86.0,90.0,545.0,2.0,31.15348219871521,3196.0,1.0,74.0,3.361733675003052
10.46,0.0030003000671664833,16.666066487630207,7.792422547935e-05,31.786096572875977,0.518989086151123,-1.0,-1.0,-1.0,0.11932193239529927,-1.0,1.0031011899312336,0.6568059325218201,544973973.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.70426563421886,545000000.0,-1.0,3073518.3333333335,55.32886250813802,64854277.333333336,2429379.6666666665,764866.1666666666,776614637.7142857,-1.0,-1.0,-1.0,13243516.0,7427056.5,36390219.916666664,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2769.0,14570235421.0,1920.0,4.0,75.0,72.0,67.0,71.0,54.0,86.0,90.0,545.0,2.0,31.15348219871521,3196.0,1.0,74.0,3.361733675003052
10.47,0.0030003000671664833,16.666066487630207,7.792422547935e-05,31.786096572875977,0.518989086151123,-1.0,-1.0,-1.0,0.11932193239529927,-1.0,1.0031011899312336,0.6568059325218201,544973973.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.70426563421886,545000000.0,-1.0,3073518.3333333335,55.32886250813802,64854277.333333336,2429379.6666666665,764866.1666666666,776614637.7142857,-1.0,-1.0,-1.0,13243516.0,7427056.5,36390219.916666664,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2769.0,14598757930.0,1920.0,4.0,75.0,72.0,67.0,71.0,54.0,86.0,90.0,545.0,2.0,31.15348219871521,3196.0,1.0,74.0,3.361733675003052
10.48,0.0030003000671664833,16.666066487630207,7.792422547935e-05,31.786096572875977,0.518989086151123,-1.0,-1.0,-1.0,0.11932193239529927,-1.0,1.0031011899312336,0.6568059325218201,544973973.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.70426563421886,545000000.0,-1.0,3073518.3333333335,55.32886250813802,64854277.333333336,2429379.6666666665,764866.1666666666,776614637.7142857,-1.0,-1.0,-1.0,13243516.0,7427056.5,36390219.916666664,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2769.0,14627553458.0,1920.0,4.0,75.0,72.0,67.0,71.0,54.0,86.0,90.0,545.0,2.0,31.15348219871521,3196.0,1.0,74.0,3.361733675003052
