Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
13.31,50.331016540527344,49.66852569580078,0.37584127698625835,14.26866183749267,31.089757646833146,1.1346381489586617,25.108673095703125,33.41318893432617,52.12540468147823,19.303168296813965,2.95276141166687,31.38606861659459,99.94512067522321,190.93634632655554,0.7440875257764544,0.2416179861341204,4.825871169567108,0.6427106261253357,544953737.1428572,1.8473337888717651,3.2698245772293637,38981644615.42857,67277828973.71429,4450827476.857142,136262246400.0,705610368.0,40.3393474646977,545000000.0,0.11850640603474208,10952175.41294643,86.63970511300224,727232352.0,19084079.83482143,2296407.0714285714,562218843.4285715,2.1585326194763184,0.4673967957496643,646387456.0,59958257.735491075,1184429.25,941307719.2767857,1301.501220703125,105.0,2.0,6332.0,1.0,10.86788845062256,2713.0,15545409535.0,1920.0,4.0,73.0,71.0,69.0,65.0,90.0,54.0,90.0,545.0,2.0,31.018823385238647,2736.0,91.0,3.337644100189209
13.32,50.331016540527344,49.66852569580078,0.37584127698625835,14.26866183749267,31.089757646833146,1.1346381489586617,25.108673095703125,33.41318893432617,52.12540468147823,19.303168296813965,2.95276141166687,31.38606861659459,99.94512067522321,190.93634632655554,0.7440875257764544,0.2416179861341204,4.825871169567108,0.6427106261253357,544953737.1428572,1.8473337888717651,3.2698245772293637,38981644615.42857,67277828973.71429,4450827476.857142,136262246400.0,705610368.0,40.3393474646977,545000000.0,0.11850640603474208,10952175.41294643,86.63970511300224,727232352.0,19084079.83482143,2296407.0714285714,562218843.4285715,2.1585326194763184,0.4673967957496643,646387456.0,59958257.735491075,1184429.25,941307719.2767857,1301.501220703125,105.0,2.0,6332.0,1.0,10.86788845062256,2713.0,16308546465.0,1920.0,4.0,73.0,71.0,69.0,65.0,90.0,54.0,90.0,545.0,2.0,31.018823385238647,2736.0,91.0,3.337644100189209
13.34,50.331016540527344,49.66852569580078,0.37584127698625835,14.26866183749267,31.089757646833146,1.1346381489586617,25.108673095703125,33.41318893432617,52.12540468147823,19.303168296813965,2.95276141166687,31.38606861659459,99.94512067522321,190.93634632655554,0.7440875257764544,0.2416179861341204,4.825871169567108,0.6427106261253357,544953737.1428572,1.8473337888717651,3.2698245772293637,38981644615.42857,67277828973.71429,4450827476.857142,136262246400.0,705610368.0,40.3393474646977,545000000.0,0.11850640603474208,10952175.41294643,86.63970511300224,727232352.0,19084079.83482143,2296407.0714285714,562218843.4285715,2.1585326194763184,0.4673967957496643,646387456.0,59958257.735491075,1184429.25,941307719.2767857,1301.501220703125,105.0,2.0,6332.0,1.0,10.86788845062256,2713.0,20246516552.0,1920.0,4.0,73.0,71.0,69.0,65.0,90.0,54.0,90.0,545.0,2.0,31.018823385238647,2736.0,91.0,3.337644100189209
13.35,50.331016540527344,49.66852569580078,0.37584127698625835,14.26866183749267,31.089757646833146,1.1346381489586617,25.108673095703125,33.41318893432617,52.12540468147823,19.303168296813965,2.95276141166687,31.38606861659459,99.94512067522321,190.93634632655554,0.7440875257764544,0.2416179861341204,4.825871169567108,0.6427106261253357,544953737.1428572,1.8473337888717651,3.2698245772293637,38981644615.42857,67277828973.71429,4450827476.857142,136262246400.0,705610368.0,40.3393474646977,545000000.0,0.11850640603474208,10952175.41294643,86.63970511300224,727232352.0,19084079.83482143,2296407.0714285714,562218843.4285715,2.1585326194763184,0.4673967957496643,646387456.0,59958257.735491075,1184429.25,941307719.2767857,1301.501220703125,105.0,2.0,6332.0,1.0,10.86788845062256,2713.0,16369095662.0,1920.0,4.0,73.0,71.0,69.0,65.0,90.0,54.0,90.0,545.0,2.0,31.018823385238647,2736.0,91.0,3.337644100189209
13.36,50.331016540527344,49.66852569580078,0.37584127698625835,14.26866183749267,31.089757646833146,1.1346381489586617,25.108673095703125,33.41318893432617,52.12540468147823,19.303168296813965,2.95276141166687,31.38606861659459,99.94512067522321,190.93634632655554,0.7440875257764544,0.2416179861341204,4.825871169567108,0.6427106261253357,544953737.1428572,1.8473337888717651,3.2698245772293637,38981644615.42857,67277828973.71429,4450827476.857142,136262246400.0,705610368.0,40.3393474646977,545000000.0,0.11850640603474208,10952175.41294643,86.63970511300224,727232352.0,19084079.83482143,2296407.0714285714,562218843.4285715,2.1585326194763184,0.4673967957496643,646387456.0,59958257.735491075,1184429.25,941307719.2767857,1301.501220703125,105.0,2.0,6332.0,1.0,10.86788845062256,2713.0,20268621403.0,1920.0,4.0,73.0,71.0,69.0,65.0,90.0,54.0,90.0,545.0,2.0,31.018823385238647,2736.0,91.0,3.337644100189209
13.37,50.331016540527344,49.66852569580078,0.37584127698625835,14.26866183749267,31.089757646833146,1.1346381489586617,25.108673095703125,33.41318893432617,52.12540468147823,19.303168296813965,2.95276141166687,31.38606861659459,99.94512067522321,190.93634632655554,0.7440875257764544,0.2416179861341204,4.825871169567108,0.6427106261253357,544953737.1428572,1.8473337888717651,3.2698245772293637,38981644615.42857,67277828973.71429,4450827476.857142,136262246400.0,705610368.0,40.3393474646977,545000000.0,0.11850640603474208,10952175.41294643,86.63970511300224,727232352.0,19084079.83482143,2296407.0714285714,562218843.4285715,2.1585326194763184,0.4673967957496643,646387456.0,59958257.735491075,1184429.25,941307719.2767857,1301.501220703125,105.0,2.0,6332.0,1.0,10.86788845062256,2713.0,17951395442.5,1920.0,4.0,73.0,71.0,69.0,65.0,90.0,54.0,90.0,545.0,2.0,31.018823385238647,2736.0,91.0,3.337644100189209
13.38,50.331016540527344,49.66852569580078,0.37584127698625835,14.26866183749267,31.089757646833146,1.1346381489586617,25.108673095703125,33.41318893432617,52.12540468147823,19.303168296813965,2.95276141166687,31.38606861659459,99.94512067522321,190.93634632655554,0.7440875257764544,0.2416179861341204,4.825871169567108,0.6427106261253357,544953737.1428572,1.8473337888717651,3.2698245772293637,38981644615.42857,67277828973.71429,4450827476.857142,136262246400.0,705610368.0,40.3393474646977,545000000.0,0.11850640603474208,10952175.41294643,86.63970511300224,727232352.0,19084079.83482143,2296407.0714285714,562218843.4285715,2.1585326194763184,0.4673967957496643,646387456.0,59958257.735491075,1184429.25,941307719.2767857,1301.501220703125,105.0,2.0,6332.0,1.0,10.86788845062256,2713.0,15622637508.0,1920.0,4.0,73.0,71.0,69.0,65.0,90.0,54.0,90.0,545.0,2.0,31.018823385238647,2736.0,91.0,3.337644100189209
13.39,50.331016540527344,49.66852569580078,0.37584127698625835,14.26866183749267,31.089757646833146,1.1346381489586617,25.108673095703125,33.41318893432617,52.12540468147823,19.303168296813965,2.95276141166687,31.38606861659459,99.94512067522321,190.93634632655554,0.7440875257764544,0.2416179861341204,4.825871169567108,0.6427106261253357,544953737.1428572,1.8473337888717651,3.2698245772293637,38981644615.42857,67277828973.71429,4450827476.857142,136262246400.0,705610368.0,40.3393474646977,545000000.0,0.11850640603474208,10952175.41294643,86.63970511300224,727232352.0,19084079.83482143,2296407.0714285714,562218843.4285715,2.1585326194763184,0.4673967957496643,646387456.0,59958257.735491075,1184429.25,941307719.2767857,1301.501220703125,105.0,2.0,6332.0,1.0,10.86788845062256,2713.0,15649600931.5,1920.0,4.0,73.0,71.0,69.0,65.0,90.0,54.0,90.0,545.0,2.0,31.018823385238647,2736.0,91.0,3.337644100189209
13.4,50.35630798339844,49.64357376098633,0.37584127698625835,14.26866183749267,31.089757646833146,1.1346381489586617,24.890968322753903,34.24449920654297,52.12540468147823,19.303168296813965,2.97823166847229,31.38606861659459,99.94512067522321,190.93634632655554,0.7440875257764544,0.2416179861341204,4.825871169567108,0.6427106261253357,544953737.1428572,1.8473337888717651,3.2698245772293637,38981644615.42857,67277828973.71429,4450827476.857142,135567245312.0,701273984.0,40.3393474646977,545000000.0,0.11850640603474208,10952175.41294643,86.63970511300224,727232352.0,19084079.83482143,2296407.0714285714,562218843.4285715,2.1597843170166016,0.4673967957496643,641899328.0,59958257.735491075,1180421.5,941307719.2767857,1301.501220703125,105.0,2.0,6332.0,1.0,10.86788845062256,2713.0,15649600931.5,1920.0,4.0,73.0,71.0,69.0,65.0,90.0,54.0,90.0,545.0,2.0,31.018823385238647,2736.0,91.0,3.337644100189209
13.42,50.35630798339844,49.64357376098633,0.37584127698625835,14.26866183749267,31.089757646833146,1.1346381489586617,24.890968322753903,34.24449920654297,52.12540468147823,19.303168296813965,2.97823166847229,31.38606861659459,99.94512067522321,190.93634632655554,0.7440875257764544,0.2416179861341204,4.825871169567108,0.6427106261253357,544953737.1428572,1.8473337888717651,3.2698245772293637,38981644615.42857,67277828973.71429,4450827476.857142,135567245312.0,701273984.0,40.3393474646977,545000000.0,0.11850640603474208,10952175.41294643,86.63970511300224,727232352.0,19084079.83482143,2296407.0714285714,562218843.4285715,2.1597843170166016,0.4673967957496643,641899328.0,59958257.735491075,1180421.5,941307719.2767857,1301.501220703125,105.0,2.0,6332.0,1.0,10.86788845062256,2713.0,15709752930.0,1920.0,4.0,73.0,71.0,69.0,65.0,90.0,54.0,90.0,545.0,2.0,31.018823385238647,2736.0,91.0,3.337644100189209
13.44,50.35630798339844,49.64357376098633,0.37584127698625835,14.26866183749267,31.089757646833146,1.1346381489586617,24.890968322753903,34.24449920654297,52.12540468147823,19.303168296813965,2.97823166847229,31.38606861659459,99.94512067522321,190.93634632655554,0.7440875257764544,0.2416179861341204,4.825871169567108,0.6427106261253357,544953737.1428572,1.8473337888717651,3.2698245772293637,38981644615.42857,67277828973.71429,4450827476.857142,135567245312.0,701273984.0,40.3393474646977,545000000.0,0.11850640603474208,10952175.41294643,86.63970511300224,727232352.0,19084079.83482143,2296407.0714285714,562218843.4285715,2.1597843170166016,0.4673967957496643,641899328.0,59958257.735491075,1180421.5,941307719.2767857,1301.501220703125,105.0,2.0,6332.0,1.0,10.86788845062256,2713.0,20400624808.0,1920.0,4.0,73.0,71.0,69.0,65.0,90.0,54.0,90.0,545.0,2.0,31.018823385238647,2736.0,91.0,3.337644100189209
13.45,50.35630798339844,49.64357376098633,0.37584127698625835,14.26866183749267,31.089757646833146,1.1346381489586617,24.890968322753903,34.24449920654297,52.12540468147823,19.303168296813965,2.97823166847229,31.38606861659459,99.94512067522321,190.93634632655554,0.7440875257764544,0.2416179861341204,4.825871169567108,0.6427106261253357,544953737.1428572,1.8473337888717651,3.2698245772293637,38981644615.42857,67277828973.71429,4450827476.857142,135567245312.0,701273984.0,40.3393474646977,545000000.0,0.11850640603474208,10952175.41294643,86.63970511300224,727232352.0,19084079.83482143,2296407.0714285714,562218843.4285715,2.1597843170166016,0.4673967957496643,641899328.0,59958257.735491075,1180421.5,941307719.2767857,1301.501220703125,105.0,2.0,6332.0,1.0,10.86788845062256,2713.0,20422476606.0,1920.0,4.0,73.0,71.0,69.0,65.0,90.0,54.0,90.0,545.0,2.0,31.018823385238647,2736.0,91.0,3.337644100189209
13.46,50.35630798339844,49.64357376098633,0.37584127698625835,14.26866183749267,31.089757646833146,1.1346381489586617,24.890968322753903,34.24449920654297,52.12540468147823,19.303168296813965,2.97823166847229,31.38606861659459,99.94512067522321,190.93634632655554,0.7440875257764544,0.2416179861341204,4.825871169567108,0.6427106261253357,544953737.1428572,1.8473337888717651,3.2698245772293637,38981644615.42857,67277828973.71429,4450827476.857142,135567245312.0,701273984.0,40.3393474646977,545000000.0,0.11850640603474208,10952175.41294643,86.63970511300224,727232352.0,19084079.83482143,2296407.0714285714,562218843.4285715,2.1597843170166016,0.4673967957496643,641899328.0,59958257.735491075,1180421.5,941307719.2767857,1301.501220703125,105.0,2.0,6332.0,1.0,10.86788845062256,2713.0,20446810016.0,1920.0,4.0,73.0,71.0,69.0,65.0,90.0,54.0,90.0,545.0,2.0,31.018823385238647,2736.0,91.0,3.337644100189209
13.47,50.35630798339844,49.64357376098633,0.37584127698625835,14.26866183749267,31.089757646833146,1.1346381489586617,24.890968322753903,34.24449920654297,52.12540468147823,19.303168296813965,2.97823166847229,31.38606861659459,99.94512067522321,190.93634632655554,0.7440875257764544,0.2416179861341204,4.825871169567108,0.6427106261253357,544953737.1428572,1.8473337888717651,3.2698245772293637,38981644615.42857,67277828973.71429,4450827476.857142,135567245312.0,701273984.0,40.3393474646977,545000000.0,0.11850640603474208,10952175.41294643,86.63970511300224,727232352.0,19084079.83482143,2296407.0714285714,562218843.4285715,2.1597843170166016,0.4673967957496643,641899328.0,59958257.735491075,1180421.5,941307719.2767857,1301.501220703125,105.0,2.0,6332.0,1.0,10.86788845062256,2713.0,20472824809.0,1920.0,4.0,73.0,71.0,69.0,65.0,90.0,54.0,90.0,545.0,2.0,31.018823385238647,2736.0,91.0,3.337644100189209
13.48,50.35630798339844,49.64357376098633,0.37584127698625835,14.26866183749267,31.089757646833146,1.1346381489586617,24.890968322753903,34.24449920654297,52.12540468147823,19.303168296813965,2.97823166847229,31.38606861659459,99.94512067522321,190.93634632655554,0.7440875257764544,0.2416179861341204,4.825871169567108,0.6427106261253357,544953737.1428572,1.8473337888717651,3.2698245772293637,38981644615.42857,67277828973.71429,4450827476.857142,135567245312.0,701273984.0,40.3393474646977,545000000.0,0.11850640603474208,10952175.41294643,86.63970511300224,727232352.0,19084079.83482143,2296407.0714285714,562218843.4285715,2.1597843170166016,0.4673967957496643,641899328.0,59958257.735491075,1180421.5,941307719.2767857,1301.501220703125,105.0,2.0,6332.0,1.0,10.86788845062256,2713.0,15750874534.0,1920.0,4.0,73.0,71.0,69.0,65.0,90.0,54.0,90.0,545.0,2.0,31.018823385238647,2736.0,91.0,3.337644100189209
13.49,50.35630798339844,49.64357376098633,0.37584127698625835,14.26866183749267,31.089757646833146,1.1346381489586617,24.890968322753903,34.24449920654297,52.12540468147823,19.303168296813965,2.97823166847229,31.38606861659459,99.94512067522321,190.93634632655554,0.7440875257764544,0.2416179861341204,4.825871169567108,0.6427106261253357,544953737.1428572,1.8473337888717651,3.2698245772293637,38981644615.42857,67277828973.71429,4450827476.857142,135567245312.0,701273984.0,40.3393474646977,545000000.0,0.11850640603474208,10952175.41294643,86.63970511300224,727232352.0,19084079.83482143,2296407.0714285714,562218843.4285715,2.1597843170166016,0.4673967957496643,641899328.0,59958257.735491075,1180421.5,941307719.2767857,1301.501220703125,105.0,2.0,6332.0,1.0,10.86788845062256,2713.0,15777367981.0,1920.0,4.0,73.0,71.0,69.0,65.0,90.0,54.0,90.0,545.0,2.0,31.018823385238647,2736.0,91.0,3.337644100189209
13.5,50.32087326049805,49.65914535522461,0.37584127698625835,14.26866183749267,31.089757646833146,1.1346381489586617,25.02752113342285,33.40079498291016,52.12540468147823,19.303168296813965,2.924511432647705,31.38606861659459,99.94512067522321,190.93634632655554,0.7440875257764544,0.2416179861341204,4.825871169567108,0.6427106261253357,544953737.1428572,1.8473337888717651,3.2698245772293637,38981644615.42857,67277828973.71429,4450827476.857142,134428557312.0,696114752.0,40.3393474646977,545000000.0,0.11850640603474208,10952175.41294643,86.63970511300224,727232352.0,19084079.83482143,2296407.0714285714,562218843.4285715,2.15837836265564,0.4673967957496643,641892672.0,59958257.735491075,1180947.125,941307719.2767857,1301.501220703125,105.0,2.0,6332.0,1.0,10.86788845062256,2713.0,15809091511.0,1920.0,4.0,73.0,71.0,69.0,65.0,90.0,54.0,90.0,545.0,2.0,31.018823385238647,2736.0,91.0,3.337644100189209
