Time (s),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
9.67,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,8485676136.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.68,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,8484555264.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.69,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,8059458301.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.71,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,8086919589.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.73,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,9019638389.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.74,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,9045060077.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.76,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,9071784672.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.77,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,9057324964.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.79,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,9033105022.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.8,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,9056409857.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.81,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,9081682880.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.82,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,8190152757.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.83,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,9162458622.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.84,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,8221868888.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.86,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,9190901764.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.87,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,9126820034.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.88,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,9183504853.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.89,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,8280472718.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.91,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,8305194386.5,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.93,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,9212221815.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.94,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,9235996533.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.95,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,9261516258.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
9.97,0.3944858908653259,145.0,2.0,6661.0,1.0,27.27947998046875,3866.0,8365296838.0,1920.0,4.0,82.0,80.0,79.0,71.0,70.0,74.0,90.0,545.0,2.0,35.91872453689575,3196.0,1.0,1.0,3.300452947616577
10.0,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9316226565.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.01,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9340268074.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.02,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9365345745.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.03,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9372157527.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.04,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9391833952.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.05,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9416059480.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.06,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9441986400.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.07,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9469058802.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.08,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,8446214401.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.09,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,8976956741.5,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.11,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9524570483.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.12,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9553603453.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.13,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,8487753062.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.14,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9042247681.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.16,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9612717190.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.17,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9490730744.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.18,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9642479407.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.19,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9102702484.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.2,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,8551317294.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.22,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9139089427.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.23,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9545422475.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.24,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,8614787205.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.25,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9728463031.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.26,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9751838384.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.27,0.4077678918838501,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9597315092.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.28,2523.318359375,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9597315092.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.29,2523.318359375,403.0,41.0,11649.0,1.0,25.682567596435547,3866.0,9622786232.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.3,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,9649870353.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
