Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time EFUs Working,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
23.4,24.743222372872488,18.488824026925222,0.019392330731664385,0.6972521373203823,22.38170405796596,34.1246588570731,0.0745145148996796,6.905185222625732,8.066426277160645,9.387186050415039,2.9862805094037737,0.3008450865745544,-1.0,62.20393807547433,120.86622619628906,0.4561105796269008,0.1814977994986943,2.3912333079746793,61.61726379394531,545017069.7142857,-1.0,-1.0,-1.0,76663169024.0,5214661632.0,-1.0,2606755328.0,68.76508385794503,545000000.0,0.11824508649962288,11265891.42857143,99.01277814592633,782949613.7142857,22816541.714285713,1413473.9107142857,648010770.2857143,-1.0,0.30858841112681795,620779904.0,66171969.14285714,1187058.5,935479726.6852678,0.0049182972870767,439.0,47.0,12129.0,2.0,39.85050582885742,2047.0,31327318479.0,2361.0,3.0,53.0,56.0,53.0,20.0,35.0,27.0,72.0,456.0,2.0,81.11492991447449,2736.0,71.0,2.1680681705474854
23.41,24.743222372872488,18.488824026925222,0.019392330731664385,0.6972521373203823,22.38170405796596,34.1246588570731,0.0745145148996796,7.124806880950928,8.08322525024414,9.387186050415039,2.9862805094037737,0.322378933429718,-1.0,62.20393807547433,120.86622619628906,0.4561105796269008,0.1814977994986943,2.3912333079746793,54.4765853881836,545017069.7142857,-1.0,-1.0,-1.0,76663169024.0,5214661632.0,-1.0,2602902272.0,68.76508385794503,545000000.0,0.11824508649962288,11265891.42857143,99.01277814592633,782949613.7142857,22816541.714285713,1413473.9107142857,648010770.2857143,-1.0,0.30858841112681795,651547264.0,66171969.14285714,1227161.0,935479726.6852678,0.0049182972870767,439.0,47.0,12129.0,2.0,39.85050582885742,2047.0,25846908284.5,2361.0,3.0,53.0,56.0,53.0,20.0,35.0,27.0,72.0,456.0,2.0,81.11492991447449,2736.0,71.0,2.1680681705474854
23.43,24.743222372872488,18.488824026925222,0.019392330731664385,0.6972521373203823,22.38170405796596,34.1246588570731,0.0745145148996796,7.124806880950928,8.08322525024414,9.387186050415039,2.9862805094037737,0.322378933429718,-1.0,62.20393807547433,120.86622619628906,0.4561105796269008,0.1814977994986943,2.3912333079746793,54.4765853881836,545017069.7142857,-1.0,-1.0,-1.0,76663169024.0,5214661632.0,-1.0,2602902272.0,68.76508385794503,545000000.0,0.11824508649962288,11265891.42857143,99.01277814592633,782949613.7142857,22816541.714285713,1413473.9107142857,648010770.2857143,-1.0,0.30858841112681795,651547264.0,66171969.14285714,1227161.0,935479726.6852678,0.0049182972870767,439.0,47.0,12129.0,2.0,39.85050582885742,2047.0,27562118696.5,2361.0,3.0,53.0,56.0,53.0,20.0,35.0,27.0,72.0,456.0,2.0,81.11492991447449,2736.0,71.0,2.1680681705474854
23.44,24.743222372872488,18.488824026925222,0.019392330731664385,0.6972521373203823,22.38170405796596,34.1246588570731,0.0745145148996796,7.124806880950928,8.08322525024414,9.387186050415039,2.9862805094037737,0.322378933429718,-1.0,62.20393807547433,120.86622619628906,0.4561105796269008,0.1814977994986943,2.3912333079746793,54.4765853881836,545017069.7142857,-1.0,-1.0,-1.0,76663169024.0,5214661632.0,-1.0,2602902272.0,68.76508385794503,545000000.0,0.11824508649962288,11265891.42857143,99.01277814592633,782949613.7142857,22816541.714285713,1413473.9107142857,648010770.2857143,-1.0,0.30858841112681795,651547264.0,66171969.14285714,1227161.0,935479726.6852678,0.0049182972870767,439.0,47.0,12129.0,2.0,39.85050582885742,2047.0,23785099116.0,2361.0,3.0,53.0,56.0,53.0,20.0,35.0,27.0,72.0,456.0,2.0,81.11492991447449,2736.0,71.0,2.1680681705474854
23.45,24.743222372872488,18.488824026925222,0.019392330731664385,0.6972521373203823,22.38170405796596,34.1246588570731,0.0745145148996796,7.124806880950928,8.08322525024414,9.387186050415039,2.9862805094037737,0.322378933429718,-1.0,62.20393807547433,120.86622619628906,0.4561105796269008,0.1814977994986943,2.3912333079746793,54.4765853881836,545017069.7142857,-1.0,-1.0,-1.0,76663169024.0,5214661632.0,-1.0,2602902272.0,68.76508385794503,545000000.0,0.11824508649962288,11265891.42857143,99.01277814592633,782949613.7142857,22816541.714285713,1413473.9107142857,648010770.2857143,-1.0,0.30858841112681795,651547264.0,66171969.14285714,1227161.0,935479726.6852678,0.0049182972870767,439.0,47.0,12129.0,2.0,39.85050582885742,2047.0,20373944183.0,2361.0,3.0,53.0,56.0,53.0,20.0,35.0,27.0,72.0,456.0,2.0,81.11492991447449,2736.0,71.0,2.1680681705474854
23.46,24.743222372872488,18.488824026925222,0.019392330731664385,0.6972521373203823,22.38170405796596,34.1246588570731,0.0745145148996796,7.124806880950928,8.08322525024414,9.387186050415039,2.9862805094037737,0.322378933429718,-1.0,62.20393807547433,120.86622619628906,0.4561105796269008,0.1814977994986943,2.3912333079746793,54.4765853881836,545017069.7142857,-1.0,-1.0,-1.0,76663169024.0,5214661632.0,-1.0,2602902272.0,68.76508385794503,545000000.0,0.11824508649962288,11265891.42857143,99.01277814592633,782949613.7142857,22816541.714285713,1413473.9107142857,648010770.2857143,-1.0,0.30858841112681795,651547264.0,66171969.14285714,1227161.0,935479726.6852678,0.0049182972870767,439.0,47.0,12129.0,2.0,39.85050582885742,2047.0,31362601997.0,2361.0,3.0,53.0,56.0,53.0,20.0,35.0,27.0,72.0,456.0,2.0,81.11492991447449,2736.0,71.0,2.1680681705474854
23.47,24.743222372872488,18.488824026925222,0.019392330731664385,0.6972521373203823,22.38170405796596,34.1246588570731,0.0745145148996796,7.124806880950928,8.08322525024414,9.387186050415039,2.9862805094037737,0.322378933429718,-1.0,62.20393807547433,120.86622619628906,0.4561105796269008,0.1814977994986943,2.3912333079746793,54.4765853881836,545017069.7142857,-1.0,-1.0,-1.0,76663169024.0,5214661632.0,-1.0,2602902272.0,68.76508385794503,545000000.0,0.11824508649962288,11265891.42857143,99.01277814592633,782949613.7142857,22816541.714285713,1413473.9107142857,648010770.2857143,-1.0,0.30858841112681795,651547264.0,66171969.14285714,1227161.0,935479726.6852678,0.0049182972870767,439.0,47.0,12129.0,2.0,39.85050582885742,2047.0,23799726916.0,2361.0,3.0,53.0,56.0,53.0,20.0,35.0,27.0,72.0,456.0,2.0,81.11492991447449,2736.0,71.0,2.1680681705474854
23.48,24.743222372872488,18.488824026925222,0.019392330731664385,0.6972521373203823,22.38170405796596,34.1246588570731,0.0745145148996796,7.124806880950928,8.08322525024414,9.387186050415039,2.9862805094037737,0.322378933429718,-1.0,62.20393807547433,120.86622619628906,0.4561105796269008,0.1814977994986943,2.3912333079746793,54.4765853881836,545017069.7142857,-1.0,-1.0,-1.0,76663169024.0,5214661632.0,-1.0,2602902272.0,68.76508385794503,545000000.0,0.11824508649962288,11265891.42857143,99.01277814592633,782949613.7142857,22816541.714285713,1413473.9107142857,648010770.2857143,-1.0,0.30858841112681795,651547264.0,66171969.14285714,1227161.0,935479726.6852678,0.0049182972870767,439.0,47.0,12129.0,2.0,39.85050582885742,2047.0,23812776352.0,2361.0,3.0,53.0,56.0,53.0,20.0,35.0,27.0,72.0,456.0,2.0,81.11492991447449,2736.0,71.0,2.1680681705474854
23.51,24.743222372872488,18.488824026925222,0.019392330731664385,0.6972521373203823,22.38170405796596,34.1246588570731,0.0745145148996796,6.789220809936523,8.090075492858887,9.387186050415039,2.9862805094037737,0.3060557842254638,-1.0,62.20393807547433,120.86622619628906,0.4561105796269008,0.1814977994986943,2.3912333079746793,61.53219223022461,545017069.7142857,-1.0,-1.0,-1.0,76663169024.0,5214661632.0,-1.0,2523554816.0,68.76508385794503,545000000.0,0.11824508649962288,11265891.42857143,99.01277814592633,782949613.7142857,22816541.714285713,1413473.9107142857,648010770.2857143,-1.0,0.30858841112681795,593599296.0,66171969.14285714,1125198.75,935479726.6852678,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2047.0,27607193373.0,2361.0,3.0,53.0,56.0,53.0,20.0,35.0,27.0,72.0,456.0,2.0,81.11492991447449,2736.0,71.0,2.1680681705474854
23.52,24.743222372872488,18.488824026925222,0.019392330731664385,0.6972521373203823,22.38170405796596,34.1246588570731,0.0745145148996796,6.789220809936523,8.090075492858887,9.387186050415039,2.9862805094037737,0.3060557842254638,-1.0,62.20393807547433,120.86622619628906,0.4561105796269008,0.1814977994986943,2.3912333079746793,61.53219223022461,545017069.7142857,-1.0,-1.0,-1.0,76663169024.0,5214661632.0,-1.0,2523554816.0,68.76508385794503,545000000.0,0.11824508649962288,11265891.42857143,99.01277814592633,782949613.7142857,22816541.714285713,1413473.9107142857,648010770.2857143,-1.0,0.30858841112681795,593599296.0,66171969.14285714,1125198.75,935479726.6852678,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2047.0,20409547447.0,2361.0,3.0,53.0,56.0,53.0,20.0,35.0,27.0,72.0,456.0,2.0,81.11492991447449,2736.0,71.0,2.1680681705474854
23.53,24.743222372872488,18.488824026925222,0.019392330731664385,0.6972521373203823,22.38170405796596,34.1246588570731,0.0745145148996796,6.789220809936523,8.090075492858887,9.387186050415039,2.9862805094037737,0.3060557842254638,-1.0,62.20393807547433,120.86622619628906,0.4561105796269008,0.1814977994986943,2.3912333079746793,61.53219223022461,545017069.7142857,-1.0,-1.0,-1.0,76663169024.0,5214661632.0,-1.0,2523554816.0,68.76508385794503,545000000.0,0.11824508649962288,11265891.42857143,99.01277814592633,782949613.7142857,22816541.714285713,1413473.9107142857,648010770.2857143,-1.0,0.30858841112681795,593599296.0,66171969.14285714,1125198.75,935479726.6852678,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2047.0,31394105416.0,2361.0,3.0,53.0,56.0,53.0,20.0,35.0,27.0,72.0,456.0,2.0,81.11492991447449,2736.0,71.0,2.1680681705474854
23.54,24.743222372872488,18.488824026925222,0.019392330731664385,0.6972521373203823,22.38170405796596,34.1246588570731,0.0745145148996796,6.789220809936523,8.090075492858887,9.387186050415039,2.9862805094037737,0.3060557842254638,-1.0,62.20393807547433,120.86622619628906,0.4561105796269008,0.1814977994986943,2.3912333079746793,61.53219223022461,545017069.7142857,-1.0,-1.0,-1.0,76663169024.0,5214661632.0,-1.0,2523554816.0,68.76508385794503,545000000.0,0.11824508649962288,11265891.42857143,99.01277814592633,782949613.7142857,22816541.714285713,1413473.9107142857,648010770.2857143,-1.0,0.30858841112681795,593599296.0,66171969.14285714,1125198.75,935479726.6852678,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2047.0,20425013218.0,2361.0,3.0,53.0,56.0,53.0,20.0,35.0,27.0,72.0,456.0,2.0,81.11492991447449,2736.0,71.0,2.1680681705474854
23.55,24.743222372872488,18.488824026925222,0.019392330731664385,0.6972521373203823,22.38170405796596,34.1246588570731,0.0745145148996796,6.789220809936523,8.090075492858887,9.387186050415039,2.9862805094037737,0.3060557842254638,-1.0,62.20393807547433,120.86622619628906,0.4561105796269008,0.1814977994986943,2.3912333079746793,61.53219223022461,545017069.7142857,-1.0,-1.0,-1.0,76663169024.0,5214661632.0,-1.0,2523554816.0,68.76508385794503,545000000.0,0.11824508649962288,11265891.42857143,99.01277814592633,782949613.7142857,22816541.714285713,1413473.9107142857,648010770.2857143,-1.0,0.30858841112681795,593599296.0,66171969.14285714,1125198.75,935479726.6852678,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2047.0,31402998933.0,2361.0,3.0,53.0,56.0,53.0,20.0,35.0,27.0,72.0,456.0,2.0,81.11492991447449,2736.0,71.0,2.1680681705474854
23.56,24.743222372872488,18.488824026925222,0.019392330731664385,0.6972521373203823,22.38170405796596,34.1246588570731,0.0745145148996796,6.789220809936523,8.090075492858887,9.387186050415039,2.9862805094037737,0.3060557842254638,-1.0,62.20393807547433,120.86622619628906,0.4561105796269008,0.1814977994986943,2.3912333079746793,61.53219223022461,545017069.7142857,-1.0,-1.0,-1.0,76663169024.0,5214661632.0,-1.0,2523554816.0,68.76508385794503,545000000.0,0.11824508649962288,11265891.42857143,99.01277814592633,782949613.7142857,22816541.714285713,1413473.9107142857,648010770.2857143,-1.0,0.30858841112681795,593599296.0,66171969.14285714,1125198.75,935479726.6852678,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2047.0,20443183748.0,2361.0,3.0,53.0,56.0,53.0,20.0,35.0,27.0,72.0,456.0,2.0,81.11492991447449,2736.0,71.0,2.1680681705474854
23.58,24.743222372872488,18.488824026925222,0.019392330731664385,0.6972521373203823,22.38170405796596,34.1246588570731,0.0745145148996796,6.789220809936523,8.090075492858887,9.387186050415039,2.9862805094037737,0.3060557842254638,-1.0,62.20393807547433,120.86622619628906,0.4561105796269008,0.1814977994986943,2.3912333079746793,61.53219223022461,545017069.7142857,-1.0,-1.0,-1.0,76663169024.0,5214661632.0,-1.0,2523554816.0,68.76508385794503,545000000.0,0.11824508649962288,11265891.42857143,99.01277814592633,782949613.7142857,22816541.714285713,1413473.9107142857,648010770.2857143,-1.0,0.30858841112681795,593599296.0,66171969.14285714,1125198.75,935479726.6852678,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2047.0,31411755423.0,2361.0,3.0,53.0,56.0,53.0,20.0,35.0,27.0,72.0,456.0,2.0,81.11492991447449,2736.0,71.0,2.1680681705474854
23.59,24.743222372872488,18.488824026925222,0.019392330731664385,0.6972521373203823,22.38170405796596,34.1246588570731,0.0745145148996796,6.789220809936523,8.090075492858887,9.387186050415039,2.9862805094037737,0.3060557842254638,-1.0,62.20393807547433,120.86622619628906,0.4561105796269008,0.1814977994986943,2.3912333079746793,61.53219223022461,545017069.7142857,-1.0,-1.0,-1.0,76663169024.0,5214661632.0,-1.0,2523554816.0,68.76508385794503,545000000.0,0.11824508649962288,11265891.42857143,99.01277814592633,782949613.7142857,22816541.714285713,1413473.9107142857,648010770.2857143,-1.0,0.30858841112681795,593599296.0,66171969.14285714,1125198.75,935479726.6852678,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2047.0,27644974496.0,2361.0,3.0,53.0,56.0,53.0,20.0,35.0,27.0,72.0,456.0,2.0,81.11492991447449,2736.0,71.0,2.1680681705474854
23.61,24.743222372872488,18.488824026925222,0.019392330731664385,0.6972521373203823,22.38170405796596,34.1246588570731,0.0745145148996796,6.682228088378906,8.060175895690918,9.387186050415039,2.9862805094037737,0.2959907948970794,-1.0,62.20393807547433,120.86622619628906,0.4561105796269008,0.1814977994986943,2.3912333079746793,63.26620101928711,545017069.7142857,-1.0,-1.0,-1.0,76663169024.0,5214661632.0,-1.0,2552888064.0,68.76508385794503,545000000.0,0.11824508649962288,11265891.42857143,99.01277814592633,782949613.7142857,22816541.714285713,1413473.9107142857,648010770.2857143,-1.0,0.30858841112681795,593896384.0,66171969.14285714,1128403.125,935479726.6852678,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2047.0,25945488706.0,2361.0,3.0,53.0,56.0,53.0,20.0,35.0,27.0,72.0,456.0,2.0,81.11492991447449,2736.0,71.0,2.1680681705474854
23.63,24.743222372872488,18.488824026925222,0.019392330731664385,0.6972521373203823,22.38170405796596,34.1246588570731,0.0745145148996796,6.682228088378906,8.060175895690918,9.387186050415039,2.9862805094037737,0.2959907948970794,-1.0,62.20393807547433,120.86622619628906,0.4561105796269008,0.1814977994986943,2.3912333079746793,63.26620101928711,545017069.7142857,-1.0,-1.0,-1.0,76663169024.0,5214661632.0,-1.0,2552888064.0,68.76508385794503,545000000.0,0.11824508649962288,11265891.42857143,99.01277814592633,782949613.7142857,22816541.714285713,1413473.9107142857,648010770.2857143,-1.0,0.30858841112681795,593896384.0,66171969.14285714,1128403.125,935479726.6852678,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2047.0,31451450619.0,2361.0,3.0,53.0,56.0,53.0,20.0,35.0,27.0,72.0,456.0,2.0,81.11492991447449,2736.0,71.0,2.1680681705474854
