Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
21.58,50.40458679199219,49.566383361816406,0.6143318584987095,0.5451076882226127,33.76321029663086,77.33903503417969,78.24948120117188,0.0107161346822977,7.730664253234863,8.035036087036133,80.30695343017578,23.22185516357422,96.04491424560548,1.2337172031402588,0.3057262897491455,-1.0,168.15084838867188,324.594970703125,1.0353752374649048,0.4070284366607666,6.189084053039551,48.503448486328125,544982592.0,-1.0,7.400397777557373,119187120128.0,146382340096.0,-1.0,-1.0,2036312832.0,33.805267333984375,545000000.0,0.2547231912612915,12186284.0,96.36539568219867,3556238336.0,24020054.0,3108233.5,3309238528.0,0.6213549971580505,1.128622055053711,-1.0,78090008.0,1095211.75,2005666304.0,7.826963901519775,104.0,2.0,6332.0,1.0,10.86788845062256,1608.0,23190273465.0,2361.0,3.0,90.0,90.0,89.0,49.0,47.0,47.0,72.0,456.0,2.0,24.681471288204197,0.1869789958000183,3196.0,3.0,1.0,2.972538948059082
21.59,50.40458679199219,49.566383361816406,0.6143318584987095,0.5451076882226127,33.76321029663086,77.33903503417969,78.24948120117188,0.0107161346822977,7.730664253234863,8.035036087036133,80.30695343017578,23.22185516357422,96.04491424560548,1.2337172031402588,0.3057262897491455,-1.0,168.15084838867188,324.594970703125,1.0353752374649048,0.4070284366607666,6.189084053039551,48.503448486328125,544982592.0,-1.0,7.400397777557373,119187120128.0,146382340096.0,-1.0,-1.0,2036312832.0,33.805267333984375,545000000.0,0.2547231912612915,12186284.0,96.36539568219867,3556238336.0,24020054.0,3108233.5,3309238528.0,0.6213549971580505,1.128622055053711,-1.0,78090008.0,1095211.75,2005666304.0,7.826963901519775,104.0,2.0,6332.0,1.0,10.86788845062256,1608.0,24321660578.0,2361.0,3.0,90.0,90.0,89.0,49.0,47.0,47.0,72.0,456.0,2.0,24.681471288204197,0.1869789958000183,3196.0,3.0,1.0,2.972538948059082
21.6,50.40458679199219,49.566383361816406,0.6143318584987095,0.5451076882226127,33.76321029663086,77.33903503417969,78.24948120117188,0.0107161346822977,7.730664253234863,8.035036087036133,80.30695343017578,23.22185516357422,96.04491424560548,1.2337172031402588,0.3057262897491455,-1.0,168.15084838867188,324.594970703125,1.0353752374649048,0.4070284366607666,6.189084053039551,48.503448486328125,544982592.0,-1.0,7.400397777557373,119187120128.0,146382340096.0,-1.0,-1.0,2036312832.0,33.805267333984375,545000000.0,0.2547231912612915,12186284.0,96.36539568219867,3556238336.0,24020054.0,3108233.5,3309238528.0,0.6213549971580505,1.128622055053711,-1.0,78090008.0,1095211.75,2005666304.0,7.826963901519775,104.0,2.0,6332.0,1.0,10.86788845062256,1608.0,23206349589.0,2361.0,3.0,90.0,90.0,89.0,49.0,47.0,47.0,72.0,456.0,2.0,24.681471288204197,0.1869789958000183,3196.0,3.0,1.0,2.972538948059082
21.62,50.40458679199219,49.566383361816406,0.6143318584987095,0.5451076882226127,33.76321029663086,77.33903503417969,78.24948120117188,0.0107161346822977,7.730664253234863,8.035036087036133,80.30695343017578,23.22185516357422,96.04491424560548,1.2337172031402588,0.3057262897491455,-1.0,168.15084838867188,324.594970703125,1.0353752374649048,0.4070284366607666,6.189084053039551,48.503448486328125,544982592.0,-1.0,7.400397777557373,119187120128.0,146382340096.0,-1.0,-1.0,2036312832.0,33.805267333984375,545000000.0,0.2547231912612915,12186284.0,96.36539568219867,3556238336.0,24020054.0,3108233.5,3309238528.0,0.6213549971580505,1.128622055053711,-1.0,78090008.0,1095211.75,2005666304.0,7.826963901519775,104.0,2.0,6332.0,1.0,10.86788845062256,1608.0,24333081461.5,2361.0,3.0,90.0,90.0,89.0,49.0,47.0,47.0,72.0,456.0,2.0,24.681471288204197,0.1869789958000183,3196.0,3.0,1.0,2.972538948059082
21.63,50.44643783569336,49.55356216430664,0.6143318584987095,0.5451076882226127,33.76321029663086,77.33903503417969,78.24948120117188,0.0107161346822977,7.703622341156006,7.915134429931641,80.30695343017578,23.22185516357422,96.04491424560548,1.2494534254074097,0.3517296016216278,-1.0,168.15084838867188,324.594970703125,1.0353752374649048,0.4070284366607666,6.189084053039551,55.630149841308594,544982592.0,-1.0,7.400397777557373,119187120128.0,146382340096.0,-1.0,-1.0,1992531968.0,33.805267333984375,545000000.0,0.2547231912612915,12186284.0,96.36539568219867,3556238336.0,24020054.0,3108233.5,3309238528.0,0.610727846622467,1.128622055053711,-1.0,78090008.0,1081354.375,2005666304.0,7.826963901519775,104.0,2.0,6332.0,1.0,10.86788845062256,1608.0,24336556200.0,2361.0,3.0,90.0,90.0,89.0,49.0,47.0,47.0,72.0,456.0,2.0,24.681471288204197,0.1869789958000183,3196.0,3.0,1.0,2.972538948059082
21.65,50.44643783569336,49.55356216430664,0.6143318584987095,0.5451076882226127,33.76321029663086,77.33903503417969,78.24948120117188,0.0107161346822977,7.703622341156006,7.915134429931641,80.30695343017578,23.22185516357422,96.04491424560548,1.2494534254074097,0.3517296016216278,-1.0,168.15084838867188,324.594970703125,1.0353752374649048,0.4070284366607666,6.189084053039551,55.630149841308594,544982592.0,-1.0,7.400397777557373,119187120128.0,146382340096.0,-1.0,-1.0,1992531968.0,33.805267333984375,545000000.0,0.2547231912612915,12186284.0,96.36539568219867,3556238336.0,24020054.0,3108233.5,3309238528.0,0.610727846622467,1.128622055053711,-1.0,78090008.0,1081354.375,2005666304.0,7.826963901519775,104.0,2.0,6332.0,1.0,10.86788845062256,1608.0,24346743615.5,2361.0,3.0,90.0,90.0,89.0,49.0,47.0,47.0,72.0,456.0,2.0,24.681471288204197,0.1869789958000183,3196.0,3.0,1.0,2.972538948059082
21.66,50.44643783569336,49.55356216430664,0.6143318584987095,0.5451076882226127,33.76321029663086,77.33903503417969,78.24948120117188,0.0107161346822977,7.703622341156006,7.915134429931641,80.30695343017578,23.22185516357422,96.04491424560548,1.2494534254074097,0.3517296016216278,-1.0,168.15084838867188,324.594970703125,1.0353752374649048,0.4070284366607666,6.189084053039551,55.630149841308594,544982592.0,-1.0,7.400397777557373,119187120128.0,146382340096.0,-1.0,-1.0,1992531968.0,33.805267333984375,545000000.0,0.2547231912612915,12186284.0,96.36539568219867,3556238336.0,24020054.0,3108233.5,3309238528.0,0.610727846622467,1.128622055053711,-1.0,78090008.0,1081354.375,2005666304.0,7.826963901519775,104.0,2.0,6332.0,1.0,10.86788845062256,1608.0,24351666468.5,2361.0,3.0,90.0,90.0,89.0,49.0,47.0,47.0,72.0,456.0,2.0,24.681471288204197,0.1869789958000183,3196.0,3.0,1.0,2.972538948059082
21.67,50.44643783569336,49.55356216430664,0.6143318584987095,0.5451076882226127,33.76321029663086,77.33903503417969,78.24948120117188,0.0107161346822977,7.703622341156006,7.915134429931641,80.30695343017578,23.22185516357422,96.04491424560548,1.2494534254074097,0.3517296016216278,-1.0,168.15084838867188,324.594970703125,1.0353752374649048,0.4070284366607666,6.189084053039551,55.630149841308594,544982592.0,-1.0,7.400397777557373,119187120128.0,146382340096.0,-1.0,-1.0,1992531968.0,33.805267333984375,545000000.0,0.2547231912612915,12186284.0,96.36539568219867,3556238336.0,24020054.0,3108233.5,3309238528.0,0.610727846622467,1.128622055053711,-1.0,78090008.0,1081354.375,2005666304.0,7.010183334350586,1441.0,948.0,14019.0,2.0,52.2161865234375,1608.0,24351666468.5,2361.0,3.0,66.0,67.0,70.0,32.0,27.0,30.0,72.0,456.0,2.0,56.93143606185913,0.1869789958000183,3196.0,3.0,19.0,2.310054302215576
21.68,50.44643783569336,49.55356216430664,0.6143318584987095,0.5451076882226127,33.76321029663086,77.33903503417969,78.24948120117188,0.0107161346822977,7.703622341156006,7.915134429931641,80.30695343017578,23.22185516357422,96.04491424560548,1.2494534254074097,0.3517296016216278,-1.0,168.15084838867188,324.594970703125,1.0353752374649048,0.4070284366607666,6.189084053039551,55.630149841308594,544982592.0,-1.0,7.400397777557373,119187120128.0,146382340096.0,-1.0,-1.0,1992531968.0,33.805267333984375,545000000.0,0.2547231912612915,12186284.0,96.36539568219867,3556238336.0,24020054.0,3108233.5,3309238528.0,0.610727846622467,1.128622055053711,-1.0,78090008.0,1081354.375,2005666304.0,7.010183334350586,1441.0,948.0,14019.0,2.0,52.2161865234375,1608.0,23250416572.0,2361.0,3.0,66.0,67.0,70.0,32.0,27.0,30.0,72.0,456.0,2.0,56.93143606185913,0.1869789958000183,3196.0,3.0,19.0,2.310054302215576
21.7,50.44643783569336,49.55356216430664,0.6143318584987095,0.5451076882226127,33.76321029663086,77.33903503417969,78.24948120117188,0.0107161346822977,7.703622341156006,7.915134429931641,80.30695343017578,23.22185516357422,96.04491424560548,1.2494534254074097,0.3517296016216278,-1.0,168.15084838867188,324.594970703125,1.0353752374649048,0.4070284366607666,6.189084053039551,55.630149841308594,544982592.0,-1.0,7.400397777557373,119187120128.0,146382340096.0,-1.0,-1.0,1992531968.0,33.805267333984375,545000000.0,0.2547231912612915,12186284.0,96.36539568219867,3556238336.0,24020054.0,3108233.5,3309238528.0,0.610727846622467,1.128622055053711,-1.0,78090008.0,1081354.375,2005666304.0,7.010183334350586,1441.0,948.0,14019.0,2.0,52.2161865234375,1608.0,24368657389.0,2361.0,3.0,66.0,67.0,70.0,32.0,27.0,30.0,72.0,456.0,2.0,56.93143606185913,0.1869789958000183,3196.0,3.0,19.0,2.310054302215576
21.72,50.44643783569336,49.55356216430664,0.6143318584987095,0.5451076882226127,33.76321029663086,77.33903503417969,78.24948120117188,0.0107161346822977,7.703622341156006,7.915134429931641,80.30695343017578,23.22185516357422,96.04491424560548,1.2494534254074097,0.3517296016216278,-1.0,168.15084838867188,324.594970703125,1.0353752374649048,0.4070284366607666,6.189084053039551,55.630149841308594,544982592.0,-1.0,7.400397777557373,119187120128.0,146382340096.0,-1.0,-1.0,1992531968.0,33.805267333984375,545000000.0,0.2547231912612915,12186284.0,96.36539568219867,3556238336.0,24020054.0,3108233.5,3309238528.0,0.610727846622467,1.128622055053711,-1.0,78090008.0,1081354.375,2005666304.0,7.010183334350586,1096.0,460.0,12711.0,2.0,52.2161865234375,1608.0,23270422198.0,2361.0,3.0,66.0,67.0,70.0,32.0,27.0,30.0,72.0,456.0,2.0,56.93143606185913,0.1869789958000183,3196.0,3.0,70.0,2.310054302215576
21.73,50.43871307373047,49.56128692626953,0.6143318584987095,0.5451076882226127,33.76321029663086,77.33903503417969,78.24948120117188,0.0107161346822977,7.81810998916626,7.989078521728516,80.30695343017578,23.22185516357422,96.04491424560548,1.2372580766677856,0.3417645096778869,-1.0,168.15084838867188,324.594970703125,1.0353752374649048,0.4070284366607666,6.189084053039551,48.17771911621094,544982592.0,-1.0,7.400397777557373,119187120128.0,146382340096.0,-1.0,-1.0,1924446336.0,33.805267333984375,545000000.0,0.2547231912612915,12186284.0,96.36539568219867,3556238336.0,24020054.0,3108233.5,3309238528.0,0.6059274673461914,1.128622055053711,-1.0,78090008.0,1033698.25,2005666304.0,7.010183334350586,1096.0,460.0,12711.0,2.0,52.2161865234375,1608.0,25499972206.0,2361.0,3.0,66.0,67.0,70.0,32.0,27.0,30.0,72.0,456.0,2.0,56.93143606185913,0.1869789958000183,3196.0,3.0,70.0,2.310054302215576
21.74,50.43871307373047,49.56128692626953,0.6143318584987095,0.5451076882226127,33.76321029663086,77.33903503417969,78.24948120117188,0.0107161346822977,7.81810998916626,7.989078521728516,80.30695343017578,23.22185516357422,96.04491424560548,1.2372580766677856,0.3417645096778869,-1.0,168.15084838867188,324.594970703125,1.0353752374649048,0.4070284366607666,6.189084053039551,48.17771911621094,544982592.0,-1.0,7.400397777557373,119187120128.0,146382340096.0,-1.0,-1.0,1924446336.0,33.805267333984375,545000000.0,0.2547231912612915,12186284.0,96.36539568219867,3556238336.0,24020054.0,3108233.5,3309238528.0,0.6059274673461914,1.128622055053711,-1.0,78090008.0,1033698.25,2005666304.0,7.010183334350586,1096.0,460.0,12711.0,2.0,52.2161865234375,1608.0,24397162845.5,2361.0,3.0,66.0,67.0,70.0,32.0,27.0,30.0,72.0,456.0,2.0,56.93143606185913,0.1869789958000183,3196.0,3.0,70.0,2.310054302215576
21.75,50.43871307373047,49.56128692626953,0.6143318584987095,0.5451076882226127,33.76321029663086,77.33903503417969,78.24948120117188,0.0107161346822977,7.81810998916626,7.989078521728516,80.30695343017578,23.22185516357422,96.04491424560548,1.2372580766677856,0.3417645096778869,-1.0,168.15084838867188,324.594970703125,1.0353752374649048,0.4070284366607666,6.189084053039551,48.17771911621094,544982592.0,-1.0,7.400397777557373,119187120128.0,146382340096.0,-1.0,-1.0,1924446336.0,33.805267333984375,545000000.0,0.2547231912612915,12186284.0,96.36539568219867,3556238336.0,24020054.0,3108233.5,3309238528.0,0.6059274673461914,1.128622055053711,-1.0,78090008.0,1033698.25,2005666304.0,7.010183334350586,1096.0,460.0,12711.0,2.0,52.2161865234375,1608.0,25518744562.0,2361.0,3.0,66.0,67.0,70.0,32.0,27.0,30.0,72.0,456.0,2.0,56.93143606185913,0.1869789958000183,3196.0,3.0,70.0,2.310054302215576
21.77,50.43871307373047,49.56128692626953,0.6143318584987095,0.5451076882226127,33.76321029663086,77.33903503417969,78.24948120117188,0.0107161346822977,7.81810998916626,7.989078521728516,80.30695343017578,23.22185516357422,96.04491424560548,1.2372580766677856,0.3417645096778869,-1.0,168.15084838867188,324.594970703125,1.0353752374649048,0.4070284366607666,6.189084053039551,48.17771911621094,544982592.0,-1.0,7.400397777557373,119187120128.0,146382340096.0,-1.0,-1.0,1924446336.0,33.805267333984375,545000000.0,0.2547231912612915,12186284.0,96.36539568219867,3556238336.0,24020054.0,3108233.5,3309238528.0,0.6059274673461914,1.128622055053711,-1.0,78090008.0,1033698.25,2005666304.0,1301.501220703125,286.0,50.0,7906.0,1.0,10.86788845062256,1608.0,24414611080.5,2361.0,3.0,66.0,67.0,70.0,32.0,27.0,30.0,72.0,456.0,2.0,56.93143606185913,0.1869789958000183,3196.0,3.0,91.0,2.310054302215576
21.78,50.43871307373047,49.56128692626953,0.6143318584987095,0.5451076882226127,33.76321029663086,77.33903503417969,78.24948120117188,0.0107161346822977,7.81810998916626,7.989078521728516,80.30695343017578,23.22185516357422,96.04491424560548,1.2372580766677856,0.3417645096778869,-1.0,168.15084838867188,324.594970703125,1.0353752374649048,0.4070284366607666,6.189084053039551,48.17771911621094,544982592.0,-1.0,7.400397777557373,119187120128.0,146382340096.0,-1.0,-1.0,1924446336.0,33.805267333984375,545000000.0,0.2547231912612915,12186284.0,96.36539568219867,3556238336.0,24020054.0,3108233.5,3309238528.0,0.6059274673461914,1.128622055053711,-1.0,78090008.0,1033698.25,2005666304.0,1301.501220703125,286.0,50.0,7906.0,1.0,10.86788845062256,1608.0,25545809735.0,2361.0,3.0,66.0,67.0,70.0,32.0,27.0,30.0,72.0,456.0,2.0,56.93143606185913,0.1869789958000183,3196.0,3.0,91.0,2.310054302215576
