Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
10.76,10.975609864507403,30.69698143005371,1.1141116156109743,32.5728759765625,0.5809027552604675,-1.0,-1.0,-1.0,1.652440871511187,-1.0,2.8742410114833286,5.181283950805664,545159808.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10426138.531110492,294.0139465332031,604888.625,18935553.211495537,24427084.07142857,741263268.5714285,-1.0,-1.0,-1.0,69119645.71428572,7940807.5,917762.0625,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2381.0,13584480200.0,1920.0,4.0,66.0,68.0,63.0,62.0,68.0,83.0,90.0,545.0,2.0,35.33109426498413,3196.0,1.0,3.3619284629821777
10.77,10.975609864507403,30.69698143005371,1.1141116156109743,32.5728759765625,0.5809027552604675,-1.0,-1.0,-1.0,1.652440871511187,-1.0,2.8742410114833286,5.181283950805664,545159808.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10426138.531110492,294.0139465332031,604888.625,18935553.211495537,24427084.07142857,741263268.5714285,-1.0,-1.0,-1.0,69119645.71428572,7940807.5,917762.0625,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2381.0,13629168835.0,1920.0,4.0,66.0,68.0,63.0,62.0,68.0,83.0,90.0,545.0,2.0,35.33109426498413,3196.0,1.0,3.3619284629821777
10.78,10.975609864507403,30.69698143005371,1.1141116156109743,31.812997817993164,0.5694437623023987,-1.0,-1.0,-1.0,1.652440871511187,-1.0,2.8742410114833286,6.170375347137451,545159808.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10426138.531110492,294.0139465332031,604888.625,18935553.211495537,24427084.07142857,741263268.5714285,-1.0,-1.0,-1.0,69119645.71428572,7932574.5,917762.0625,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2381.0,13656145760.0,1920.0,4.0,66.0,68.0,63.0,62.0,68.0,83.0,90.0,545.0,2.0,35.33109426498413,3196.0,1.0,3.3619284629821777
10.79,10.975609864507403,30.69698143005371,1.1141116156109743,31.812997817993164,0.5694437623023987,-1.0,-1.0,-1.0,1.652440871511187,-1.0,2.8742410114833286,6.170375347137451,545159808.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10426138.531110492,294.0139465332031,604888.625,18935553.211495537,24427084.07142857,741263268.5714285,-1.0,-1.0,-1.0,69119645.71428572,7932574.5,917762.0625,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2381.0,13683526919.0,1920.0,4.0,66.0,68.0,63.0,62.0,68.0,83.0,90.0,545.0,2.0,35.33109426498413,3196.0,1.0,3.3619284629821777
10.8,10.975609864507403,30.69698143005371,1.1141116156109743,31.812997817993164,0.5694437623023987,-1.0,-1.0,-1.0,1.652440871511187,-1.0,2.8742410114833286,6.170375347137451,545159808.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10426138.531110492,294.0139465332031,604888.625,18935553.211495537,24427084.07142857,741263268.5714285,-1.0,-1.0,-1.0,69119645.71428572,7932574.5,917762.0625,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2381.0,13022388218.0,1920.0,4.0,66.0,68.0,63.0,62.0,68.0,83.0,90.0,545.0,2.0,35.33109426498413,3196.0,1.0,3.3619284629821777
10.81,10.975609864507403,30.69698143005371,1.1141116156109743,31.812997817993164,0.5694437623023987,-1.0,-1.0,-1.0,1.652440871511187,-1.0,2.8742410114833286,6.170375347137451,545159808.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10426138.531110492,294.0139465332031,604888.625,18935553.211495537,24427084.07142857,741263268.5714285,-1.0,-1.0,-1.0,69119645.71428572,7932574.5,917762.0625,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2381.0,13057040485.0,1920.0,4.0,66.0,68.0,63.0,62.0,68.0,83.0,90.0,545.0,2.0,35.33109426498413,3196.0,1.0,3.3619284629821777
10.82,10.975609864507403,30.69698143005371,1.1141116156109743,31.812997817993164,0.5694437623023987,-1.0,-1.0,-1.0,1.652440871511187,-1.0,2.8742410114833286,6.170375347137451,545159808.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10426138.531110492,294.0139465332031,604888.625,18935553.211495537,24427084.07142857,741263268.5714285,-1.0,-1.0,-1.0,69119645.71428572,7932574.5,917762.0625,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2381.0,15259671823.0,1920.0,4.0,66.0,68.0,63.0,62.0,68.0,83.0,90.0,545.0,2.0,35.33109426498413,3196.0,1.0,3.3619284629821777
10.83,10.975609864507403,30.69698143005371,1.1141116156109743,31.812997817993164,0.5694437623023987,-1.0,-1.0,-1.0,1.652440871511187,-1.0,2.8742410114833286,6.170375347137451,545159808.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10426138.531110492,294.0139465332031,604888.625,18935553.211495537,24427084.07142857,741263268.5714285,-1.0,-1.0,-1.0,69119645.71428572,7932574.5,917762.0625,0.3528106212615967,467.0,58.0,11756.0,2.0,32.25125503540039,2381.0,13671261921.0,1920.0,4.0,72.0,71.0,71.0,76.0,69.0,81.0,90.0,545.0,2.0,36.87801957130432,3196.0,1.0,3.3735575675964355
10.84,10.975609864507403,30.69698143005371,1.1141116156109743,31.812997817993164,0.5694437623023987,-1.0,-1.0,-1.0,1.652440871511187,-1.0,2.8742410114833286,6.170375347137451,545159808.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10426138.531110492,294.0139465332031,604888.625,18935553.211495537,24427084.07142857,741263268.5714285,-1.0,-1.0,-1.0,69119645.71428572,7932574.5,917762.0625,0.3528106212615967,467.0,58.0,11756.0,2.0,32.25125503540039,2381.0,13392066663.0,1920.0,4.0,72.0,71.0,71.0,76.0,69.0,81.0,90.0,545.0,2.0,36.87801957130432,3196.0,1.0,3.3735575675964355
10.86,10.975609864507403,30.69698143005371,1.1141116156109743,31.812997817993164,0.5694437623023987,-1.0,-1.0,-1.0,1.652440871511187,-1.0,2.8742410114833286,6.170375347137451,545159808.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10426138.531110492,294.0139465332031,604888.625,18935553.211495537,24427084.07142857,741263268.5714285,-1.0,-1.0,-1.0,69119645.71428572,7932574.5,917762.0625,0.3528106212615967,467.0,58.0,11756.0,2.0,32.25125503540039,2381.0,13773446299.0,1920.0,4.0,72.0,71.0,71.0,76.0,69.0,81.0,90.0,545.0,2.0,36.87801957130432,3196.0,1.0,3.3735575675964355
