Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.59,68.40331268310547,31.553586959838867,0.7539498805999756,0.38127514254301786,21.494346618652344,18.253959496815998,15.822450717290243,0.0015036241966299502,19.54708671569824,32.550472259521484,19.37411363919576,5.780167604486148,96.61965942382812,3.380338430404663,0.3055802881717682,22.46574052174886,58.29439798990885,120.62952168782552,0.6054684023062388,0.06547921895980835,2.2617303232351937,10.264781951904297,544987925.3333334,1.0418883164723713,1.2901268303394318,23011811894.666668,28789751808.0,2088800469.3333333,158984093696.0,1401482112.0,54.87260230382284,545000000.0,0.042226945360501596,4186805.6080729165,33.6205088297526,295444594.6666667,6042705.483723958,1145211.25,208012842.66666666,1.5761932134628296,0.1827988624572754,916298816.0,24522128.953125,6351996.5,386476373.2161458,2523.318359375,139.0,2.0,6678.0,1.0,31.889575958251957,3068.0,6594941806.0,1920.0,4.0,85.0,83.0,83.0,77.0,73.0,79.0,90.0,545.0,2.0,32.65098035335541,3196.0,2.0,6.0,3.1131951808929443
7.6,68.48578643798828,31.51421356201172,0.7539498805999756,0.38127514254301786,21.494346618652344,18.253959496815998,15.822450717290243,0.0015036241966299502,18.980121612548828,31.74736595153809,19.37411363919576,5.780167604486148,96.5849151611328,3.415086507797241,0.3018554747104645,22.46574052174886,58.29439798990885,120.62952168782552,0.6054684023062388,0.06547921895980835,2.2617303232351937,10.782177925109863,544987925.3333334,1.0418883164723713,1.2901268303394318,23011811894.666668,28789751808.0,2088800469.3333333,157794680832.0,1387120640.0,54.87260230382284,545000000.0,0.042226945360501596,4186805.6080729165,33.6205088297526,295444594.6666667,6042705.483723958,1145211.25,208012842.66666666,1.5818305015563965,0.1827988624572754,917546688.0,24522128.953125,6366217.0,386476373.2161458,2523.318359375,139.0,2.0,6678.0,1.0,31.889575958251957,3068.0,5831236633.0,1920.0,4.0,85.0,83.0,83.0,77.0,73.0,79.0,90.0,545.0,2.0,32.65098035335541,3196.0,2.0,6.0,3.1131951808929443
7.61,68.48578643798828,31.51421356201172,0.7539498805999756,0.38127514254301786,21.494346618652344,18.253959496815998,15.822450717290243,0.0015036241966299502,18.980121612548828,31.74736595153809,19.37411363919576,5.780167604486148,96.5849151611328,3.415086507797241,0.3018554747104645,22.46574052174886,58.29439798990885,120.62952168782552,0.6054684023062388,0.06547921895980835,2.2617303232351937,10.782177925109863,544987925.3333334,1.0418883164723713,1.2901268303394318,23011811894.666668,28789751808.0,2088800469.3333333,157794680832.0,1387120640.0,54.87260230382284,545000000.0,0.042226945360501596,4186805.6080729165,33.6205088297526,295444594.6666667,6042705.483723958,1145211.25,208012842.66666666,1.5818305015563965,0.1827988624572754,917546688.0,24522128.953125,6366217.0,386476373.2161458,2523.318359375,139.0,2.0,6678.0,1.0,31.889575958251957,3068.0,6623886603.0,1920.0,4.0,85.0,83.0,83.0,77.0,73.0,79.0,90.0,545.0,2.0,32.65098035335541,3196.0,2.0,6.0,3.1131951808929443
7.62,68.48578643798828,31.51421356201172,0.7539498805999756,0.38127514254301786,21.494346618652344,18.253959496815998,15.822450717290243,0.0015036241966299502,18.980121612548828,31.74736595153809,19.37411363919576,5.780167604486148,96.5849151611328,3.415086507797241,0.3018554747104645,22.46574052174886,58.29439798990885,120.62952168782552,0.6054684023062388,0.06547921895980835,2.2617303232351937,10.782177925109863,544987925.3333334,1.0418883164723713,1.2901268303394318,23011811894.666668,28789751808.0,2088800469.3333333,157794680832.0,1387120640.0,54.87260230382284,545000000.0,0.042226945360501596,4186805.6080729165,33.6205088297526,295444594.6666667,6042705.483723958,1145211.25,208012842.66666666,1.5818305015563965,0.1827988624572754,917546688.0,24522128.953125,6366217.0,386476373.2161458,2523.318359375,139.0,2.0,6678.0,1.0,31.889575958251957,3068.0,6657421609.0,1920.0,4.0,85.0,83.0,83.0,77.0,73.0,79.0,90.0,545.0,2.0,32.65098035335541,3196.0,2.0,6.0,3.1131951808929443
7.64,68.48578643798828,31.51421356201172,0.7539498805999756,0.38127514254301786,21.494346618652344,18.253959496815998,15.822450717290243,0.0015036241966299502,18.980121612548828,31.74736595153809,19.37411363919576,5.780167604486148,96.5849151611328,3.415086507797241,0.3018554747104645,22.46574052174886,58.29439798990885,120.62952168782552,0.6054684023062388,0.06547921895980835,2.2617303232351937,10.782177925109863,544987925.3333334,1.0418883164723713,1.2901268303394318,23011811894.666668,28789751808.0,2088800469.3333333,157794680832.0,1387120640.0,54.87260230382284,545000000.0,0.042226945360501596,4186805.6080729165,33.6205088297526,295444594.6666667,6042705.483723958,1145211.25,208012842.66666666,1.5818305015563965,0.1827988624572754,917546688.0,24522128.953125,6366217.0,386476373.2161458,2523.318359375,139.0,2.0,6678.0,1.0,31.889575958251957,3068.0,5984636298.0,1920.0,4.0,85.0,83.0,83.0,77.0,73.0,79.0,90.0,545.0,2.0,32.65098035335541,3196.0,2.0,6.0,3.1131951808929443
7.65,68.48578643798828,31.51421356201172,0.7539498805999756,0.38127514254301786,21.494346618652344,18.253959496815998,15.822450717290243,0.0015036241966299502,18.980121612548828,31.74736595153809,19.37411363919576,5.780167604486148,96.5849151611328,3.415086507797241,0.3018554747104645,22.46574052174886,58.29439798990885,120.62952168782552,0.6054684023062388,0.06547921895980835,2.2617303232351937,10.782177925109863,544987925.3333334,1.0418883164723713,1.2901268303394318,23011811894.666668,28789751808.0,2088800469.3333333,157794680832.0,1387120640.0,54.87260230382284,545000000.0,0.042226945360501596,4186805.6080729165,33.6205088297526,295444594.6666667,6042705.483723958,1145211.25,208012842.66666666,1.5818305015563965,0.1827988624572754,917546688.0,24522128.953125,6366217.0,386476373.2161458,2523.318359375,139.0,2.0,6678.0,1.0,31.889575958251957,3068.0,6004805276.0,1920.0,4.0,85.0,83.0,83.0,77.0,73.0,79.0,90.0,545.0,2.0,32.65098035335541,3196.0,2.0,6.0,3.1131951808929443
7.66,68.48578643798828,31.51421356201172,0.7539498805999756,0.38127514254301786,21.494346618652344,18.253959496815998,15.822450717290243,0.0015036241966299502,18.980121612548828,31.74736595153809,19.37411363919576,5.780167604486148,96.5849151611328,3.415086507797241,0.3018554747104645,22.46574052174886,58.29439798990885,120.62952168782552,0.6054684023062388,0.06547921895980835,2.2617303232351937,10.782177925109863,544987925.3333334,1.0418883164723713,1.2901268303394318,23011811894.666668,28789751808.0,2088800469.3333333,157794680832.0,1387120640.0,54.87260230382284,545000000.0,0.042226945360501596,4186805.6080729165,33.6205088297526,295444594.6666667,6042705.483723958,1145211.25,208012842.66666666,1.5818305015563965,0.1827988624572754,917546688.0,24522128.953125,6366217.0,386476373.2161458,2523.318359375,139.0,2.0,6678.0,1.0,31.889575958251957,3068.0,6027595147.0,1920.0,4.0,85.0,83.0,83.0,77.0,73.0,79.0,90.0,545.0,2.0,32.65098035335541,3196.0,2.0,6.0,3.1131951808929443
7.69,68.48578643798828,31.51421356201172,0.7539498805999756,0.38127514254301786,21.494346618652344,18.253959496815998,15.822450717290243,0.0015036241966299502,18.980121612548828,31.74736595153809,19.37411363919576,5.780167604486148,96.5849151611328,3.415086507797241,0.3018554747104645,22.46574052174886,58.29439798990885,120.62952168782552,0.6054684023062388,0.06547921895980835,2.2617303232351937,10.782177925109863,544987925.3333334,1.0418883164723713,1.2901268303394318,23011811894.666668,28789751808.0,2088800469.3333333,157794680832.0,1387120640.0,54.87260230382284,545000000.0,0.042226945360501596,4186805.6080729165,33.6205088297526,295444594.6666667,6042705.483723958,1145211.25,208012842.66666666,1.5818305015563965,0.1827988624572754,917546688.0,24522128.953125,6366217.0,386476373.2161458,2523.318359375,139.0,2.0,6678.0,1.0,31.889575958251957,3068.0,6718857363.0,1920.0,4.0,85.0,83.0,83.0,77.0,73.0,79.0,90.0,545.0,2.0,32.65098035335541,3196.0,2.0,6.0,3.1131951808929443
7.7,68.48585510253906,31.514142990112305,0.7539498805999756,0.38127514254301786,21.494346618652344,18.253959496815998,15.822450717290243,0.0015036241966299502,19.603515625,31.77364158630371,19.37411363919576,5.780167604486148,96.58040618896484,3.419595003128052,0.290923148393631,22.46574052174886,58.29439798990885,120.62952168782552,0.6054684023062388,0.06547921895980835,2.2617303232351937,7.9570231437683105,544987925.3333334,1.0418883164723713,1.2901268303394318,23011811894.666668,28789751808.0,2088800469.3333333,157771907072.0,1386919808.0,54.87260230382284,545000000.0,0.042226945360501596,4186805.6080729165,33.6205088297526,295444594.6666667,6042705.483723958,1145211.25,208012842.66666666,1.5818339586257937,0.1827988624572754,917413824.0,24522128.953125,6360762.0,386476373.2161458,2523.318359375,139.0,2.0,6678.0,1.0,31.889575958251957,3068.0,6741662296.0,1920.0,4.0,85.0,83.0,83.0,77.0,73.0,79.0,90.0,545.0,2.0,32.65098035335541,3196.0,2.0,6.0,3.1131951808929443
7.71,68.48585510253906,31.514142990112305,0.7539498805999756,0.38127514254301786,21.494346618652344,18.253959496815998,15.822450717290243,0.0015036241966299502,19.603515625,31.77364158630371,19.37411363919576,5.780167604486148,96.58040618896484,3.419595003128052,0.290923148393631,22.46574052174886,58.29439798990885,120.62952168782552,0.6054684023062388,0.06547921895980835,2.2617303232351937,7.9570231437683105,544987925.3333334,1.0418883164723713,1.2901268303394318,23011811894.666668,28789751808.0,2088800469.3333333,157771907072.0,1386919808.0,54.87260230382284,545000000.0,0.042226945360501596,4186805.6080729165,33.6205088297526,295444594.6666667,6042705.483723958,1145211.25,208012842.66666666,1.5818339586257937,0.1827988624572754,917413824.0,24522128.953125,6360762.0,386476373.2161458,2523.318359375,139.0,2.0,6678.0,1.0,31.889575958251957,3068.0,6766655248.0,1920.0,4.0,85.0,83.0,83.0,77.0,73.0,79.0,90.0,545.0,2.0,32.65098035335541,3196.0,2.0,6.0,3.1131951808929443
7.72,68.48585510253906,31.514142990112305,0.7539498805999756,0.38127514254301786,21.494346618652344,18.253959496815998,15.822450717290243,0.0015036241966299502,19.603515625,31.77364158630371,19.37411363919576,5.780167604486148,96.58040618896484,3.419595003128052,0.290923148393631,22.46574052174886,58.29439798990885,120.62952168782552,0.6054684023062388,0.06547921895980835,2.2617303232351937,7.9570231437683105,544987925.3333334,1.0418883164723713,1.2901268303394318,23011811894.666668,28789751808.0,2088800469.3333333,157771907072.0,1386919808.0,54.87260230382284,545000000.0,0.042226945360501596,4186805.6080729165,33.6205088297526,295444594.6666667,6042705.483723958,1145211.25,208012842.66666666,1.5818339586257937,0.1827988624572754,917413824.0,24522128.953125,6360762.0,386476373.2161458,2523.318359375,139.0,2.0,6678.0,1.0,31.889575958251957,3068.0,6793088898.0,1920.0,4.0,85.0,83.0,83.0,77.0,73.0,79.0,90.0,545.0,2.0,32.65098035335541,3196.0,2.0,6.0,3.1131951808929443
7.73,68.48585510253906,31.514142990112305,0.7539498805999756,0.38127514254301786,21.494346618652344,18.253959496815998,15.822450717290243,0.0015036241966299502,19.603515625,31.77364158630371,19.37411363919576,5.780167604486148,96.58040618896484,3.419595003128052,0.290923148393631,22.46574052174886,58.29439798990885,120.62952168782552,0.6054684023062388,0.06547921895980835,2.2617303232351937,7.9570231437683105,544987925.3333334,1.0418883164723713,1.2901268303394318,23011811894.666668,28789751808.0,2088800469.3333333,157771907072.0,1386919808.0,54.87260230382284,545000000.0,0.042226945360501596,4186805.6080729165,33.6205088297526,295444594.6666667,6042705.483723958,1145211.25,208012842.66666666,1.5818339586257937,0.1827988624572754,917413824.0,24522128.953125,6360762.0,386476373.2161458,2523.318359375,139.0,2.0,6678.0,1.0,31.889575958251957,3068.0,6459049992.5,1920.0,4.0,85.0,83.0,83.0,77.0,73.0,79.0,90.0,545.0,2.0,32.65098035335541,3196.0,2.0,6.0,3.1131951808929443
7.74,68.48585510253906,31.514142990112305,0.7539498805999756,0.38127514254301786,21.494346618652344,18.253959496815998,15.822450717290243,0.0015036241966299502,19.603515625,31.77364158630371,19.37411363919576,5.780167604486148,96.58040618896484,3.419595003128052,0.290923148393631,22.46574052174886,58.29439798990885,120.62952168782552,0.6054684023062388,0.06547921895980835,2.2617303232351937,7.9570231437683105,544987925.3333334,1.0418883164723713,1.2901268303394318,23011811894.666668,28789751808.0,2088800469.3333333,157771907072.0,1386919808.0,54.87260230382284,545000000.0,0.042226945360501596,4186805.6080729165,33.6205088297526,295444594.6666667,6042705.483723958,1145211.25,208012842.66666666,1.5818339586257937,0.1827988624572754,917413824.0,24522128.953125,6360762.0,386476373.2161458,2523.318359375,139.0,2.0,6678.0,1.0,31.889575958251957,3068.0,6114438917.0,1920.0,4.0,85.0,83.0,83.0,77.0,73.0,79.0,90.0,545.0,2.0,32.65098035335541,3196.0,2.0,6.0,3.1131951808929443
7.75,68.48585510253906,31.514142990112305,0.7539498805999756,0.38127514254301786,21.494346618652344,18.253959496815998,15.822450717290243,0.0015036241966299502,19.603515625,31.77364158630371,19.37411363919576,5.780167604486148,96.58040618896484,3.419595003128052,0.290923148393631,22.46574052174886,58.29439798990885,120.62952168782552,0.6054684023062388,0.06547921895980835,2.2617303232351937,7.9570231437683105,544987925.3333334,1.0418883164723713,1.2901268303394318,23011811894.666668,28789751808.0,2088800469.3333333,157771907072.0,1386919808.0,54.87260230382284,545000000.0,0.042226945360501596,4186805.6080729165,33.6205088297526,295444594.6666667,6042705.483723958,1145211.25,208012842.66666666,1.5818339586257937,0.1827988624572754,917413824.0,24522128.953125,6360762.0,386476373.2161458,2523.318359375,139.0,2.0,6678.0,1.0,31.889575958251957,3068.0,6354585847.0,1920.0,4.0,85.0,83.0,83.0,77.0,73.0,79.0,90.0,545.0,2.0,32.65098035335541,3196.0,2.0,6.0,3.1131951808929443
7.76,68.48585510253906,31.514142990112305,0.7539498805999756,0.38127514254301786,21.494346618652344,18.253959496815998,15.822450717290243,0.0015036241966299502,19.603515625,31.77364158630371,19.37411363919576,5.780167604486148,96.58040618896484,3.419595003128052,0.290923148393631,22.46574052174886,58.29439798990885,120.62952168782552,0.6054684023062388,0.06547921895980835,2.2617303232351937,7.9570231437683105,544987925.3333334,1.0418883164723713,1.2901268303394318,23011811894.666668,28789751808.0,2088800469.3333333,157771907072.0,1386919808.0,54.87260230382284,545000000.0,0.042226945360501596,4186805.6080729165,33.6205088297526,295444594.6666667,6042705.483723958,1145211.25,208012842.66666666,1.5818339586257937,0.1827988624572754,917413824.0,24522128.953125,6360762.0,386476373.2161458,2523.318359375,139.0,2.0,6678.0,1.0,31.889575958251957,3068.0,6134408593.0,1920.0,4.0,85.0,83.0,83.0,77.0,73.0,79.0,90.0,545.0,2.0,32.65098035335541,3196.0,2.0,6.0,3.1131951808929443
