time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
12.004,,4959000,935000,1924000,1189000,3951000,5634000,20000,35000,7000,284000,68000,70000,2610000,3792000,6402000,25000000,125.6,122.9,93.38,118.85,124.7,122.45,116.9366,125.375,122
12.203,,4959000,1032000,1900000,711000,102000,5814000,30000,11000,7000,284000,68000,70000,2593000,3485000,6078000,25000000,125.6,122.9,93.38,118.85,124.7,122.45,116.9366,125.375,122
12.404,,4901000,1199000,1520000,867000,102000,5814000,20000,14000,7000,233000,70000,70000,2594000,4091000,6685000,25000000,125.6,122.9,93.38,118.85,124.7,122.45,116.9366,125.375,122
12.605,,4901000,1008000,1971000,1233000,395000,5814000,20000,11000,11000,233000,72000,70000,2529000,3349000,5878000,25000000,125.6,122.9,93.38,118.85,124.7,122.45,116.9366,125.375,122
12.804,,4901000,1076000,1496000,1134000,102000,5630000,30000,11000,11000,233000,68000,70000,2572000,3925000,6497000,25000000,125.6,122.45,93.38,118.85,124.8116,122.45,116.9366,125.375,121.8866
13.004,,5042000,928000,1473000,1134000,102000,5630000,20000,11000,7000,224000,68000,70000,2450000,4032000,6482000,25000000,125.6,122.9,93.38,118.85,124.8116,122.45,116.9366,125.375,121.8866
13.204,,5042000,1048000,1496000,717000,102000,5853000,30000,14000,11000,224000,68000,70000,2590000,5047000,7637000,25000000,125.6,122.9,93.38,118.85,124.8116,122.45,116.9366,125.375,121.8866
13.404,,5042000,1036000,1710000,737000,102000,5853000,30000,16000,11000,224000,74000,70000,2558000,4563000,7121000,25000000,125.6,122.9,93.38,118.85,124.8116,122.45,116.9366,125.375,121.8866
13.603,,4846000,1056000,1449000,726000,102000,5853000,20000,11000,7000,253000,68000,70000,2504000,4224000,6728000,25000000,125.6,122.45,93.38,118.85,124.8116,122.45,116.9366,125.375,121.8866
13.803,,4846000,874000,2043000,1471000,104000,5856000,20000,670000,36000,253000,86000,70000,2522000,4848000,7370000,25000000,125.6,122.9,93.38,118.85,124.8116,122.45,116.9366,125.375,121.8866
14.003,,4846000,1048000,1663000,1734000,102000,5856000,20000,81000,11000,235000,72000,70000,2557000,3912000,6469000,25000000,125.6,122.9,93.38,118.85,124.8116,122.45,116.9366,125.375,121.8866
14.203,,5036000,874000,1615000,1189000,104000,5856000,10000,35000,11000,235000,68000,70000,2575000,8170000,10745000,25000000,125.6,122.9,93.38,118.85,124.8116,122.45,116.9366,125.375,121.8866
14.404,,5036000,970000,1330000,1713000,102000,5612000,20000,81000,11000,235000,74000,70000,2512000,4207000,6719000,25000000,125.6,122.9,93.38,118.85,124.8116,122.45,116.9366,125.375,121.8866
14.604,,5036000,1420000,1171000,2247000,101000,5612000,10000,81000,7000,253000,79000,70000,2414000,3787000,6201000,25000000,125.6,122.45,93.38,118.85,124.8116,122.45,116.9366,125.375,121.8866
14.804,,4822000,839000,1710000,1580000,105000,5612000,10000,35000,7000,253000,77000,70000,2425000,7888000,10313000,25000000,125.6,122.9,93.38,118.85,124.8116,122.45,116.9366,125.375,121.8866
15.004,,4822000,1036000,1339000,749000,103000,5636000,20000,35000,11000,253000,68000,70000,2517000,4263000,6780000,25000000,125.6,122.45,93.38,118.85,124.8116,122.45,116.9366,125.375,121.8866
15.204,,4743000,880000,1378000,1209000,3413000,5636000,10000,35000,7000,251000,74000,70000,2368000,8593000,10961000,25000000,125.6,122.45,93.38,118.85,124.8116,122.45,116.9366,125.375,121.8866
15.404,,4743000,914000,2161000,1331000,3474000,5636000,20000,11000,11000,251000,74000,70000,2579000,9926000,12505000,25000000,125.6,122.45,93.38,118.85,124.8116,122.45,116.9366,125.375,121.8866
15.603,,4743000,914000,1758000,1220000,3555000,5274000,20000,11000,11000,251000,74000,70000,2627000,9260000,11887000,25000000,125.6,122.9,93.38,118.85,124.8116,122.45,116.9366,125.375,121.8866
15.803,,4694000,853000,1710000,1180000,3494000,5274000,30000,14000,11000,217000,74000,70000,2620000,9988000,12608000,25000000,125.6,122.9,93.38,118.7366,124.8116,122.45,116.9366,125.375,121.8866
16.003,,4694000,819000,1330000,1250000,105000,5274000,10000,35000,11000,217000,74000,70000,2585000,6758000,9343000,25000000,125.6,122.9,93.38,118.7366,124.8116,122.45,116.9366,125.375,121.8866
16.203,,4694000,1036000,1758000,1008000,3535000,5484000,10000,35000,11000,217000,74000,70000,2548000,7339000,9887000,25000000,125.6,122.9,93.38,118.7366,124.8116,122.45,116.9366,125.375,121.8866
16.404,,4502000,1076000,2114000,1760000,5977000,5484000,20000,35000,11000,215000,74000,70000,2557000,7797000,10354000,25000000,125.6,122.9,93.38,118.7366,124.8116,122.45,116.9366,125.375,121.8866
16.603,,4502000,1239000,1663000,1874000,4112000,5484000,20000,81000,7000,215000,77000,70000,2506000,6588000,9094000,25000000,125.6,122.9,93.38,118.7366,124.8116,122.45,116.9366,125.375,121.8866
16.804,,4502000,874000,2209000,1670000,102000,5265000,10000,35000,11000,215000,68000,70000,2500000,4737000,7237000,25000000,125.6,122.9,93.38,118.7366,124.8116,122.45,116.9366,125.2616,121.8866
17.004,,4779000,839000,1449000,1955000,1564000,5265000,20000,35000,4000,229000,74000,70000,2527000,9498000,12025000,25000000,125.6,122.9,93.38,118.7366,124.8116,122.45,116.9366,125.2616,121.8866
17.204,,4779000,1250000,2161000,1593000,5977000,5265000,10000,35000,11000,229000,74000,70000,2346000,6606000,8952000,25000000,125.6,122.9,93.38,118.7366,124.8116,122.45,116.9366,125.2616,121.8866
17.404,,4779000,1016000,1473000,1670000,5785000,5904000,10000,35000,11000,229000,74000,70000,2348000,7541000,9889000,25000000,125.6,122.9,93.38,118.7366,124.8116,122.45,116.9366,125.2616,121.8866
17.603,,5228000,955000,1805000,2676000,2362000,5904000,10000,35000,4000,234000,74000,70000,2444000,5469000,7913000,25000000,125.6,122.45,93.38,118.7366,124.8116,122.45,116.9366,125.2616,121.8866
17.804,,5228000,874000,2043000,1884000,104000,6017000,20000,35000,11000,234000,74000,70000,2484000,5948000,8432000,25000000,125.6,122.45,93.38,118.85,124.8116,122.45,116.9366,125.2616,121.8866
18.004,,5228000,921000,1544000,1648000,102000,6017000,30000,14000,11000,234000,70000,70000,2590000,3725000,6315000,25000000,125.6,122.45,93.38,118.85,124.8116,122.45,116.9366,125.2616,121.8866
18.203,,5121000,874000,2043000,1456000,104000,6017000,30000,11000,11000,329000,74000,68000,2278000,4806000,7084000,25000000,125.6,122.9,93.38,118.85,124.8116,122.45,116.9366,125.2616,121.8866
18.404,,5121000,1016000,1758000,1129000,104000,6128000,20000,14000,11000,329000,74000,70000,2412000,6502000,8914000,25000000,125.6,122.9,93.38,118.85,124.8116,122.45,116.9366,125.2616,121.8866
18.605,,5121000,1097000,1339000,1935000,6047000,6128000,30000,11000,11000,329000,74000,68000,2347000,5035000,7382000,25000000,125.6,122.45,93.38,118.85,124.8116,122.45,116.9366,125.2616,121.8866
18.805,,5209000,975000,1568000,1250000,2803000,6128000,20000,11000,7000,277000,70000,70000,2380000,5948000,8328000,25000000,125.6,122.45,93.38,118.7366,124.8116,122.45,116.9366,125.375,121.8866
19.004,,5209000,1169000,1339000,1270000,2380000,6116000,20000,11000,7000,277000,77000,70000,2416000,3815000,6231000,25000000,125.6,122.9,93.38,118.7366,124.8116,122.45,116.9366,125.375,121.8866
19.204,,5344000,914000,2209000,887000,2620000,6116000,20000,14000,11000,277000,74000,70000,2436000,10015000,12451000,25000000,125.6,122.9,93.38,118.7366,124.8116,122.45,116.9366,125.375,121.8866
19.404,,5344000,1056000,1686000,2231000,1719000,6116000,168000,686000,58000,215000,79000,70000,2665000,5025000,7690000,25000000,125.6,122.9,93.38,118.7366,124.8116,122.45,116.9366,125.375,121.8866
19.603,,5344000,1056000,1520000,1541000,482000,6231000,20000,35000,11000,215000,74000,70000,2624000,6591000,9215000,25000000,125.6,122.9,93.38,118.7366,124.8116,122.45,116.9366,125.375,121.8866
19.804,,5444000,1250000,2280000,1134000,4611000,6231000,10000,35000,11000,283000,74000,70000,2621000,7258000,9879000,25000000,125.6,122.9,93.38,118.7366,124.925,122.5616,116.9366,125.2616,121.8866
20.004,,5444000,1239000,1520000,1573000,2825000,6231000,20000,35000,11000,283000,74000,70000,2852000,7046000,9898000,25000000,125.6,123.35,93.38,118.7366,124.925,122.5616,116.9366,125.2616,121.8866
20.204,,5444000,914000,1378000,1242000,105000,6221000,20000,11000,11000,283000,74000,70000,2825000,4195000,7020000,25000000,125.6,123.35,93.38,118.7366,124.925,122.5616,116.9366,125.2616,121.8866
20.404,,5399000,1361000,1639000,1028000,105000,6221000,20000,11000,11000,243000,74000,70000,2839000,8427000,11266000,25000000,125.6,123.35,93.38,118.7366,124.925,122.5616,116.9366,125.2616,121.8866
20.604,,5399000,1056000,2209000,942000,105000,6221000,30000,14000,11000,243000,74000,70000,2740000,4470000,7210000,25000000,125.6,123.8,93.38,118.7366,124.925,122.5616,116.9366,125.2616,121.8866
20.804,,5399000,975000,1473000,1328000,1013000,6220000,20000,14000,11000,243000,74000,72000,2763000,8900000,11663000,25000000,125.6,123.8,93.38,118.85,125.0366,122.7866,116.9366,125.4866,122.1116
21.005,,5438000,1016000,1449000,1413000,649000,6220000,20000,14000,11000,218000,74000,70000,2768000,3605000,6373000,25000000,125.6,123.8,93.38,118.85,125.0366,122.7866,116.9366,125.4866,122.1116
21.203,,5438000,1158000,1686000,1156000,3128000,6220000,20000,14000,11000,218000,74000,70000,2708000,6868000,9576000,25000000,125.6,124.25,93.38,118.85,125.0366,122.7866,116.9366,125.4866,122.1116
21.403,,5438000,1158000,2114000,877000,105000,6256000,30000,14000,11000,218000,74000,70000,2799000,8154000,10953000,25000000,125.6,124.25,93.38,118.85,125.0366,122.7866,116.9366,125.4866,122.1116
21.604,,5466000,1016000,1496000,772000,495000,6256000,20000,81000,4000,235000,92000,72000,2819000,3338000,6157000,25000000,125.6,124.25,93.38,118.85,125.0366,122.7866,116.9366,125.4866,122.1116
21.803,,5466000,914000,1496000,1178000,105000,6256000,10000,35000,11000,235000,74000,70000,2801000,7312000,10113000,25000000,125.6,124.7,93.56,118.85,125.2616,123.125,116.825,125.825,122.3366
22.003,,5466000,1036000,1362000,751000,105000,6077000,10000,35000,11000,235000,70000,70000,2870000,4650000,7520000,25000000,125.6,124.7,93.56,118.85,125.2616,123.125,116.825,125.825,122.3366
22.204,,5466000,1076000,1758000,1806000,105000,6077000,10000,35000,11000,271000,81000,70000,2770000,7578000,10348000,25000000,125.6,124.7,93.56,118.85,125.2616,123.125,116.825,125.825,122.3366
22.404,,5466000,1239000,1853000,1254000,2702000,6260000,10000,127000,11000,271000,74000,72000,2810000,9921000,12731000,25000000,127.4,124.7,93.56,118.85,125.2616,123.125,116.825,125.825,122.3366
22.603,,5466000,1199000,1544000,1178000,2972000,6260000,30000,14000,11000,271000,74000,72000,2851000,10917000,13768000,25000000,127.4,124.7,93.56,118.85,125.2616,123.125,116.825,125.825,122.3366
22.804,,5267000,1239000,1496000,1854000,105000,6260000,30000,11000,11000,251000,70000,70000,2807000,7827000,10634000,25000000,127.4,124.7,93.56,118.85,125.4866,123.35,116.9366,126.1616,122.5616
23.002,,5267000,935000,1306000,928000,4266000,6280000,30000,11000,11000,251000,74000,72000,2805000,9051000,11856000,25000000,127.4,124.7,93.56,118.85,125.4866,123.35,116.9366,126.1616,122.5616
23.203,,5267000,1016000,1568000,1935000,5525000,6280000,20000,14000,11000,251000,81000,72000,2701000,10119000,12820000,25000000,127.4,125.15,93.56,118.85,125.4866,123.35,116.9366,126.1616,122.5616
23.403,,5380000,1036000,1924000,1573000,5545000,6280000,30000,11000,11000,229000,68000,70000,2745000,9900000,12645000,25000000,127.4,125.15,93.56,118.85,125.4866,123.35,116.9366,126.1616,122.5616
23.604,,5380000,1036000,1496000,1541000,1018000,6274000,30000,14000,11000,229000,74000,70000,2737000,7354000,10091000,25000000,127.4,125.15,93.56,118.85,125.4866,123.35,116.9366,126.1616,122.5616
23.803,,5447000,1386000,2209000,1573000,5099000,6274000,20000,14000,11000,229000,74000,72000,2936000,9986000,12922000,25000000,127.4,125.15,93.56,118.9616,125.6,123.575,116.9366,126.3866,122.7866
24.003,,5447000,874000,1686000,1169000,5664000,6274000,30000,11000,11000,305000,74000,72000,2843000,9561000,12404000,25000000,127.4,125.15,93.56,118.9616,125.6,123.575,116.9366,126.3866,122.7866
24.203,,5447000,914000,1924000,1169000,5624000,6209000,20000,14000,11000,305000,74000,72000,2853000,10201000,13054000,25000000,127.4,125.15,93.56,118.9616,125.6,123.575,116.9366,126.3866,122.7866
24.404,,5456000,1016000,1971000,1834000,5624000,6209000,30000,11000,7000,305000,74000,72000,2832000,10428000,13260000,25000000,127.4,125.15,93.56,118.9616,125.6,123.575,116.9366,126.3866,122.7866
24.603,,5456000,853000,1568000,1713000,5667000,6209000,20000,11000,11000,229000,74000,72000,2876000,7518000,10394000,25000000,127.4,125.15,93.56,118.9616,125.6,123.575,116.9366,126.3866,122.7866
24.804,,5456000,914000,1378000,1209000,5644000,6218000,20000,11000,11000,229000,74000,72000,2825000,7215000,10040000,25000000,127.4,125.6,93.56,119.075,125.825,123.8,116.9366,126.725,123.0116
25.003,,5453000,975000,1496000,1126000,2883000,6218000,30000,11000,11000,220000,74000,72000,2743000,4835000,7578000,25000000,127.4,125.6,93.56,119.075,125.825,123.8,116.9366,126.725,123.0116
25.203,,5453000,1158000,1615000,1270000,5688000,6218000,20000,11000,7000,220000,74000,72000,2780000,7799000,10579000,25000000,127.4,125.6,93.56,119.075,125.825,123.8,116.9366,126.725,123.0116
25.403,,5453000,955000,2114000,1814000,5586000,6170000,20000,78000,11000,220000,74000,72000,2900000,7092000,9992000,25000000,127.4,126.05,93.56,119.075,125.825,123.8,116.9366,126.725,123.0116
25.603,,5283000,1036000,1829000,1673000,5525000,6170000,20000,11000,4000,237000,74000,72000,2947000,7199000,10146000,25000000,127.4,126.05,93.56,119.075,125.825,123.8,116.9366,126.725,123.0116
25.804,,5283000,955000,1354000,1552000,5667000,6170000,40000,8000,11000,237000,74000,72000,2929000,7898000,10827000,25000000,127.4,125.6,93.56,119.1866,126.05,124.025,116.825,126.8366,123.125
26.004,,5283000,1016000,1306000,1331000,5586000,6092000,30000,11000,11000,237000,74000,72000,2989000,10224000,13213000,25000000,127.4,125.6,93.56,119.1866,126.05,124.025,116.825,126.8366,123.125
