Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.16,0.6064493837101119,34.958586011614116,0.13420698685305457,7.51305092232568,6.328163146972656,0.3296120326433863,-1.0,75.95893968854632,172.6156747000558,0.6131605165345329,0.11294766409056525,3.8888796397617886,0.2898246305329459,544956690.2857143,-1.0,2.362585663795471,41408836315.42857,64086666678.85714,4200918477.428571,77653089133.71428,1404725101.7142856,51.37822563307626,545000000.0,0.1092723969902311,11097337.214285715,144.93418666294642,729638550.8571428,18722602.714285713,1874365.2767857143,549443589.7142857,-1.0,0.2370668734822954,1606369142.857143,62117371.428571425,10636852.42857143,881217962.7522322,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.17,0.21787204593420026,12.034445762634277,0.12286619842052458,3.2636375725269318,2.2385568618774414,0.04828823264688252,-1.0,32.66776943206787,69.56491661071777,0.2877541184425354,0.041370660066604614,1.5835478603839874,26.73233413696289,544946712.0,-1.0,1.2339912354946136,22412398432.0,25315233792.0,1767158272.0,36837175136.0,666656384.0,79.21744191646576,545000000.0,0.04121998511254786,4466392.0,43.143741607666016,631856292.0,9315503.25,707300.28125,550030004.0,-1.0,0.11805430054664612,693271552.0,31541489.0,5146688.75,360574382.0878906,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.18,0.6089728048869542,16.27480343409947,0.01633783828999314,11.725250244140625,10.68439429146903,0.26349298443113056,-1.0,74.5477055140904,159.7535618373326,0.4278804063796997,0.17242138300623214,3.2315613201686313,26.73233413696289,544981440.0,-1.0,3.290149348122733,62253668059.42857,90162446336.0,6175318016.0,113510208073.14285,1662933686.857143,68.91851588657924,545000000.0,0.12592271821839468,7810435.714285715,43.143741607666016,844508635.4285715,14671582.285714285,1566505.1785714286,723547227.4285715,-1.0,0.4761540804590498,1383825883.4285715,52973262.85714286,7706331.0,1159127354.560268,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.19,0.7723177770773569,24.47903569539388,0.0879313650851448,16.516772905985516,14.8213259379069,0.39889628688494366,-1.0,118.39474741617839,260.2217966715495,0.6770090758800507,0.23886692027250925,4.196675697962443,26.73233413696289,545031797.3333334,-1.0,5.3056535720825195,74157663573.33333,107654063445.33333,7327656021.333333,135312348501.33333,2205310421.3333335,50.49940427144369,545000000.0,0.18671767413616178,12668448.25,43.143741607666016,1057512277.3333334,24954138.833333332,2046944.375,884556800.0,-1.0,0.7713897228240967,2127747861.3333333,77079597.0,13064215.666666666,1411895151.0859375,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.2,0.4404044896364212,13.396359920501709,0.5198099203407764,6.6406567096710205,5.480038166046143,0.24379798024892807,-1.0,38.55569076538086,70.59066390991211,0.2669694721698761,0.10446130856871605,1.4259885549545288,26.73233413696289,544975904.0,-1.0,1.5542370080947876,33885324288.0,51881943040.0,3471732992.0,63298029568.0,950729088.0,81.78416228294373,545000000.0,0.08401453867554665,7483538.0,43.143741607666016,543298848.0,15296213.5,907405.71875,447628096.0,-1.0,0.16802801191806793,1286476864.0,46116872.0,8007182.5,564066513.9101562,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.21,0.11000447826726094,19.410266876220703,0.04472900565867476,7.365304674421038,8.615861892700195,0.2133533443723406,-1.0,78.50860595703125,147.7926973615374,0.30033221415110994,0.12301545838514964,1.7969627380371094,26.73233413696289,544997805.7142857,-1.0,3.0927398119653975,27046228999.42857,36381928886.85714,2576669110.857143,47813862992.57143,678464873.2946428,65.67390200069973,545000000.0,0.06719517069203511,5279450.535714285,43.143741607666016,341938613.3333333,6626441.821428572,782482.7916666666,299930261.3333333,-1.0,0.5821054152079991,629172534.8571428,17200374.666666668,4292840.232142857,674729020.7929688,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.22,12.773931605475289,19.59075709751674,0.07351098276142563,10.909836632864815,10.82114655630929,0.33035593373434885,-1.0,73.0248418535505,194.95432826450892,0.7791082177843366,0.15076875314116478,3.103408455848694,0.23215580731630325,544946486.8571428,-1.0,2.8347470419747487,68456352832.0,99044229120.0,6786967391.714286,124765436827.42857,1827683164.9285715,54.310319900512695,545000000.0,0.12606701467718398,11401751.995814731,86.52291488647461,881468480.0,22468112.33816964,2099731.625,694965808.0,-1.0,0.3534053223473685,1926465083.4285715,70899604.56347656,11772729.806919644,1145236940.5605469,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.23,0.5286980015890939,19.58635003226144,0.3279441503275718,11.597901208060128,10.63847814287458,0.23487008043697902,-1.0,68.13475690569196,134.9449680873326,0.4422076770237514,0.17233499033110483,2.5542640004839217,0.23215580731630325,545005586.2857143,-1.0,2.8358586175101146,61914349568.0,89562988544.0,6134388004.571428,112830232283.42857,1651299986.2857144,68.83500153677804,545000000.0,0.12551637632506232,10258792.57142857,86.52291488647461,852668050.2857143,20209061.14285714,1705199.0,717115501.7142857,-1.0,0.3535104649407523,1736203264.0,63032433.14285714,10587730.714285715,1151110464.154018,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.24,0.5286980015890939,19.58635003226144,0.3279441503275718,11.597901208060128,10.63847814287458,0.23487008043697902,-1.0,68.13475690569196,134.9449680873326,0.4422076770237514,0.17233499033110483,2.5542640004839217,0.23215580731630325,544999680.0,-1.0,2.8358586175101146,61914349568.0,89562988544.0,6134388004.571428,112830232283.42857,1651299986.2857144,100.0,545000000.0,0.12551637632506232,10258792.57142857,86.52291488647461,852668050.2857143,20209061.14285714,1705199.0,717115501.7142857,-1.0,0.3535104649407523,1736203264.0,63032433.14285714,10587730.714285715,157671.51822916666,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.25,0.5316637371267591,19.54297637939453,0.052993736096790846,11.2547972542899,10.748848778860909,0.2586814888886043,-1.0,68.13095310756138,136.19155883789062,0.4398289748600551,0.17019484724317277,2.5354807717459544,0.23215580731630325,544988443.4285715,-1.0,2.8356543949672153,57783479734.85714,83291361865.14285,5709311414.857142,105138468571.42857,1534981741.7142856,54.81417070116316,545000000.0,0.1268883751971381,9454504.714285715,86.52291488647461,789814200.2053572,18614929.714285713,1529296.0,664614912.0,-1.0,0.3533989872251238,1603126162.2857144,57997218.28571428,9757126.57142857,1074484439.0691965,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
