Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
15.07,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,25.008150100708008,33.37773513793945,98.21553802490234,1.7844600677490234,2.893277168273926,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6370750665664673,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,133990031360.0,693859200.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,642513600.0,155539885.33333334,1181457.25,2210809365.3333335,0.0913157314062118,269.0,63.0,7860.0,1.0,21.75054168701172,3521.0,19994575829.0,2361.0,4.0,68.0,66.0,64.0,51.0,83.0,76.0,90.0,456.0,2.0,29.843005537986755,0.7342010140419006,3196.0,72.0,2.615490674972534
15.09,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,25.008150100708008,33.37773513793945,98.21553802490234,1.7844600677490234,2.893277168273926,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6370750665664673,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,133990031360.0,693859200.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,642513600.0,155539885.33333334,1181457.25,2210809365.3333335,0.0913157314062118,269.0,63.0,7860.0,1.0,21.75054168701172,3521.0,20023255629.0,2361.0,4.0,68.0,66.0,64.0,51.0,83.0,76.0,90.0,456.0,2.0,29.843005537986755,0.7342010140419006,3196.0,72.0,2.615490674972534
15.1,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,25.008150100708008,33.37773513793945,98.21553802490234,1.7844600677490234,2.893277168273926,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6370750665664673,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,133990031360.0,693859200.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,642513600.0,155539885.33333334,1181457.25,2210809365.3333335,0.0913157314062118,269.0,63.0,7860.0,1.0,21.75054168701172,3521.0,20052250133.0,2361.0,4.0,68.0,66.0,64.0,51.0,83.0,76.0,90.0,456.0,2.0,29.843005537986755,0.7342010140419006,3196.0,72.0,2.615490674972534
15.11,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,25.008150100708008,33.37773513793945,98.21553802490234,1.7844600677490234,2.893277168273926,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6370750665664673,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,133990031360.0,693859200.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,642513600.0,155539885.33333334,1181457.25,2210809365.3333335,0.0913157314062118,269.0,63.0,7860.0,1.0,21.75054168701172,3521.0,20081420044.0,2361.0,4.0,68.0,66.0,64.0,51.0,83.0,76.0,90.0,456.0,2.0,29.843005537986755,0.7342010140419006,3196.0,72.0,2.615490674972534
15.12,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,25.008150100708008,33.37773513793945,98.21553802490234,1.7844600677490234,2.893277168273926,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6370750665664673,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,133990031360.0,693859200.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,642513600.0,155539885.33333334,1181457.25,2210809365.3333335,0.0913157314062118,269.0,63.0,7860.0,1.0,21.75054168701172,3521.0,20110695048.0,2361.0,4.0,68.0,66.0,64.0,51.0,83.0,76.0,90.0,456.0,2.0,29.843005537986755,0.7342010140419006,3196.0,72.0,2.615490674972534
15.14,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,25.00594711303711,33.387672424316406,98.22026824951172,1.77973473072052,2.8504631519317627,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6370750665664673,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,133969240064.0,693751552.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,642413952.0,155539885.33333334,1181273.875,2210809365.3333335,0.0913157314062118,269.0,63.0,7860.0,1.0,21.75054168701172,3521.0,20140002658.0,2361.0,4.0,68.0,66.0,64.0,51.0,83.0,76.0,90.0,456.0,2.0,29.843005537986755,0.7342010140419006,3196.0,72.0,2.615490674972534
15.15,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,25.00594711303711,33.387672424316406,98.22026824951172,1.77973473072052,2.8504631519317627,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6370750665664673,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,133969240064.0,693751552.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,642413952.0,155539885.33333334,1181273.875,2210809365.3333335,0.0913157314062118,269.0,63.0,7860.0,1.0,21.75054168701172,3521.0,20169365515.0,2361.0,4.0,68.0,66.0,64.0,51.0,83.0,76.0,90.0,456.0,2.0,29.843005537986755,0.7342010140419006,3196.0,72.0,2.615490674972534
15.16,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,25.00594711303711,33.387672424316406,98.22026824951172,1.77973473072052,2.8504631519317627,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6370750665664673,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,133969240064.0,693751552.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,642413952.0,155539885.33333334,1181273.875,2210809365.3333335,0.0913157314062118,269.0,63.0,7860.0,1.0,21.75054168701172,3521.0,20198741743.0,2361.0,4.0,68.0,66.0,64.0,51.0,83.0,76.0,90.0,456.0,2.0,29.843005537986755,0.7342010140419006,3196.0,72.0,2.615490674972534
15.17,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,25.00594711303711,33.387672424316406,98.22026824951172,1.77973473072052,2.8504631519317627,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6370750665664673,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,133969240064.0,693751552.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,642413952.0,155539885.33333334,1181273.875,2210809365.3333335,0.0913157314062118,269.0,63.0,7860.0,1.0,21.75054168701172,3521.0,20228130686.0,2361.0,4.0,68.0,66.0,64.0,51.0,83.0,76.0,90.0,456.0,2.0,29.843005537986755,0.7342010140419006,3196.0,72.0,2.615490674972534
15.19,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,25.00594711303711,33.387672424316406,98.22026824951172,1.77973473072052,2.8504631519317627,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6370750665664673,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,133969240064.0,693751552.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,642413952.0,155539885.33333334,1181273.875,2210809365.3333335,0.0913157314062118,102.0,2.0,6313.0,1.0,21.75054168701172,3521.0,20257555437.0,2361.0,4.0,68.0,66.0,64.0,51.0,83.0,76.0,90.0,456.0,2.0,29.843005537986755,0.7342010140419006,3196.0,72.0,2.615490674972534
15.2,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,25.00594711303711,33.387672424316406,98.22026824951172,1.77973473072052,2.8504631519317627,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6370750665664673,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,133969240064.0,693751552.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,642413952.0,155539885.33333334,1181273.875,2210809365.3333335,0.0913157314062118,102.0,2.0,6313.0,1.0,21.75054168701172,3521.0,20286942775.0,2361.0,4.0,68.0,66.0,64.0,51.0,83.0,76.0,90.0,456.0,2.0,29.843005537986755,0.7342010140419006,3196.0,72.0,2.615490674972534
15.21,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,25.00594711303711,33.387672424316406,98.22026824951172,1.77973473072052,2.8504631519317627,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6370750665664673,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,133969240064.0,693751552.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,642413952.0,155539885.33333334,1181273.875,2210809365.3333335,0.0913157314062118,102.0,2.0,6313.0,1.0,21.75054168701172,3521.0,20316365752.0,2361.0,4.0,68.0,66.0,64.0,51.0,83.0,76.0,90.0,456.0,2.0,29.843005537986755,0.7342010140419006,3196.0,72.0,2.615490674972534
15.22,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,25.00594711303711,33.387672424316406,98.22026824951172,1.77973473072052,2.8504631519317627,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6370750665664673,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,133969240064.0,693751552.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,642413952.0,155539885.33333334,1181273.875,2210809365.3333335,0.0913157314062118,102.0,2.0,6313.0,1.0,21.75054168701172,3521.0,20345775555.0,2361.0,4.0,68.0,66.0,64.0,51.0,83.0,76.0,90.0,456.0,2.0,29.843005537986755,0.7342010140419006,3196.0,72.0,2.615490674972534
15.24,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,24.869579315185547,34.1633415222168,98.22056579589844,1.7794313430786133,2.9143807888031006,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6370750665664673,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,133827371008.0,692283136.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,641733632.0,155539885.33333334,1179664.625,2210809365.3333335,0.0913157314062118,102.0,2.0,6313.0,1.0,21.75054168701172,3521.0,20375241843.0,2361.0,4.0,68.0,66.0,64.0,51.0,83.0,76.0,90.0,456.0,2.0,29.843005537986755,0.7342010140419006,3196.0,72.0,2.615490674972534
15.25,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,24.869579315185547,34.1633415222168,98.22056579589844,1.7794313430786133,2.9143807888031006,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6370750665664673,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,133827371008.0,692283136.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,641733632.0,155539885.33333334,1179664.625,2210809365.3333335,0.0913157314062118,102.0,2.0,6313.0,1.0,21.75054168701172,3521.0,20404614229.0,2361.0,4.0,68.0,66.0,64.0,51.0,83.0,76.0,90.0,456.0,2.0,29.843005537986755,0.7342010140419006,3196.0,72.0,2.615490674972534
15.26,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,24.869579315185547,34.1633415222168,98.22056579589844,1.7794313430786133,2.9143807888031006,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6370750665664673,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,133827371008.0,692283136.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,641733632.0,155539885.33333334,1179664.625,2210809365.3333335,0.0913157314062118,102.0,2.0,6313.0,1.0,21.75054168701172,3521.0,20434027841.0,2361.0,4.0,68.0,66.0,64.0,51.0,83.0,76.0,90.0,456.0,2.0,29.843005537986755,0.7342010140419006,3196.0,72.0,2.615490674972534
15.27,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,24.869579315185547,34.1633415222168,98.22056579589844,1.7794313430786133,2.9143807888031006,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6370750665664673,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,133827371008.0,692283136.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,641733632.0,155539885.33333334,1179664.625,2210809365.3333335,0.0913157314062118,102.0,2.0,6313.0,1.0,21.75054168701172,3521.0,20463451530.0,2361.0,4.0,68.0,66.0,64.0,51.0,83.0,76.0,90.0,456.0,2.0,29.843005537986755,0.7342010140419006,3196.0,72.0,2.615490674972534
