Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
14.4,25.816885811941965,49.665313720703125,0.19781196117401123,0.8767375946044922,15.612630026681083,0.014500679980431256,25.19188499450684,33.33256912231445,98.2394027709961,1.7605977058410645,2.921675682067871,-1.0,78.53049795968192,159.3633074079241,0.42759041275296894,0.1744745331151145,3.5760135650634766,0.6414546966552734,545015040.0,-1.0,3.5311195509774342,55714243730.28571,89247711232.0,6011579684.571428,135976345600.0,704115840.0,100.0,545000000.0,0.12461219515119279,11038589.0,51.08502633231027,878969398.8571428,21706304.0,1754410.4642857143,736373613.7142857,2.158746719360352,0.5081520463739123,642947520.0,62709576.0,1181546.75,148494.91015625,0.0026295813731849,441.0,64.0,11735.0,1.0,24.303001403808597,3404.0,1920.0,4.0,74.0,72.0,66.0,49.0,74.0,85.0,90.0,545.0,2.0,31.82915449142456,2736.0,2.0,70.0,3.362391471862793
14.44,25.816885811941965,49.63032150268555,0.19781196117401123,0.8767375946044922,15.612630026681083,0.014500679980431256,25.101879119873047,34.133270263671875,98.2447280883789,1.7552746534347534,2.8313989639282227,-1.0,78.53049795968192,159.3633074079241,0.42759041275296894,0.1744745331151145,3.5760135650634766,0.6414546966552734,545015040.0,-1.0,3.5311195509774342,55714243730.28571,89247711232.0,6011579684.571428,135671300096.0,701800000.0,100.0,545000000.0,0.12461219515119279,11038589.0,51.08502633231027,878969398.8571428,21706304.0,1754410.4642857143,736373613.7142857,2.1598589420318604,0.5081520463739123,642032512.0,62709576.0,1180393.25,148494.91015625,0.0026295813731849,441.0,64.0,11735.0,1.0,24.303001403808597,3404.0,1920.0,4.0,74.0,72.0,66.0,49.0,74.0,85.0,90.0,545.0,2.0,31.82915449142456,2736.0,2.0,70.0,3.362391471862793
14.5,25.816885811941965,49.63032150268555,0.19781196117401123,0.8767375946044922,15.612630026681083,0.014500679980431256,25.101879119873047,34.133270263671875,98.2447280883789,1.7552746534347534,2.8313989639282227,-1.0,78.53049795968192,159.3633074079241,0.42759041275296894,0.1744745331151145,3.5760135650634766,0.6414546966552734,545015040.0,-1.0,3.5311195509774342,55714243730.28571,89247711232.0,6011579684.571428,135671300096.0,701800000.0,100.0,545000000.0,0.12461219515119279,11038589.0,51.08502633231027,878969398.8571428,21706304.0,1754410.4642857143,736373613.7142857,2.1598589420318604,0.5081520463739123,642032512.0,62709576.0,1180393.25,148494.91015625,274.7228088378906,263.0,58.0,7858.0,1.0,24.303001403808597,3404.0,1920.0,4.0,74.0,72.0,66.0,49.0,74.0,85.0,90.0,545.0,2.0,31.82915449142456,2736.0,2.0,15.0,3.362391471862793
14.54,25.816885811941965,49.66387939453125,0.19781196117401123,0.8767375946044922,15.612630026681083,0.014500679980431256,25.301973342895508,33.25611114501953,98.22372436523438,1.7762774229049685,2.879991292953491,-1.0,78.53049795968192,159.3633074079241,0.42759041275296894,0.1744745331151145,3.5760135650634766,0.6414546966552734,545015040.0,-1.0,3.5311195509774342,55714243730.28571,89247711232.0,6011579684.571428,133984960512.0,693832960.0,100.0,545000000.0,0.12461219515119279,11038589.0,51.08502633231027,878969398.8571428,21706304.0,1754410.4642857143,736373613.7142857,2.158510684967041,0.5081520463739123,642489280.0,62709576.0,1181412.5,148494.91015625,274.7228088378906,263.0,58.0,7858.0,1.0,24.303001403808597,3404.0,1920.0,4.0,74.0,72.0,66.0,49.0,74.0,85.0,90.0,545.0,2.0,31.82915449142456,2736.0,2.0,15.0,3.362391471862793
14.64,25.816885811941965,49.63936996459961,0.19781196117401123,0.8767375946044922,15.612630026681083,0.014500679980431256,25.000675201416016,34.10873794555664,98.21395111083984,1.7860519886016846,2.933338165283203,-1.0,78.53049795968192,159.3633074079241,0.42759041275296894,0.1744745331151145,3.5760135650634766,0.6414546966552734,545015040.0,-1.0,3.5311195509774342,55714243730.28571,89247711232.0,6011579684.571428,133997338624.0,693162304.0,100.0,545000000.0,0.12461219515119279,11038589.0,51.08502633231027,878969398.8571428,21706304.0,1754410.4642857143,736373613.7142857,2.159738540649414,0.5081520463739123,642548672.0,62709576.0,1181162.875,148494.91015625,274.7228088378906,263.0,58.0,7858.0,1.0,24.303001403808597,3404.0,1920.0,4.0,74.0,72.0,66.0,49.0,74.0,85.0,90.0,545.0,2.0,31.82915449142456,2736.0,2.0,15.0,3.362391471862793
14.74,25.816885811941965,49.66387939453125,0.19781196117401123,0.8767375946044922,15.612630026681083,0.014500679980431256,25.17850875854492,33.31600570678711,98.20362854003906,1.7963694334030151,2.845088005065918,-1.0,78.53049795968192,159.3633074079241,0.42759041275296894,0.1744745331151145,3.5760135650634766,0.6414546966552734,545015040.0,-1.0,3.5311195509774342,55714243730.28571,89247711232.0,6011579684.571428,134005678080.0,693940224.0,100.0,545000000.0,0.12461219515119279,11038589.0,51.08502633231027,878969398.8571428,21706304.0,1754410.4642857143,736373613.7142857,2.158510684967041,0.5081520463739123,642588672.0,62709576.0,1181595.25,148494.91015625,274.7228088378906,263.0,58.0,7858.0,1.0,24.303001403808597,3404.0,1920.0,4.0,74.0,72.0,66.0,49.0,74.0,85.0,90.0,545.0,2.0,31.82915449142456,2736.0,2.0,15.0,3.362391471862793
14.84,25.816885811941965,49.66387939453125,0.19781196117401123,0.8767375946044922,15.612630026681083,0.014500679980431256,25.107088088989254,33.35102844238281,98.22160339355467,1.778393268585205,2.9396965503692627,-1.0,78.53049795968192,159.3633074079241,0.42759041275296894,0.1744745331151145,3.5760135650634766,0.6414546966552734,545015040.0,-1.0,3.5311195509774342,55714243730.28571,89247711232.0,6011579684.571428,134097346560.0,694414976.0,100.0,545000000.0,0.12461219515119279,11038589.0,51.08502633231027,878969398.8571428,21706304.0,1754410.4642857143,736373613.7142857,2.158510684967041,0.5081520463739123,643028224.0,62709576.0,1182403.5,148494.91015625,274.7228088378906,263.0,58.0,7858.0,1.0,24.303001403808597,3404.0,1920.0,4.0,74.0,72.0,66.0,49.0,74.0,85.0,90.0,545.0,2.0,31.82915449142456,2736.0,2.0,15.0,3.362391471862793
14.94,25.816885811941965,49.63936996459961,0.19781196117401123,0.8767375946044922,15.612630026681083,0.014500679980431256,24.97135734558105,34.178070068359375,98.22260284423828,1.7774001359939575,2.9295103549957275,-1.0,78.53049795968192,159.3633074079241,0.42759041275296894,0.1744745331151145,3.5760135650634766,0.6414546966552734,545015040.0,-1.0,3.5311195509774342,55714243730.28571,89247711232.0,6011579684.571428,133980643328.0,693075968.0,100.0,545000000.0,0.12461219515119279,11038589.0,51.08502633231027,878969398.8571428,21706304.0,1754410.4642857143,736373613.7142857,2.159738540649414,0.5081520463739123,642468608.0,62709576.0,1181015.75,148494.91015625,274.7228088378906,263.0,58.0,7858.0,1.0,24.303001403808597,3404.0,1920.0,4.0,74.0,72.0,66.0,49.0,74.0,85.0,90.0,545.0,2.0,31.82915449142456,2736.0,2.0,15.0,3.362391471862793
15.0,25.816885811941965,49.63936996459961,0.19781196117401123,0.8767375946044922,15.612630026681083,0.014500679980431256,24.97135734558105,34.178070068359375,98.22260284423828,1.7774001359939575,2.9295103549957275,-1.0,78.53049795968192,159.3633074079241,0.42759041275296894,0.1744745331151145,3.5760135650634766,0.6414546966552734,545015040.0,-1.0,3.5311195509774342,55714243730.28571,89247711232.0,6011579684.571428,133980643328.0,693075968.0,100.0,545000000.0,0.12461219515119279,11038589.0,51.08502633231027,878969398.8571428,21706304.0,1754410.4642857143,736373613.7142857,2.159738540649414,0.5081520463739123,642468608.0,62709576.0,1181015.75,148494.91015625,274.7228088378906,101.0,2.0,6330.0,1.0,24.303001403808597,3404.0,1920.0,4.0,74.0,72.0,66.0,49.0,74.0,85.0,90.0,545.0,2.0,31.82915449142456,2736.0,2.0,15.0,3.362391471862793
15.04,25.816885811941965,49.66387939453125,0.19781196117401123,0.8767375946044922,15.612630026681083,0.014500679980431256,25.13259696960449,33.29513168334961,98.2113265991211,1.788676142692566,2.902104139328003,-1.0,78.53049795968192,159.3633074079241,0.42759041275296894,0.1744745331151145,3.5760135650634766,0.6414546966552734,545015040.0,-1.0,3.5311195509774342,55714243730.28571,89247711232.0,6011579684.571428,133994209280.0,693880832.0,100.0,545000000.0,0.12461219515119279,11038589.0,51.08502633231027,878969398.8571428,21706304.0,1754410.4642857143,736373613.7142857,2.158510684967041,0.5081520463739123,642533632.0,62709576.0,1181494.0,148494.91015625,274.7228088378906,101.0,2.0,6330.0,1.0,24.303001403808597,3404.0,1920.0,4.0,74.0,72.0,66.0,49.0,74.0,85.0,90.0,545.0,2.0,31.82915449142456,2736.0,2.0,15.0,3.362391471862793
15.14,25.816885811941965,49.63936996459961,0.19781196117401123,0.8767375946044922,15.612630026681083,0.014500679980431256,24.937196731567383,34.18385314941406,98.21401977539062,1.7859811782836914,2.871706008911133,-1.0,78.53049795968192,159.3633074079241,0.42759041275296894,0.1744745331151145,3.5760135650634766,0.6414546966552734,545015040.0,-1.0,3.5311195509774342,55714243730.28571,89247711232.0,6011579684.571428,133961875456.0,692978880.0,100.0,545000000.0,0.12461219515119279,11038589.0,51.08502633231027,878969398.8571428,21706304.0,1754410.4642857143,736373613.7142857,2.159738540649414,0.5081520463739123,642378624.0,62709576.0,1180850.25,148494.91015625,274.7228088378906,101.0,2.0,6330.0,1.0,24.303001403808597,3404.0,1920.0,4.0,74.0,72.0,66.0,49.0,74.0,85.0,90.0,545.0,2.0,31.82915449142456,2736.0,2.0,15.0,3.362391471862793
15.24,25.816885811941965,49.66387939453125,0.19781196117401123,0.8767375946044922,15.612630026681083,0.014500679980431256,25.194360733032227,33.35797882080078,98.21099853515624,1.7890033721923828,2.9314775466918945,-1.0,78.53049795968192,159.3633074079241,0.42759041275296894,0.1744745331151145,3.5760135650634766,0.6414546966552734,545015040.0,-1.0,3.5311195509774342,55714243730.28571,89247711232.0,6011579684.571428,133999558656.0,693908544.0,100.0,545000000.0,0.12461219515119279,11038589.0,51.08502633231027,878969398.8571428,21706304.0,1754410.4642857143,736373613.7142857,2.158510684967041,0.5081520463739123,642559296.0,62709576.0,1181541.25,148494.91015625,274.7228088378906,101.0,2.0,6330.0,1.0,24.303001403808597,3404.0,1920.0,4.0,74.0,72.0,66.0,49.0,74.0,85.0,90.0,545.0,2.0,31.82915449142456,2736.0,2.0,15.0,3.362391471862793
15.34,25.816885811941965,49.66387939453125,0.19781196117401123,0.8767375946044922,15.612630026681083,0.014500679980431256,25.165542602539062,33.36781692504883,98.21784973144533,1.7821530103683472,2.947717666625977,-1.0,78.53049795968192,159.3633074079241,0.42759041275296894,0.1744745331151145,3.5760135650634766,0.6414546966552734,545015040.0,-1.0,3.5311195509774342,55714243730.28571,89247711232.0,6011579684.571428,133990170624.0,693859968.0,100.0,545000000.0,0.12461219515119279,11038589.0,51.08502633231027,878969398.8571428,21706304.0,1754410.4642857143,736373613.7142857,2.158510684967041,0.5081520463739123,642514304.0,62709576.0,1181458.5,148494.91015625,274.7228088378906,101.0,2.0,6330.0,1.0,24.303001403808597,3404.0,1920.0,4.0,74.0,72.0,66.0,49.0,74.0,85.0,90.0,545.0,2.0,31.82915449142456,2736.0,2.0,15.0,3.362391471862793
15.4,25.816885811941965,49.66387939453125,0.19781196117401123,0.8767375946044922,15.612630026681083,0.014500679980431256,25.165542602539062,33.36781692504883,98.21784973144533,1.7821530103683472,2.947717666625977,-1.0,78.53049795968192,159.3633074079241,0.42759041275296894,0.1744745331151145,3.5760135650634766,0.6414546966552734,545015040.0,-1.0,3.5311195509774342,55714243730.28571,89247711232.0,6011579684.571428,133990170624.0,693859968.0,100.0,545000000.0,0.12461219515119279,11038589.0,51.08502633231027,878969398.8571428,21706304.0,1754410.4642857143,736373613.7142857,2.158510684967041,0.5081520463739123,642514304.0,62709576.0,1181458.5,148494.91015625,0.0026295813731849,441.0,64.0,11735.0,1.0,24.303001403808597,3404.0,1920.0,4.0,74.0,72.0,66.0,49.0,74.0,85.0,90.0,545.0,2.0,31.82915449142456,2736.0,2.0,70.0,3.362391471862793
15.44,25.816885811941965,49.63936996459961,0.19781196117401123,0.8767375946044922,15.612630026681083,0.014500679980431256,25.00252914428711,34.23334884643555,98.21205139160156,1.7879455089569092,2.935508728027344,-1.0,78.53049795968192,159.3633074079241,0.42759041275296894,0.1744745331151145,3.5760135650634766,0.6414546966552734,545015040.0,-1.0,3.5311195509774342,55714243730.28571,89247711232.0,6011579684.571428,134004563968.0,693199744.0,100.0,545000000.0,0.12461219515119279,11038589.0,51.08502633231027,878969398.8571428,21706304.0,1754410.4642857143,736373613.7142857,2.159738540649414,0.5081520463739123,642583360.0,62709576.0,1181226.625,148494.91015625,0.0026295813731849,441.0,64.0,11735.0,1.0,24.303001403808597,3404.0,1920.0,4.0,74.0,72.0,66.0,49.0,74.0,85.0,90.0,545.0,2.0,31.82915449142456,2736.0,2.0,70.0,3.362391471862793
15.5,25.816885811941965,49.63936996459961,0.19781196117401123,0.8767375946044922,15.612630026681083,0.014500679980431256,25.00252914428711,34.23334884643555,98.21205139160156,1.7879455089569092,2.935508728027344,-1.0,78.53049795968192,159.3633074079241,0.42759041275296894,0.1744745331151145,3.5760135650634766,0.6414546966552734,545015040.0,-1.0,3.5311195509774342,55714243730.28571,89247711232.0,6011579684.571428,134004563968.0,693199744.0,100.0,545000000.0,0.12461219515119279,11038589.0,51.08502633231027,878969398.8571428,21706304.0,1754410.4642857143,736373613.7142857,2.159738540649414,0.5081520463739123,642583360.0,62709576.0,1181226.625,148494.91015625,274.7228088378906,263.0,58.0,7858.0,1.0,24.303001403808597,3404.0,1920.0,4.0,74.0,72.0,66.0,49.0,74.0,85.0,90.0,545.0,2.0,31.82915449142456,2736.0,2.0,15.0,3.362391471862793
15.54,25.816885811941965,49.66387939453125,0.19781196117401123,0.8767375946044922,15.612630026681083,0.014500679980431256,25.205907821655277,33.38935089111328,98.2202606201172,1.7797410488128662,2.8969125747680664,-1.0,78.53049795968192,159.3633074079241,0.42759041275296894,0.1744745331151145,3.5760135650634766,0.6414546966552734,545015040.0,-1.0,3.5311195509774342,55714243730.28571,89247711232.0,6011579684.571428,133999837184.0,693910016.0,100.0,545000000.0,0.12461219515119279,11038589.0,51.08502633231027,878969398.8571428,21706304.0,1754410.4642857143,736373613.7142857,2.158510684967041,0.5081520463739123,642560640.0,62709576.0,1181543.625,148494.91015625,274.7228088378906,263.0,58.0,7858.0,1.0,24.303001403808597,3404.0,1920.0,4.0,74.0,72.0,66.0,49.0,74.0,85.0,90.0,545.0,2.0,31.82915449142456,2736.0,2.0,15.0,3.362391471862793
15.64,25.816885811941965,49.63936996459961,0.19781196117401123,0.8767375946044922,15.612630026681083,0.014500679980431256,25.01392936706543,34.24370574951172,98.21427154541016,1.7857303619384766,2.941227436065674,-1.0,78.53049795968192,159.3633074079241,0.42759041275296894,0.1744745331151145,3.5760135650634766,0.6414546966552734,545015040.0,-1.0,3.5311195509774342,55714243730.28571,89247711232.0,6011579684.571428,133973901312.0,693041088.0,100.0,545000000.0,0.12461219515119279,11038589.0,51.08502633231027,878969398.8571428,21706304.0,1754410.4642857143,736373613.7142857,2.159738540649414,0.5081520463739123,642436288.0,62709576.0,1180956.25,148494.91015625,274.7228088378906,263.0,58.0,7858.0,1.0,24.303001403808597,3404.0,1920.0,4.0,74.0,72.0,66.0,49.0,74.0,85.0,90.0,545.0,2.0,31.82915449142456,2736.0,2.0,15.0,3.362391471862793
