Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.2,1.3394566774368286,27.61191177368164,0.0991014269335816,17.492815335591633,0.8052113347997268,-1.0,-1.0,-1.0,0.6195871432622274,-1.0,5.272679567337036,0.20248267551263174,545001493.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.9422861735026,545000000.0,-1.0,11518805.833333334,96.57974243164062,867444426.6666666,22800223.25,1523935.3541666667,722515354.6666666,-1.0,-1.0,-1.0,64756257.666666664,11953614.375,1182143666.1276042,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.21,0.515188387462071,14.649249485560826,0.09114634352070945,6.3830397469656805,0.24598681926727295,-1.0,-1.0,-1.0,0.29429967062813894,-1.0,1.5953738348824638,0.20248267551263174,545841860.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.56518254961286,545000000.0,-1.0,8332000.285714285,96.57974243164062,640691492.5714285,16421133.714285715,1223545.0357142857,532810203.4285714,-1.0,-1.0,-1.0,48083712.0,8588667.42857143,833107786.890625,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.22,0.1917925924062729,6.022866249084473,0.001885415869764975,2.1173183917999268,0.12485642731189728,-1.0,-1.0,-1.0,0.12953440845012665,-1.0,0.6397345066070557,0.20248267551263174,544997144.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,92.12879371643066,545000000.0,-1.0,2400873.25,96.57974243164062,538217344.0,4726086.5,304862.71875,495417152.0,-1.0,-1.0,-1.0,12733100.0,2487965.5,303595152.8203125,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.23,0.7340431383677891,21.532710484095983,0.06270896403917244,10.322093691144671,0.4539871726717268,-1.0,-1.0,-1.0,0.442203300339835,-1.0,2.493612391608102,0.20248267551263174,544999579.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.33380917140416,545000000.0,-1.0,12318470.285714285,96.57974243164062,949137316.5714285,24259865.14285714,1536807.5357142857,791318948.5714285,-1.0,-1.0,-1.0,69827234.28571428,12717997.714285715,1277810493.4620535,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.24,0.8382984399795532,40.21720886230469,0.12940563280135392,9.157873916625977,0.40300277471542356,-1.0,-1.0,-1.0,0.5565831422805786,-1.0,3.3815659523010253,0.23639484643936157,544955059.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.59947814941406,545000000.0,-1.0,11317400.2,136.36475830078126,816361120.0,20080246.4,1946200.35,616542720.0,-1.0,-1.0,-1.0,61303994.4,11070093.5,1036254969.753125,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.25,0.44279734790325165,13.053059101104736,0.04291361616924405,5.69814157485962,0.18851732835173607,-1.0,-1.0,-1.0,0.26212045550346375,-1.0,1.4076148867607117,0.23639484643936157,544991920.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81.65194821357727,545000000.0,-1.0,7543484.75,136.36475830078126,574158704.0,15089321.0,1109188.875,481348912.0,-1.0,-1.0,-1.0,44598596.0,7897295.75,639662671.4101562,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.26,0.6169919116156442,7.392241886683872,0.0034740284151796716,7.292877197265625,0.24959736663315982,-1.0,-1.0,-1.0,0.217925064265728,-1.0,1.3653815984725952,0.23639484643936157,544995410.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.56677491324288,545000000.0,-1.0,2909917.8214285714,136.36475830078126,270160906.6666667,6404319.447916667,461769.1510416667,221787904.0,-1.0,-1.0,-1.0,17353751.229166668,3370651.7239583335,525368939.3958333,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.27,0.8612009286880493,25.11502965291341,0.0530236382037401,12.153800010681152,0.48031336069107056,-1.0,-1.0,-1.0,0.44217024530683247,-1.0,2.298205648149763,0.23639484643936157,545006090.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.24485937754314,545000000.0,-1.0,13578862.333333334,136.36475830078126,896077612.4949777,22923673.714285713,1835553.0714285714,747752192.0,-1.0,-1.0,-1.0,65295330.28571428,12014393.42857143,1203800118.390625,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.28,0.5614643891652426,16.64819399515788,0.04963897789518038,7.558399518330892,0.4188311696052551,-1.0,-1.0,-1.0,0.35131649176279706,-1.0,1.9555763403574626,0.23639484643936157,544993472.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75.43626308441162,545000000.0,-1.0,11295870.666666666,136.36475830078126,695979968.0,22905668.0,1510458.125,570644565.3333334,-1.0,-1.0,-1.0,59305442.666666664,12004310.666666666,818668885.0052084,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.29,0.5769473165273666,16.617616017659508,0.0019423055152098332,4.404212315877278,0.1008066361149152,-1.0,-1.0,-1.0,0.21044702331225076,-1.0,3.3785959084828696,11.451082865397135,544915370.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,73.03683082262675,545000000.0,-1.0,1840186.375,52.340606689453125,147018213.33333334,1558116.0833333333,464819.4375,90431957.33333333,-1.0,-1.0,-1.0,9242818.0,1256269.4583333333,237863700.49739584,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.3,0.7201524121420724,20.780520847865514,0.28085491912705557,10.355725424630302,0.3316694327763149,-1.0,-1.0,-1.0,0.4360433646610805,-1.0,2.3849850382123674,2.668652823993138,544863881.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66.6643488747733,545000000.0,-1.0,12264032.857142856,256.2280055454799,1007982189.7142857,24118842.285714287,24598861.39285714,793990710.8571428,-1.0,-1.0,-1.0,69495922.28571428,12673409.42857143,1330449267.3013394,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.31,1.0233817100524902,16.001183191935223,0.050945739106585564,11.595101674397787,0.39220953981081647,-1.0,-1.0,-1.0,0.35177119526391226,-1.0,2.0752426783243814,2.668652823993138,545067733.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.40001424153645,545000000.0,-1.0,11815531.604166666,256.2280055454799,818844480.0,23355842.048177082,1567113.2213541667,677869136.0,-1.0,-1.0,-1.0,63014664.0,12232413.406901041,1113775764.2942708,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.32,0.4509126842021942,12.821125507354736,0.012445907108485687,5.54565691947937,0.26319465041160583,-1.0,-1.0,-1.0,0.2575023174285889,-1.0,1.3837406635284424,2.668652823993138,544989488.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.0427496433258,545000000.0,-1.0,7961934.5,256.2280055454799,606536560.0,15682894.5,1061709.625,504117584.0,-1.0,-1.0,-1.0,45781694.0,8215762.0,789365869.8945312,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
