Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
25.87,50.446048736572266,49.55395126342773,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.915380477905273,8.093210220336914,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2989457249641418,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,73.7912826538086,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2913424384.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1275545.0,669724172.8710938,9.27094268798828,102.0,2.0,6330.0,1.0,28.741500854492188,2091.0,1382.0,3.0,55.0,58.0,56.0,24.0,31.0,31.0,72.0,456.0,2.0,85.99531650543213,2736.0,70.0,2.173825025558472
25.97,50.46821975708008,49.53178024291992,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.436351776123047,8.100126266479492,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2837379872798919,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,60.8633918762207,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2869192192.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1183246.0,669724172.8710938,9.27094268798828,102.0,2.0,6330.0,1.0,28.741500854492188,2091.0,1382.0,3.0,55.0,58.0,56.0,24.0,31.0,31.0,72.0,456.0,2.0,85.99531650543213,2736.0,70.0,2.173825025558472
26.07,50.436954498291016,49.56304550170898,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.321202278137207,8.060643196105957,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2695274949073791,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,66.68515014648438,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2898159872.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1187288.125,669724172.8710938,9.27094268798828,102.0,2.0,6330.0,1.0,28.741500854492188,2091.0,1382.0,3.0,55.0,58.0,56.0,24.0,31.0,31.0,72.0,456.0,2.0,85.99531650543213,2736.0,70.0,2.173825025558472
26.17,50.4901008605957,49.53812789916992,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.248837947845459,8.0989990234375,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.289152592420578,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,70.322998046875,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2970035968.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1230848.0,669724172.8710938,9.27094268798828,102.0,2.0,6330.0,1.0,28.741500854492188,2091.0,1382.0,3.0,55.0,58.0,56.0,24.0,31.0,31.0,72.0,456.0,2.0,85.99531650543213,2736.0,70.0,2.173825025558472
26.25,50.4901008605957,49.53812789916992,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.248837947845459,8.0989990234375,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.289152592420578,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,70.322998046875,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2970035968.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1230848.0,669724172.8710938,9.269200325012209,1442.0,948.0,14145.0,2.0,39.185543060302734,2091.0,1651.0,3.0,56.0,59.0,59.0,26.0,33.0,33.0,72.0,456.0,2.0,86.19323372840881,2736.0,70.0,2.1765265464782715
26.27,50.42806625366211,49.578269958496094,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,7.00496244430542,8.084821701049805,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.3045006692409515,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,69.92716979980469,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2903607808.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1274461.75,669724172.8710938,9.269200325012209,1442.0,948.0,14145.0,2.0,39.185543060302734,2091.0,1651.0,3.0,56.0,59.0,59.0,26.0,33.0,33.0,72.0,456.0,2.0,86.19323372840881,2736.0,70.0,2.1765265464782715
26.3,50.42806625366211,49.578269958496094,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,7.00496244430542,8.084821701049805,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.3045006692409515,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,69.92716979980469,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2903607808.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1274461.75,669724172.8710938,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2091.0,1651.0,3.0,56.0,59.0,59.0,26.0,33.0,33.0,72.0,456.0,2.0,86.19323372840881,2736.0,73.0,2.1765265464782715
26.31,50.42806625366211,49.578269958496094,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,7.00496244430542,8.084821701049805,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.3045006692409515,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,69.92716979980469,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2903607808.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1274461.75,669724172.8710938,0.002935052383691,1006.0,403.0,12126.0,1.0,28.741500854492188,2091.0,1651.0,3.0,56.0,59.0,59.0,26.0,33.0,33.0,72.0,456.0,2.0,86.19323372840881,2736.0,70.0,2.1765265464782715
26.37,50.46323013305664,49.5028190612793,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.4107747077941895,8.108400344848633,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2601291835308075,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,59.477298736572266,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2930547456.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1189090.5,669724172.8710938,0.002935052383691,1006.0,403.0,12126.0,1.0,28.741500854492188,2091.0,1651.0,3.0,56.0,59.0,59.0,26.0,33.0,33.0,72.0,456.0,2.0,86.19323372840881,2736.0,70.0,2.1765265464782715
26.47,50.43589401245117,49.56410598754883,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.4438347816467285,8.062960624694824,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2893730103969574,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,73.00128173828125,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2876254720.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1183831.0,669724172.8710938,0.002935052383691,1006.0,403.0,12126.0,1.0,28.741500854492188,2091.0,1651.0,3.0,56.0,59.0,59.0,26.0,33.0,33.0,72.0,456.0,2.0,86.19323372840881,2736.0,70.0,2.1765265464782715
26.57,50.46980667114258,49.53019332885742,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.244126319885254,8.112499237060547,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2677675783634186,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,73.21134948730469,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2965507584.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1190378.0,669724172.8710938,0.002935052383691,1006.0,403.0,12126.0,1.0,28.741500854492188,2091.0,1651.0,3.0,56.0,59.0,59.0,26.0,33.0,33.0,72.0,456.0,2.0,86.19323372840881,2736.0,70.0,2.1765265464782715
26.67,50.42086791992188,49.579132080078125,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.902853965759277,8.08209228515625,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2990396022796631,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,72.7663803100586,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2955964160.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1276421.625,669724172.8710938,0.002935052383691,1006.0,403.0,12126.0,1.0,28.741500854492188,2091.0,1651.0,3.0,56.0,59.0,59.0,26.0,33.0,33.0,72.0,456.0,2.0,86.19323372840881,2736.0,70.0,2.1765265464782715
26.77,50.48579788208008,49.51420211791992,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.47081184387207,8.110486030578613,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2873157858848572,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,78.23471069335938,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2938368000.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1226095.375,669724172.8710938,0.002935052383691,1006.0,403.0,12126.0,1.0,28.741500854492188,2091.0,1651.0,3.0,56.0,59.0,59.0,26.0,33.0,33.0,72.0,456.0,2.0,86.19323372840881,2736.0,70.0,2.1765265464782715
26.82,50.48579788208008,49.51420211791992,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.47081184387207,8.110486030578613,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2873157858848572,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,78.23471069335938,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2938368000.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1226095.375,669724172.8710938,9.269877433776855,102.0,2.0,6330.0,1.0,28.741500854492188,2091.0,1651.0,3.0,56.0,59.0,59.0,26.0,33.0,33.0,72.0,456.0,2.0,86.19323372840881,2736.0,70.0,2.1765265464782715
26.87,50.4344596862793,49.5655403137207,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.341669082641602,8.069976806640625,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2798342108726501,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,74.77498626708984,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2889099520.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1187261.25,669724172.8710938,9.269877433776855,102.0,2.0,6330.0,1.0,28.741500854492188,2091.0,1651.0,3.0,56.0,59.0,59.0,26.0,33.0,33.0,72.0,456.0,2.0,86.19323372840881,2736.0,70.0,2.1765265464782715
26.97,50.46813583374024,49.531864166259766,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.191837787628174,8.124310493469238,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2698821723461151,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,69.57362365722656,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2961689600.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1187201.125,669724172.8710938,9.269877433776855,102.0,2.0,6330.0,1.0,28.741500854492188,2091.0,1651.0,3.0,56.0,59.0,59.0,26.0,33.0,33.0,72.0,456.0,2.0,86.19323372840881,2736.0,70.0,2.1765265464782715
27.07,50.42737579345703,49.57262420654297,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,6.607448577880859,8.032487869262695,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2989846169948578,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,74.87605285644531,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,2955430400.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,1231640.75,669724172.8710938,9.269877433776855,102.0,2.0,6330.0,1.0,28.741500854492188,2091.0,1651.0,3.0,56.0,59.0,59.0,26.0,33.0,33.0,72.0,456.0,2.0,86.19323372840881,2736.0,70.0,2.1765265464782715
