Time (s),% Linear Filtered,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
8.31,67.88119506835938,1.3299141957291536,35.83218329293387,0.4577417307134185,32.56721496582031,2.6085777282714844,0.5344026684761047,-1.0,112.27139064243862,206.85998208182198,0.6636521049908229,0.2692085972854069,5.543556758335659,6.755921840667725,545122624.0,-1.0,4.207533121109009,-1.0,94929918244.57143,-1.0,-1.0,1908927616.0,100.0,545000000.0,0.15617281624249046,12162495.5,98.14487566266742,1409497988.5714285,22375231.07142857,2331230.4285714286,1191038989.7142856,-1.0,0.5837763037000384,939683840.0,71330658.85714285,7275959.5,158193.25,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2715.0,9212209074.0,2361.0,4.0,89.0,89.0,87.0,85.0,87.0,92.0,90.0,456.0,2.0,28.38800549507141,3196.0,1.0,76.0,3.356344223022461
8.32,67.86625671386719,1.3299141957291536,35.83218329293387,0.4577417307134185,31.75040435791016,2.589354515075684,0.5468857884407043,-1.0,112.27139064243862,206.85998208182198,0.6636521049908229,0.2692085972854069,5.543556758335659,0.6316379308700562,545122624.0,-1.0,4.207533121109009,-1.0,94929918244.57143,-1.0,-1.0,1904945408.0,100.0,545000000.0,0.15617281624249046,12162495.5,98.14487566266742,1409497988.5714285,22375231.07142857,2331230.4285714286,1191038989.7142856,-1.0,0.5837763037000384,932672128.0,71330658.85714285,7246354.0,158193.25,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2715.0,9233640367.0,2361.0,4.0,89.0,89.0,87.0,85.0,87.0,92.0,90.0,456.0,2.0,28.38800549507141,3196.0,1.0,76.0,3.356344223022461
8.33,67.86625671386719,1.3299141957291536,35.83218329293387,0.4577417307134185,31.75040435791016,2.589354515075684,0.5468857884407043,-1.0,112.27139064243862,206.85998208182198,0.6636521049908229,0.2692085972854069,5.543556758335659,0.6316379308700562,545122624.0,-1.0,4.207533121109009,-1.0,94929918244.57143,-1.0,-1.0,1904945408.0,100.0,545000000.0,0.15617281624249046,12162495.5,98.14487566266742,1409497988.5714285,22375231.07142857,2331230.4285714286,1191038989.7142856,-1.0,0.5837763037000384,932672128.0,71330658.85714285,7246354.0,158193.25,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2715.0,9256937086.0,2361.0,4.0,89.0,89.0,87.0,85.0,87.0,92.0,90.0,456.0,2.0,28.38800549507141,3196.0,1.0,76.0,3.356344223022461
8.34,67.86625671386719,1.3299141957291536,35.83218329293387,0.4577417307134185,31.75040435791016,2.589354515075684,0.5468857884407043,-1.0,112.27139064243862,206.85998208182198,0.6636521049908229,0.2692085972854069,5.543556758335659,0.6316379308700562,545122624.0,-1.0,4.207533121109009,-1.0,94929918244.57143,-1.0,-1.0,1904945408.0,100.0,545000000.0,0.15617281624249046,12162495.5,98.14487566266742,1409497988.5714285,22375231.07142857,2331230.4285714286,1191038989.7142856,-1.0,0.5837763037000384,932672128.0,71330658.85714285,7246354.0,158193.25,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2715.0,9282421541.0,2361.0,4.0,89.0,89.0,87.0,85.0,87.0,92.0,90.0,456.0,2.0,28.38800549507141,3196.0,1.0,76.0,3.356344223022461
8.35,67.86625671386719,1.3299141957291536,35.83218329293387,0.4577417307134185,31.75040435791016,2.589354515075684,0.5468857884407043,-1.0,112.27139064243862,206.85998208182198,0.6636521049908229,0.2692085972854069,5.543556758335659,0.6316379308700562,545122624.0,-1.0,4.207533121109009,-1.0,94929918244.57143,-1.0,-1.0,1904945408.0,100.0,545000000.0,0.15617281624249046,12162495.5,98.14487566266742,1409497988.5714285,22375231.07142857,2331230.4285714286,1191038989.7142856,-1.0,0.5837763037000384,932672128.0,71330658.85714285,7246354.0,158193.25,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2715.0,9309188975.0,2361.0,4.0,89.0,89.0,87.0,85.0,87.0,92.0,90.0,456.0,2.0,28.38800549507141,3196.0,1.0,76.0,3.356344223022461
8.36,67.86625671386719,1.3299141957291536,35.83218329293387,0.4577417307134185,31.75040435791016,2.589354515075684,0.5468857884407043,-1.0,112.27139064243862,206.85998208182198,0.6636521049908229,0.2692085972854069,5.543556758335659,0.6316379308700562,545122624.0,-1.0,4.207533121109009,-1.0,94929918244.57143,-1.0,-1.0,1904945408.0,100.0,545000000.0,0.15617281624249046,12162495.5,98.14487566266742,1409497988.5714285,22375231.07142857,2331230.4285714286,1191038989.7142856,-1.0,0.5837763037000384,932672128.0,71330658.85714285,7246354.0,158193.25,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2715.0,9081540707.0,2361.0,4.0,89.0,89.0,87.0,85.0,87.0,92.0,90.0,456.0,2.0,28.38800549507141,3196.0,1.0,76.0,3.356344223022461
8.38,67.86625671386719,1.3299141957291536,35.83218329293387,0.4577417307134185,31.75040435791016,2.589354515075684,0.5468857884407043,-1.0,112.27139064243862,206.85998208182198,0.6636521049908229,0.2692085972854069,5.543556758335659,0.6316379308700562,545122624.0,-1.0,4.207533121109009,-1.0,94929918244.57143,-1.0,-1.0,1904945408.0,100.0,545000000.0,0.15617281624249046,12162495.5,98.14487566266742,1409497988.5714285,22375231.07142857,2331230.4285714286,1191038989.7142856,-1.0,0.5837763037000384,932672128.0,71330658.85714285,7246354.0,158193.25,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2715.0,9106947600.0,2361.0,4.0,89.0,89.0,87.0,85.0,87.0,92.0,90.0,456.0,2.0,28.38800549507141,3196.0,1.0,76.0,3.356344223022461
8.39,67.86625671386719,1.3299141957291536,35.83218329293387,0.4577417307134185,31.75040435791016,2.589354515075684,0.5468857884407043,-1.0,112.27139064243862,206.85998208182198,0.6636521049908229,0.2692085972854069,5.543556758335659,0.6316379308700562,545122624.0,-1.0,4.207533121109009,-1.0,94929918244.57143,-1.0,-1.0,1904945408.0,100.0,545000000.0,0.15617281624249046,12162495.5,98.14487566266742,1409497988.5714285,22375231.07142857,2331230.4285714286,1191038989.7142856,-1.0,0.5837763037000384,932672128.0,71330658.85714285,7246354.0,158193.25,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2715.0,10729091074.5,2361.0,4.0,89.0,89.0,87.0,85.0,87.0,92.0,90.0,456.0,2.0,28.38800549507141,3196.0,1.0,76.0,3.356344223022461
8.4,67.86625671386719,1.3299141957291536,35.83218329293387,0.4577417307134185,31.75040435791016,2.589354515075684,0.5468857884407043,-1.0,112.27139064243862,206.85998208182198,0.6636521049908229,0.2692085972854069,5.543556758335659,0.6316379308700562,545122624.0,-1.0,4.207533121109009,-1.0,94929918244.57143,-1.0,-1.0,1904945408.0,100.0,545000000.0,0.15617281624249046,12162495.5,98.14487566266742,1409497988.5714285,22375231.07142857,2331230.4285714286,1191038989.7142856,-1.0,0.5837763037000384,932672128.0,71330658.85714285,7246354.0,158193.25,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2715.0,9393226702.0,2361.0,4.0,89.0,89.0,87.0,85.0,87.0,92.0,90.0,456.0,2.0,28.38800549507141,3196.0,1.0,76.0,3.356344223022461
8.41,67.86625671386719,1.3299141957291536,35.83218329293387,0.4577417307134185,31.75040435791016,2.589354515075684,0.5468857884407043,-1.0,112.27139064243862,206.85998208182198,0.6636521049908229,0.2692085972854069,5.543556758335659,0.6316379308700562,545122624.0,-1.0,4.207533121109009,-1.0,94929918244.57143,-1.0,-1.0,1904945408.0,100.0,545000000.0,0.15617281624249046,12162495.5,98.14487566266742,1409497988.5714285,22375231.07142857,2331230.4285714286,1191038989.7142856,-1.0,0.5837763037000384,932672128.0,71330658.85714285,7246354.0,158193.25,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2715.0,9416031919.0,2361.0,4.0,89.0,89.0,87.0,85.0,87.0,92.0,90.0,456.0,2.0,28.38800549507141,3196.0,1.0,76.0,3.356344223022461
