Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
24.51,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.257165908813477,8.077189445495605,63.28610483805338,36.71389555931091,0.278279960155487,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,59.15248489379883,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3011816960.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,598613760.0,110126229.33333333,1187460.625,1806433991.0833333,0.7372781038284302,390.0,43.0,11693.0,1.0,6.776334285736084,2674.0,2361.0,3.0,54.0,55.0,59.0,24.0,28.0,35.0,72.0,456.0,2.0,86.54698133468628,3196.0,70.0,2.166332006454468
24.54,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.438873291015625,8.086221694946289,63.28610483805338,36.71389555931091,0.2912696897983551,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,63.085086822509766,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3045103872.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,624195840.0,110126229.33333333,1232450.0,1806433991.0833333,0.7372781038284302,390.0,43.0,11693.0,1.0,6.776334285736084,2674.0,2361.0,3.0,54.0,55.0,59.0,24.0,28.0,35.0,72.0,456.0,2.0,86.54698133468628,3196.0,70.0,2.166332006454468
24.64,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.862569332122803,8.100454330444336,63.28610483805338,36.71389555931091,0.2846928536891937,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,64.02388763427734,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,2984504832.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,655064064.0,110126229.33333333,1272771.375,1806433991.0833333,0.7372781038284302,390.0,43.0,11693.0,1.0,6.776334285736084,2674.0,2361.0,3.0,54.0,55.0,59.0,24.0,28.0,35.0,72.0,456.0,2.0,86.54698133468628,3196.0,70.0,2.166332006454468
24.74,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.3518500328063965,8.109681129455566,63.28610483805338,36.71389555931091,0.2844858169555664,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,78.53585815429688,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,2962683904.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,598417344.0,110126229.33333333,1185893.125,1806433991.0833333,0.7372781038284302,390.0,43.0,11693.0,1.0,6.776334285736084,2674.0,2361.0,3.0,54.0,55.0,59.0,24.0,28.0,35.0,72.0,456.0,2.0,86.54698133468628,3196.0,70.0,2.166332006454468
24.84,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.263960838317871,8.074183464050293,63.28610483805338,36.71389555931091,0.2801273465156555,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,59.715858459472656,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3004973824.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,598856576.0,110126229.33333333,1191946.625,1806433991.0833333,0.7372781038284302,390.0,43.0,11693.0,1.0,6.776334285736084,2674.0,2361.0,3.0,54.0,55.0,59.0,24.0,28.0,35.0,72.0,456.0,2.0,86.54698133468628,3196.0,70.0,2.166332006454468
24.94,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.058708667755127,8.122088432312012,63.28610483805338,36.71389555931091,0.2621718645095825,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,72.5838623046875,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3075666944.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,599331072.0,110126229.33333333,1195622.375,1806433991.0833333,0.7372781038284302,390.0,43.0,11693.0,1.0,6.776334285736084,2674.0,2361.0,3.0,54.0,55.0,59.0,24.0,28.0,35.0,72.0,456.0,2.0,86.54698133468628,3196.0,70.0,2.166332006454468
25.0,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.058708667755127,8.122088432312012,63.28610483805338,36.71389555931091,0.2621718645095825,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,72.5838623046875,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3075666944.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,599331072.0,110126229.33333333,1195622.375,1806433991.0833333,9.432092666625977,102.0,2.0,6330.0,1.0,6.776334285736084,2674.0,2361.0,3.0,54.0,55.0,59.0,24.0,28.0,35.0,72.0,456.0,2.0,86.54698133468628,3196.0,70.0,2.166332006454468
25.04,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.785342216491699,8.085661888122559,63.28610483805338,36.71389555931091,0.2800663709640503,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,71.99459075927734,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3014135808.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,656717952.0,110126229.33333333,1279084.125,1806433991.0833333,9.432092666625977,102.0,2.0,6330.0,1.0,6.776334285736084,2674.0,2361.0,3.0,54.0,55.0,59.0,24.0,28.0,35.0,72.0,456.0,2.0,86.54698133468628,3196.0,70.0,2.166332006454468
25.14,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.329678535461426,8.10505485534668,63.28610483805338,36.71389555931091,0.2988582551479339,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,71.79804229736328,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3022678016.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,623238656.0,110126229.33333333,1226929.25,1806433991.0833333,9.432092666625977,102.0,2.0,6330.0,1.0,6.776334285736084,2674.0,2361.0,3.0,54.0,55.0,59.0,24.0,28.0,35.0,72.0,456.0,2.0,86.54698133468628,3196.0,70.0,2.166332006454468
25.25,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.185391902923584,8.08977222442627,63.28610483805338,36.71389555931091,0.2730300426483154,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,78.48348236083984,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,2971728640.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,598389504.0,110126229.33333333,1188318.625,1806433991.0833333,9.432092666625977,102.0,2.0,6330.0,1.0,6.776334285736084,2674.0,2361.0,3.0,54.0,55.0,59.0,24.0,28.0,35.0,72.0,456.0,2.0,86.54698133468628,3196.0,70.0,2.166332006454468
25.35,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.13198709487915,8.11622428894043,63.28610483805338,36.71389555931091,0.2605965733528137,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,72.94818115234375,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3070023424.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,598913664.0,110126229.33333333,1191552.875,1806433991.0833333,9.432092666625977,102.0,2.0,6330.0,1.0,6.776334285736084,2674.0,2361.0,3.0,54.0,55.0,59.0,24.0,28.0,35.0,72.0,456.0,2.0,86.54698133468628,3196.0,70.0,2.166332006454468
25.43,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.13198709487915,8.11622428894043,63.28610483805338,36.71389555931091,0.2605965733528137,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,72.94818115234375,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3070023424.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,598913664.0,110126229.33333333,1191552.875,1806433991.0833333,9.486373901367188,906.0,410.0,13569.0,2.0,39.68546676635742,2674.0,2361.0,3.0,57.0,60.0,61.0,29.0,31.0,36.0,72.0,456.0,2.0,87.2302234172821,3196.0,70.0,2.164390802383423
25.45,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.519987106323242,8.062806129455566,63.28610483805338,36.71389555931091,0.3070677518844604,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,76.474609375,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3029803264.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,646533824.0,110126229.33333333,1264929.125,1806433991.0833333,9.486373901367188,906.0,410.0,13569.0,2.0,39.68546676635742,2674.0,2361.0,3.0,57.0,60.0,61.0,29.0,31.0,36.0,72.0,456.0,2.0,87.2302234172821,3196.0,70.0,2.164390802383423
25.49,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.519987106323242,8.062806129455566,63.28610483805338,36.71389555931091,0.3070677518844604,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,76.474609375,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3029803264.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,646533824.0,110126229.33333333,1264929.125,1806433991.0833333,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2674.0,2361.0,3.0,57.0,60.0,61.0,29.0,31.0,36.0,72.0,456.0,2.0,87.2302234172821,3196.0,73.0,2.164390802383423
25.51,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.519987106323242,8.062806129455566,63.28610483805338,36.71389555931091,0.3070677518844604,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,76.474609375,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3029803264.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,646533824.0,110126229.33333333,1264929.125,1806433991.0833333,0.7372781038284302,390.0,43.0,11693.0,1.0,6.776334285736084,2674.0,2361.0,3.0,57.0,60.0,61.0,29.0,31.0,36.0,72.0,456.0,2.0,87.2302234172821,3196.0,70.0,2.164390802383423
25.55,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.612148284912109,8.155804634094238,63.28610483805338,36.71389555931091,0.2896998524665832,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,70.96024322509766,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3022142976.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,632894080.0,110126229.33333333,1237504.125,1806433991.0833333,0.7372781038284302,390.0,43.0,11693.0,1.0,6.776334285736084,2674.0,2361.0,3.0,57.0,60.0,61.0,29.0,31.0,36.0,72.0,456.0,2.0,87.2302234172821,3196.0,70.0,2.164390802383423
25.65,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.199118614196777,8.08482551574707,63.28610483805338,36.71389555931091,0.2814712524414062,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,75.6263656616211,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,2992042496.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,598502720.0,110126229.33333333,1190137.375,1806433991.0833333,0.7372781038284302,390.0,43.0,11693.0,1.0,6.776334285736084,2674.0,2361.0,3.0,57.0,60.0,61.0,29.0,31.0,36.0,72.0,456.0,2.0,87.2302234172821,3196.0,70.0,2.164390802383423
25.75,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,6.075581073760986,8.140266418457031,63.28610483805338,36.71389555931091,0.2908680140972137,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,64.76976013183594,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,3029427968.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,598502016.0,110126229.33333333,1184288.125,1806433991.0833333,0.7372781038284302,390.0,43.0,11693.0,1.0,6.776334285736084,2674.0,2361.0,3.0,57.0,60.0,61.0,29.0,31.0,36.0,72.0,456.0,2.0,87.2302234172821,3196.0,70.0,2.164390802383423
